Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-07-31,0.6802,0.5452,1.4431,30.6821,13.5833,13.5833,17.5193,11.3875,8.8414,0.72,4.7632,15.8263,23.063,22.7123,-19.693,6.3656,10.3288,11.1472,0.5172,0.6175
2021-07-31,0.9344,0.6137,1.6037,33.1642,18.2279,18.2279,21.9679,15.7622,11.8216,0.7223,6.0718,14.2454,25.6223,31.9594,-24.791,8.5904,12.3469,10.4437,-1.1987,-1.1168
2020-07-31,0.7756,0.6603,2.4118,34.507,12.7373,12.7373,16.5113,8.8137,18.732,0.7025,6.535,15.1148,24.1485,23.044,-12.4187,4.785,7.8276,8.5066,-0.037,0.251
2019-07-31,0.5811,0.8646,7.6205,33.2182,12.076,12.076,17.5774,7.7094,2.6027,0.6166,6.2735,14.1237,25.8431,42.6259,-7.5,3.6051,5.7699,3.6944,0.3079,0.3841
2018-07-31,0.6388,0.8534,6.9308,35.8881,15.2683,15.2683,21.8594,12.5472,3.9456,0.4553,4.7813,11.7496,31.065,52.7313,-11.7628,4.9831,7.7317,4.5615,0.1258,-0.121
2017-07-31,0.7933,0.603,2.1495,41.8366,24.516,24.516,29.964,22.5458,15.1962,0.7555,3.7639,9.6479,37.8319,56.1702,-58.1864,11.9596,22.2973,5.4651,-0.5988,-0.6193
2016-07-31,0.7468,0.6015,2.3046,36.7793,12.0588,12.0588,15.9277,10.6645,7.072,1.0158,5.3543,12.7173,28.7012,36.7254,-29.915,7.1839,14.6348,4.9773,0.9412,1.0269
2015-07-31,0.7459,0.6484,2.9644,34.4222,13.0413,13.0413,16.7904,11.7421,8.2405,1.0006,5.3266,12.4915,29.2199,48.366,-30.663,8.2456,17.0072,4.4419,1.0081,0.8704
2014-07-31,0.7026,0.5833,2.5047,35.9337,15.3241,15.3241,19.0131,13.8849,10.4741,1.0191,5.2136,12.3403,29.5779,48.2845,-38.6035,9.5402,20.1196,5.1214,-0.3696,-0.3538
2013-07-31,0.6767,0.6777,3.6802,36.1649,13.4128,13.4128,18.4675,11.8604,5.688,0.9674,5.5568,12.6803,28.7848,56.1984,-32.2581,8.1701,18.114,3.8782,-0.2965,-0.3313
2012-07-31,0.8556,0.6906,3.1069,39.1638,16.0976,16.0976,19.7491,14.6202,10.7875,1.0988,6.1134,12.9747,28.1317,80.6236,-44.941,11.0873,24.9483,2.8782,0.0399,-0.1701
2011-07-31,0.9869,0.6889,2.8139,40.4312,16.9677,16.9677,20.7196,15.3997,11.2698,1.041,5.5476,12.7554,28.6154,68.3394,-47.89,10.9152,21.2603,3.425,0.3895,0.4705
2010-07-31,0.8169,0.6768,2.9925,41.037,17.5612,17.5612,20.8312,16.1803,10.8129,1.2231,6.2514,14.9922,24.346,90.8504,-56.3042,13.4481,29.3667,2.7649,-0.2122,-0.1208
2009-07-31,0.9527,0.7545,3.5896,39.9156,15.6209,15.6209,19.101,14.2236,9.5439,1.2526,5.5316,14.3674,25.4047,100.1368,-43.2624,12.0872,24.5885,2.1312,3.2938,2.322
