Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2023-01-31,1.4133,0.1555,0.2143,61.9997,24.2201,24.2201,25.1251,20.4017,0.1418,1.6449,2.5954,34.677,6.6861,291.2815,2.8934,5.6464,10.128,1.1513,1.1103
2022-10-31,1.4517,0.1593,0.2205,61.2236,25.9683,25.9683,25.4915,19.5863,0.1465,1.9842,2.5063,35.9089,6.6299,-1076.613,2.8693,5.574,9.8153,0.9626,0.9198
2022-07-31,1.432,0.1746,0.2392,61.2502,26.2097,26.2097,26.0724,21.4853,0.1394,1.977,1.9786,45.4877,7.0777,-255.9091,2.9946,5.8416,9.6771,0.8652,0.8527
2022-04-30,1.4899,0.1724,0.2331,63.2723,28.1262,28.1262,29.6143,23.7164,0.1383,2.113,2.2194,40.5508,7.5347,-352.7231,3.2803,6.2354,9.7373,0.8897,0.864
2022-01-31,1.42,0.1851,0.2904,63.2783,27.4135,27.4135,28.3255,23.3726,0.1349,2.2686,2.1189,42.4741,7.5273,-131.4324,3.154,6.1343,9.5148,0.5925,0.5671
2021-10-31,1.6175,0.174,0.2225,62.4264,26.6512,26.6512,28.3488,23.1008,0.1344,2.6457,2.4312,37.0186,6.9788,542.8051,3.1048,5.7644,10.1259,0.8077,0.7792
2021-07-31,1.4896,0.1793,0.2792,63.5685,27.236,27.236,28.455,22.924,0.1346,3.0674,2.2764,39.5353,7.2901,-587.6953,3.0862,5.9829,9.7878,1.0645,1.0295
2021-04-30,1.5275,0.1916,0.2868,63.9303,27.064,27.064,28.0481,22.362,0.1364,2.9246,2.8933,31.106,7.121,-238.3847,3.0491,5.7563,9.5386,0.914,0.8746
2021-01-31,1.6103,0.1963,0.372,65.0836,26.9482,26.9482,27.2157,21.2793,0.1251,2.9081,2.7769,32.4105,6.5055,86.9788,2.6621,5.2286,9.2682,0.7047,0.6616
2020-10-31,1.5927,0.2004,0.3817,63.551,21.5441,21.5441,22.4746,18.2245,0.1256,3.3369,2.9972,30.0277,5.6975,106.5164,2.2883,4.5556,9.0377,0.9651,0.9258
2020-07-31,1.7201,0.2339,0.3846,63.222,26.7155,26.7155,27.2009,21.6883,0.1281,3.4867,2.2211,40.52,6.9515,103.8613,2.779,5.3255,8.9497,0.8866,0.8389
2020-04-30,1.5926,0.2449,0.4504,64.8502,28.4904,28.4904,28.7407,23.1495,0.1311,3.4752,2.6227,34.3161,7.7686,542.8571,3.0352,5.8664,8.4616,1.0056,0.9754
2020-01-31,1.8133,0.2897,0.4501,64.6731,28.1549,28.1549,29.4377,23.9733,0.1328,3.1345,2.7725,32.4615,8.0995,19186.67,3.1827,5.7529,8.3784,0.8945,0.8799
2019-10-31,1.696,0.2963,0.5373,64.321,27.1981,27.1981,28.0113,22.2357,0.1423,3.4933,2.6976,33.3627,8.5001,-231.8542,3.1635,5.9812,8.1167,0.8395,0.7931
2019-07-31,1.5059,0.3013,0.7347,63.8517,27.4799,27.4799,27.5842,16.4284,0.1373,3.5098,2.4455,36.803,6.5711,-102.1769,2.2558,4.5914,7.8991,0.8622,0.8184
2019-04-30,1.6949,0.302,0.6439,63.073,27.1107,27.1107,27.8978,23.4913,0.1332,3.1626,3.4145,26.3582,8.2708,353.1323,3.1289,5.7734,8.5333,1.0148,0.9621
2019-01-31,1.8019,0.2804,0.6284,62.4538,25.7995,25.7995,26.86,22.674,0.1215,2.7472,3.3234,27.081,6.9185,53.9992,2.7542,4.9787,9.2199,0.8625,0.8054
2018-10-31,2.1082,0.2947,0.583,62.3164,29.108,29.108,29.9036,27.1496,0.124,3.1336,2.8818,31.2301,8.0939,45.8172,3.3662,5.7084,9.7073,0.8156,0.77
2018-07-31,2.2873,0.32,0.5918,61.6786,26.0511,26.0511,27.9664,29.6092,0.1181,2.6663,2.3126,38.9178,8.8024,42.5106,3.4959,5.9857,9.3637,0.825,0.7831
2018-04-30,2.3441,0.3035,0.6016,62.2563,25.1464,25.1464,26.1013,21.5919,0.1093,2.4758,2.916,30.8642,5.7671,21.8319,2.3604,4.0166,9.8566,0.5227,0.4725
2018-01-31,2.4333,0.3302,0.7573,63.0773,25.8518,25.8518,27.1894,-73.8454,0.0904,2.3149,2.9995,30.0051,-16.8866,-45.9172,-6.6748,-11.3108,10.6783,0.8354,0.8022
2017-10-31,2.8712,0.2815,0.548,61.1981,22.7093,22.7093,24.4067,19.7264,0.093,2.7815,2.8854,31.1915,3.6522,7.3346,1.8342,2.624,13.2398,0.6167,0.5833
2017-07-31,3.0346,0.28,0.5098,62.194,25.0062,25.0062,26.2095,19.9786,0.0935,2.8385,2.3578,38.1719,3.6651,7.1648,1.8672,2.6387,13.2725,0.7909,0.75
2017-04-30,3.5198,0.3015,0.4966,62.9648,26.541,26.541,26.7253,21.0637,0.0948,3.2372,2.5761,34.9372,3.8466,7.584,1.9968,2.6869,13.0816,0.6673,0.622
