Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,1.4717,0.1177,0.1456,40.7965,17.3676,17.5854,17.3676,11.2496,0.2191,4.0541,2.7607,32.6004,3.9802,4.1011,2.4749,3.5118,83.6679,6.4422,4.4655
2022-09-30,1.3964,0.1183,0.1481,40.2842,22.2211,22.4131,22.2211,16.8522,0.2566,4.4209,2.9664,30.3394,7.0402,7.252,4.3267,6.2072,82.5526,7.968,6.401
2022-06-30,1.3085,0.1296,0.1697,39.5509,23.273,23.4606,23.273,16.9018,0.2666,5.3877,2.56,35.156,7.5795,7.8153,4.5418,6.5975,78.9615,7.0154,5.395
2022-03-31,1.4328,0.1648,0.1994,36.2717,16.6517,16.9018,16.6517,11.5112,0.2183,5.3105,2.3381,38.4925,4.2672,4.3979,2.5204,3.5641,74.8672,4.1424,3.1344
2021-12-31,1.2593,0.1819,0.2242,39.4959,14.5131,14.8351,14.5131,10.503,0.2009,4.2855,2.613,34.4431,3.6316,3.749,2.1216,2.971,72.5151,4.9319,3.573
2021-09-30,1.2759,0.2132,0.2732,42.051,18.0161,18.4053,18.0161,13.6681,0.1863,4.2273,2.6987,33.3489,4.4726,4.6214,2.5485,3.5189,70.9255,4.4683,3.4748
2021-06-30,1.1715,0.2279,0.3212,40.966,11.7616,12.2536,11.7616,8.1975,0.1548,3.5575,2.394,37.5948,2.3105,2.389,1.2743,1.784,69.2436,3.6113,2.6791
2021-03-31,1.1075,0.234,0.3418,40.7162,6.797,7.4152,6.797,4.2992,0.1325,3.3786,2.2687,39.6709,1.0517,1.0877,0.5785,0.8056,68.9468,2.1901,1.2788
2020-12-31,1.1756,0.2437,0.3339,41.9195,-3.7907,-3.0025,-3.7907,-2.6341,0.1053,2.5833,2.2009,40.8932,-0.4943,-0.5112,-0.2736,-0.3738,68.9419,1.1572,0.0844
2020-09-30,1.2613,0.2061,0.2636,40.5382,-0.18,0.4908,-0.18,-0.8466,0.1096,2.5592,2.515,35.785,-0.1583,-0.1638,-0.0937,-0.1257,70.7098,1.908,1.0288
2020-06-30,1.1396,0.184,0.2534,32.4959,-78.5312,-77.2566,-78.5312,-61.2865,0.0604,1.6529,1.5746,57.1587,-6.1591,-6.3684,-3.705,-5.0259,71.9693,0.06,-1.0799
2020-03-31,1.0116,0.1404,0.2232,47.062,13.1583,13.6726,13.1583,11.425,0.1331,2.5367,3.0984,29.0477,2.4711,2.5495,1.513,2.1243,77.6195,2.531,0.8517
2019-12-31,1.0678,0.1403,0.1858,43.1582,-23.1224,-22.6327,-23.1224,-18.1843,0.1531,3.5332,2.728,32.9918,-4.5913,-4.7369,-2.808,-3.9473,77.1493,2.9787,0.76
2019-09-30,1.1242,0.1377,0.2094,42.0174,11.2111,11.7566,11.2111,7.1436,0.1408,3.5189,2.7854,32.3109,1.6444,1.6931,1.0057,1.418,82.9734,4.1622,2.3669
2019-06-30,1.1477,0.1373,0.1947,43.6757,15.2767,15.7864,15.2767,11.0811,0.1518,3.2137,2.7011,33.3197,2.7247,2.8049,1.6766,2.3505,82.938,4.6123,2.7308
2019-03-31,1.1242,0.1431,0.2119,41.0114,11.2415,11.8807,11.2415,7.5256,0.1371,3.0885,2.358,38.1682,1.6923,1.7426,1.0288,1.4502,81.9635,2.6605,1.1069
2018-12-31,1.2521,0.1558,0.2214,41.3936,11.565,12.0136,11.565,8.8071,0.1668,4.3515,2.8141,31.982,2.392,2.4635,1.4665,2.0193,81.7947,4.8014,2.707
2018-09-30,1.2193,0.1624,0.2335,41.028,12.9561,13.3699,12.9561,9.2004,0.1714,4.3025,2.6201,34.3492,2.6223,2.7012,1.5806,2.1964,80.9478,4.9952,3.1267
2018-06-30,1.0751,0.1632,0.2511,38.1878,11.6133,12.1271,11.6133,8.0713,0.1638,3.9294,2.5333,35.5261,2.2311,2.2988,1.3267,1.8669,80.0461,3.5644,1.8879
2018-03-31,1.0358,0.1705,0.2622,40.2156,13.4334,13.8545,13.4334,9.6335,0.1473,3.6842,2.3945,37.5858,2.4141,2.4885,1.4268,2.0026,79.3142,2.6359,1.0694
2017-12-31,1.0297,0.1836,0.2596,35.2935,3.9372,4.3971,3.9372,8.2704,0.1482,4.3581,2.4501,36.7336,2.0881,2.1535,1.2285,1.7049,78.3949,3.2018,1.2892
2017-09-30,1.0416,0.1872,0.2838,39.2653,7.3415,7.4382,7.3415,5.3915,0.1419,3.8169,2.5634,35.1101,1.3427,1.3851,0.7783,1.0913,77.8736,2.8925,1.1972
2017-06-30,0.9524,0.1878,0.2908,37.964,5.6642,5.8034,5.6642,4.2053,0.1354,3.521,2.6185,34.3712,0.9947,1.0263,0.5758,0.8078,77.7772,2.6285,0.9232
2017-03-31,1.0402,0.2,0.3062,39.0294,9.3624,9.515,9.3624,8.0249,0.129,3.4415,2.4299,37.0384,1.8262,1.8842,1.0416,1.4609,78.0077,1.9927,0.2437
2016-12-31,0.9319,0.1939,0.3144,36.994,1.6256,1.8097,1.6256,1.3176,0.1211,3.6621,2.2351,40.2667,0.2985,0.3081,0.1684,0.2406,77.5689,2.0055,-0.1762
2016-09-30,1.1669,0.2108,0.3081,37.6112,3.6795,3.8918,3.6795,4.2568,0.116,3.1466,2.407,37.3915,0.8793,0.9074,0.5006,0.6939,78.374,2.8082,0.682
2016-06-30,1.3026,0.2105,0.304,37.6716,-7.0692,-6.7994,-7.0692,-5.0201,0.112,2.8397,2.1706,41.4623,-0.9863,-1.0178,-0.5595,-0.7787,78.6236,1.3513,-1.0324
2016-03-31,1.0875,0.1776,0.2795,40.1817,-7.2645,-7.2645,-7.2645,-3.0782,0.0893,2.1649,1.8904,47.608,-0.4667,-0.4813,-0.268,-0.3839,80.3713,0.6102,-2.3666
2015-12-31,1.3519,0.1793,0.2505,40.4178,-7.5563,-7.5563,-7.5563,-2.0105,0.1106,2.7512,2.2743,39.5733,-0.3607,-0.3717,-0.2098,-0.296,81.7319,2.4194,-1.5371
2015-09-30,1.321,0.1582,0.2301,40.7548,8.1131,8.1131,8.1131,5.9362,0.1278,2.9618,2.4098,37.3481,1.3191,1.3591,0.7663,1.1105,82.856,2.8743,-0.7814
