Date,long-term-debt-capital-annual,debt-equity-ratio-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.5795,1.3782,52.3046,39.2057,0.0834,32.4516,30.6383,3.3367,12.6578,54.5658,5.6202,5.4502
2021-12-31,0.5795,1.5086,59.5164,45.0838,0.1077,44.1143,41.4278,4.9428,17.0895,46.5025,-0.1191,0.0844
2020-12-31,0.6612,1.9516,24.1014,18.5422,0.0527,11.6097,10.8316,1.0107,3.5518,35.4994,0.8199,0.8573
2019-12-31,0.6843,2.1672,46.6091,35.3427,0.0722,26.1774,25.8276,2.594,7.8727,38.2355,4.3161,4.1648
2018-12-31,0.7098,2.4464,46.8726,35.0404,0.07,25.9487,25.5927,2.5029,7.1484,33.5801,1.1213,0.9679
2017-12-31,0.7073,2.417,48.3329,27.7535,0.0731,20.3214,20.0401,2.0972,5.6397,30.4314,3.0261,2.8842
2016-12-31,0.692,2.247,50.4972,32.3066,0.0784,22.2336,21.9501,2.5924,6.5087,29.1255,2.0999,2.0403
2015-12-31,0.6862,2.1863,49.9792,31.0779,0.0833,21.4372,21.1666,2.6463,6.3939,26.7384,0.5356,0.4675
2014-12-31,0.6694,2.0349,52.5164,32.2718,0.0846,21.969,21.7083,2.7946,6.8977,24.787,1.0397,1.2009
2013-12-31,0.6545,1.9071,55.2536,33.819,0.09,24.0999,23.8878,3.1132,7.8957,22.8886,7.2238,6.7494
2012-12-31,,,,,,,,,,,-5.8481,-5.5731
2012-11-30,0.6686,2.0467,55.1506,34.0632,0.0904,25.4394,25.2096,3.1149,7.9473,19.6396,-0.7781,-0.8542
2011-11-30,0.6893,2.2248,58.0139,36.3847,0.0876,27.0201,28.5549,3.2221,8.3946,15.5854,-1.0569,-1.1556
2010-11-30,0.7328,2.7422,36.772,19.3567,0.0568,11.8479,12.7236,1.2585,3.1661,11.8544,0.5993,0.6026
2009-11-30,0.2235,0.2878,48.5111,29.1901,0.095,17.5361,15.9833,2.7731,11.7473,15.5373,7.0838,6.9803
