Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,1.2237,0.4015,0.6712,32.4904,5.7865,5.7865,4.6721,4.1577,0.1817,8.2031,1.9523,46.0994,1.9562,-4.8699,0.9036,1.1708,53.4234,2.8305,1.5848
2022-09-30,1.4569,0.3882,0.6349,34.9155,15.7683,15.7683,14.1191,10.2977,0.188,8.8415,1.9422,46.3395,4.4005,-13.576,2.0873,2.6922,55.0175,4.317,3.3071
2022-06-30,1.5384,0.3818,0.6178,34.3253,15.8174,15.8174,13.1676,9.5393,0.1843,8.615,1.8971,47.4399,3.876,-13.2345,1.878,2.3962,55.1282,3.4449,2.7974
2022-03-31,1.4559,0.3832,0.6215,36.959,19.6476,19.6476,17.3114,13.5963,0.1942,8.3553,1.9044,47.2578,5.8145,-19.0891,2.7749,3.5865,54.8291,3.9669,3.4463
2021-12-31,1.5636,0.3822,0.6188,37.3907,19.5335,19.5335,18.2945,13.9577,0.2016,8.2596,1.9082,47.1647,6.3705,-23.2153,3.0343,3.936,54.479,3.4293,2.3529
2021-09-30,1.6225,0.3838,0.623,39.7981,23.504,23.504,23.5761,18.2048,0.2044,8.1463,1.8832,47.7902,8.1934,-29.6567,3.883,5.0489,52.2927,4.638,3.9046
2021-06-30,1.3836,0.4029,0.6751,38.6275,20.902,20.902,32.0392,24.7451,0.1983,7.8643,2.0319,44.2941,10.9428,-28.5463,5.054,6.534,48.6885,3.9632,3.2616
2021-03-31,1.7569,0.3713,0.5909,40.2206,24.2647,24.2647,23.0147,17.2427,0.1952,7.2915,1.9682,45.7279,7.2165,-40.131,3.5173,4.537,51.8321,5.4148,4.7778
2020-12-31,1.7218,0.3708,0.5897,42.2718,26.4823,26.4823,25.2498,19.0873,0.214,7.7713,1.975,45.5696,8.944,-49.472,4.3419,5.6274,51.1955,4.0566,2.8516
2020-09-30,1.4014,0.384,0.7094,43.2879,25.7717,25.7717,27.028,20.3877,0.197,7.7073,1.9606,45.9045,9.1685,-36.3469,4.1787,5.6479,47.7482,6.2596,5.6043
2020-06-30,1.2914,0.406,0.7779,33.1691,15.4899,15.4899,13.9573,10.1259,0.1406,7.9286,1.6226,55.468,3.2818,-9.4192,1.4858,1.9493,43.8881,2.5969,1.9984
2020-03-31,1.3818,0.4142,0.7077,30.2964,9.6048,9.6048,6.4764,5.4336,0.1512,10.0794,1.8745,48.0132,1.8587,-4.9789,0.8797,1.0887,42.5597,1.8296,1.2148
2019-12-31,1.2513,0.4109,0.8388,34.3718,18.8474,18.8474,17.0301,13.136,0.15,10.2764,1.8119,49.6729,4.6598,-12.9079,2.0634,2.7453,42.7594,2.6069,1.3299
2019-09-30,0.8846,0.3606,0.7062,35.3783,16.002,16.002,13.8037,10.9918,0.1627,11.2857,1.7511,51.3957,3.9972,-10.7568,1.8804,2.556,41.8815,2.1504,1.4568
2019-06-30,0.8225,0.3652,0.7217,35.2279,15.7194,15.7194,13.5689,11.5719,0.1661,12.0476,1.795,50.1383,3.9753,-9.6561,1.8622,2.5236,40.8074,2.3603,1.7353
2019-03-31,0.7791,0.3696,0.7937,34.2147,13.1148,13.1148,11.2639,8.6727,0.1584,12.6939,1.7525,51.3538,3.2953,-7.1429,1.4744,2.0774,39.8582,2.0221,1.6765
2018-12-31,0.936,0.3943,0.7391,32.8439,11.963,11.963,9.081,6.9059,0.1671,12.4748,1.8172,49.5269,2.6391,-5.5533,1.2633,1.5984,39.0148,2.1223,1.036
2018-09-30,1.1541,0.3875,0.6893,35.3097,16.0932,16.0932,14.0815,11.2758,0.1719,12.8632,1.722,52.2658,4.2311,-10.0889,2.0663,2.5916,39.4485,2.8921,2.3093
2018-06-30,1.1212,0.393,0.7055,35.2267,15.8937,15.8937,13.7572,11.4122,0.1786,13.6593,1.819,49.4789,4.4271,-10.0561,2.168,2.6871,38.6985,2.3237,1.7626
2018-03-31,1.2274,0.4233,0.7617,34.9257,14.4374,14.4374,12.155,9.3949,0.1762,13.0426,1.8363,49.0127,3.7308,-7.56,1.7672,2.1516,37.25,1.295,0.7698
2017-12-31,1.2356,0.4307,0.7637,35.9786,14.4236,14.4236,12.5469,13.6193,0.1776,12.5684,2.0184,44.5898,5.3885,-10.6843,2.5421,3.0679,36.7037,2.3072,1.7215
2017-09-30,1.4677,0.4378,0.7796,35.8836,16.056,16.056,13.9009,8.6746,0.1778,11.9,1.9333,46.5517,3.6247,-7.3996,1.6764,2.038,35.5,2.5857,2.1357
2017-06-30,1.6358,0.4409,0.7896,37.2318,17.1137,17.1137,15.6652,10.3541,0.1833,14.0964,1.9683,45.7243,4.3735,-9.0157,2.0352,2.4454,34.8015,2.1099,1.6435
2017-03-31,1.5817,0.4441,0.8001,35.8833,15.355,15.355,13.5388,9.0259,0.1797,15.1299,1.8927,47.5509,3.7529,-7.7059,1.7311,2.0863,34.0365,1.3901,1.0922
2016-12-31,1.5607,0.4444,0.8013,25.641,17.6923,17.6923,15.5128,9.7436,0.1545,14.1463,1.6847,53.4231,3.5837,-7.2958,1.6535,1.9909,34.0146,2.4719,1.5704
2016-09-30,1.5698,0.4483,0.8142,38.6207,17.0822,17.0822,15.3316,10.1857,0.1853,14.1098,1.9513,46.122,4.3673,-8.9991,2.0151,2.4092,33.7698,2.1197,1.6902
2016-06-30,1.3591,0.4563,0.8409,39.4019,22.1406,22.1406,20.0944,10.2309,0.1885,14.4375,1.9549,46.0388,4.5743,-8.6471,2.0675,2.4869,32.8705,2.2051,1.7991
2016-03-31,1.3697,0.4449,0.8354,38.5937,13.795,13.795,9.2324,5.5287,0.1845,13.9512,1.9569,45.9903,2.4646,-4.9187,1.139,1.3681,33.0922,1.0625,0.7361
2015-12-31,1.2796,0.4256,0.7747,37.8042,12.9259,12.9259,11.1412,10.0054,0.1856,13.6905,2.0522,43.8561,4.2436,-9.1912,2.0076,2.4375,32.958,1.8759,1.2276
2015-09-30,1.4545,0.4359,0.8074,38.1915,33.5638,33.5638,31.4894,18.1915,0.1866,13.5116,2.0569,43.7553,7.6607,-15.54,3.514,4.3213,32.0903,1.4621,1.1035
2015-06-30,1.2319,0.451,0.86,38.5974,15.6364,15.6364,10.3896,6.1299,0.198,10.844,2.0544,43.8078,2.9696,-4.8405,1.3272,1.6304,30.1667,1.9679,1.5446
2015-03-31,1.1369,0.4634,1.1077,36.7591,12.398,12.398,5.7096,3.317,0.1733,10.9717,1.9378,46.4437,1.639,-2.5399,0.6596,0.8795,29.6597,0.3562,-0.0274
2014-12-31,0.938,0.4268,0.8642,37.1216,13.6484,13.6484,10.8338,10.0903,0.191,10.7636,2.0204,44.5459,4.5035,-7.0321,1.9783,2.5814,30.0694,2.131,1.5172
2014-09-30,1.3134,0.4699,0.9178,38.1303,13.4454,13.4454,11.2395,6.7752,0.1943,10.6126,1.9979,45.0473,3.3017,-4.775,1.4182,1.7502,29.0345,1.869,1.1656
2014-06-30,1.1963,0.4758,0.9609,38.2755,13.775,13.775,12.04,6.9926,0.1949,10.7706,1.9751,45.5678,3.4474,-4.6989,1.4554,1.8073,28.6042,1.931,1.5931
2014-03-31,1.2483,0.4809,0.9818,36.9416,11.9129,11.9129,10.0802,5.9565,0.1828,11.1212,1.7871,50.3608,2.7612,-3.7273,1.1623,1.4334,27.9167,0.5793,0.1103
