Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.7653,0.5246,1.1897,31.8257,12.2646,12.2646,16.5638,18.6136,13.8088,0.3171,22.6347,17.4871,20.8725,13.2238,13.6537,4.5107,6.2865,33.7873,-1.4858,-3.9014
2021-12-31,1.1546,0.5549,1.3793,34.3537,17.913,17.913,21.9667,18.0009,13.4815,0.3725,21.9433,18.9708,19.2401,15.8164,16.5348,5.1164,7.0405,29.3552,0.6704,-0.4863
2020-12-31,1.1541,0.497,1.1394,35.2388,16.6691,16.6691,21.2811,16.6019,11.3769,0.4052,26.3803,14.0313,26.0132,13.5983,14.3922,4.9005,6.8399,26.1912,0.7184,1.0912
2019-12-31,0.893,0.5286,1.2227,33.0858,14.6699,14.6699,19.5933,15.1778,10.9271,0.3854,26.5414,21.7685,16.7673,12.907,13.061,4.4915,6.0841,22.1094,0.1607,-0.1702
2018-12-31,0.6887,0.6164,1.7631,31.5456,15.7666,15.7666,20.9939,16.0717,11.5634,0.4453,32.072,21.2881,17.1457,19.2629,19.2629,5.4124,7.3889,18.3682,-0.5304,-0.4533
2017-12-31,0.6804,0.6857,2.3354,24.9326,10.8938,10.8938,16.5747,11.4658,14.583,0.4834,33.6541,22.0069,16.5857,31.2112,31.2112,7.2729,9.8105,14.8733,-0.5765,-0.1345
2016-12-31,1.8029,0.7712,3.5746,34.9096,15.246,15.246,21.3016,15.8859,9.8469,0.545,23.4445,19.5554,18.6649,33.6299,33.6299,5.5555,7.695,9.9116,0.6033,0.9167
2015-12-31,0.6863,0.8164,5.0062,34.8177,9.3814,9.3814,15.7087,8.1127,5.2699,0.6653,25.4256,17.6215,20.7133,30.6438,30.6438,3.6791,5.6249,5.9196,0.1548,0.7372
2014-12-31,3.0522,0.8723,7.1703,36.0131,12.4592,12.4592,19.8205,8.234,6.4513,0.6642,18.9768,15.3899,23.7169,46.165,46.165,4.2136,5.8947,4.3579,0.188,0.4556
2013-12-31,2.7053,0.9267,13.6726,37.2358,9.6957,9.6957,17.276,8.1764,5.8073,0.6831,17.022,12.9283,28.2327,83.9603,83.9605,4.1122,6.1579,2.1756,0.5069,0.1625
2012-12-31,2.3084,0.9937,165.9642,40.6838,9.5465,9.5465,16.8636,7.5479,4.8302,0.7584,16.7932,13.5705,26.8966,925.5015,925.5161,3.8144,5.8039,0.1581,-1.3177,-1.7039
2011-12-31,1.1637,1.0595,-17.8848,43.3433,22.403,22.403,29.3802,18.4575,11.5948,1.1398,10.4749,16.4492,22.1896,-363.3324,-363.3326,13.2724,21.6273,-0.9373,0.9686,1.7601
2010-12-31,1.0165,1.2605,-5.7479,42.9531,15.3538,15.3538,23.1378,12.2003,7.7901,1.3123,14.7898,16.0813,22.6972,-86.8797,-86.8798,10.2234,22.6344,-2.5572,-0.1007,-0.2812
2009-12-31,1.0574,1.4777,-3.1059,39.7917,11.8905,11.8905,19.9497,8.6833,5.4487,1.4061,23.7296,14.9565,24.4041,-30.3775,-30.3775,7.6598,14.5124,-4.6774,4.892,2.5799
