Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,2.1751,0.5997,1.7215,72.8685,22.51,22.51,33.0279,26.7729,0.1204,3.2896,27.3586,13.0215,75.3087,3.2182,5.2121,9.5603,1.1744,0.91
2022-09-30,1.3309,0.5755,1.5926,72.8151,23.8656,23.8656,-2.2689,-2.8992,0.1246,3.7599,23.937,-1.4424,-8.805,-0.3665,-0.6123,8.921,1.3524,1.1611
2022-06-30,1.2757,0.5565,1.474,72.6259,21.6763,21.6763,-30.0165,-21.924,0.1232,4.0033,22.4814,-10.2232,-47.4336,-2.7273,-4.5339,9.5501,0.4683,0.2608
2022-03-31,1.4751,0.4825,1.1813,72.2513,27.8695,27.8695,-66.4116,-54.0073,0.1081,3.9665,22.6903,-18.9821,-45.9664,-5.8268,-9.8225,12.3538,1.0443,0.9029
2021-12-31,1.9712,0.4414,0.9288,73.4405,26.3299,26.3299,-44.4317,75.354,0.0981,3.837,23.4558,-9.1327,-15.9464,-3.3539,-5.1014,16.4613,0.4148,0.2634
2021-09-30,3.3527,0.4138,0.8298,72.8908,26.4694,26.4694,17.3531,10.5558,0.0855,3.7894,23.7505,2.5857,4.1593,0.9673,1.5156,17.2907,0.5139,0.2614
2021-06-30,3.9623,0.3903,0.6985,74.8126,27.4363,27.4363,15.03,402.3238,0.0838,4.2894,20.982,2.2588,3.3405,0.9239,1.3772,19.6914,1.5752,1.4293
2021-03-31,1.3043,0.6083,1.8639,77.0281,31.8802,31.8802,27.445,24.2987,0.1408,1.934,46.5353,15.0663,-68.7651,3.0324,5.9013,5.536,1.5036,1.3838
2020-12-31,1.7966,0.6849,2.1752,81.5668,29.7235,29.7235,49.6774,38.9401,0.1124,3.3282,27.0415,21.3985,-103.5326,3.9461,6.7428,5.2061,1.0231,0.8132
2020-09-30,1.7549,0.726,2.6558,78.8308,29.318,29.318,33.481,29.4066,0.1226,4.7338,19.0124,20.7192,-36.9804,3.2843,5.6765,4.238,0.1575,-0.0187
2020-06-30,1.5759,0.7377,2.99,82.1566,32.6915,32.6915,40.4365,31.9213,0.1168,2.7657,32.5417,23.7423,-33.3818,3.4426,6.228,4.1163,1.4065,1.2758
2020-03-31,1.337,0.785,4.1319,76.4209,26.5383,26.5383,26.5853,160.263,0.1125,3.3528,26.8436,20.3783,-15.4758,2.2769,4.3805,3.0171,0.782,0.6539
2019-12-31,1.1574,0.7105,2.8094,107.2549,41.3726,41.3726,43.5294,109.0196,0.0281,0.9189,97.9412,10.6969,-18.0376,1.6892,3.0969,3.6055,0.8864,0.7636
2019-09-30,1.4136,0.6887,2.3709,74.5559,19.5871,19.5871,12.77,14.8824,0.1113,2.9174,30.8497,6.422,-11.0178,1.1222,1.999,3.9927,1.259,1.1493
