Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,0.6415,0.5607,1.5579,56.4012,19.521,19.521,17.6565,13.3167,0.11,1.4725,61.1187,4.4205,-3.7247,1.4759,1.9419,30.8464,2.8783,1.6375
2022-06-30,0.5139,0.516,1.4879,58.8289,23.1336,23.1336,20.1109,15.2351,0.1173,1.4746,61.0321,5.2709,-4.6406,1.7948,2.5511,31.2173,2.2302,0.9394
2022-03-31,0.5395,0.5373,1.5097,59.4043,24.3838,24.3838,22.2858,16.2705,0.1197,1.591,56.5669,5.7854,-4.9185,1.9558,2.6769,31.489,-1.6073,-2.8745
2021-12-31,0.4892,0.5538,1.4703,58.0594,20.1245,20.1245,11.0278,9.7431,0.1135,1.7224,52.2534,3.4183,-2.6474,1.1149,1.5252,29.4939,3.1236,2.0599
2021-09-30,1.5318,0.583,1.5386,60.0131,22.3403,22.3403,21.7025,16.7961,0.1103,1.7606,51.1195,5.8114,-6.9313,1.8641,2.4236,29.1402,3.2135,2.4291
2021-06-30,0.709,0.4839,1.1095,60.8844,24.7813,24.7813,22.4409,17.4198,0.1322,1.7793,50.5831,6.171,-7.4356,2.3115,3.1846,28.7241,3.2983,2.3087
2021-03-31,0.711,0.4941,1.3046,60.1566,25.2762,25.2762,22.1352,16.62,0.1254,1.7113,52.5903,6.0441,-6.56,2.0984,3.0575,27.5842,1.164,0.2468
2020-12-31,0.9981,0.5052,1.3639,57.0139,15.1542,15.1542,8.4399,6.6607,0.1164,1.7737,50.7412,2.4203,-3.2672,0.8084,1.1977,26.3571,2.4288,1.5142
2020-09-30,0.9668,0.5247,1.4755,59.4496,19.1332,19.1332,28.653,21.3891,0.1155,1.7632,51.0447,7.7289,-9.1889,2.479,3.6734,24.398,2.9781,2.0332
2020-06-30,1.2708,0.5861,1.6003,58.3537,16.9719,16.9719,13.0647,10.1954,0.1113,1.6587,54.2582,3.6719,-3.7239,1.1367,1.5197,22.5045,2.0471,1.1936
2020-03-31,1.0045,0.5906,1.4438,56.77,14.1873,14.1873,16.3169,12.2038,0.1257,1.582,56.8901,4.8893,-4.2084,1.5585,2.0017,20.0148,0.2512,-0.4666
2019-12-31,0.8899,0.563,1.2896,57.739,5.1998,5.1998,4.7693,2.6386,0.1145,1.7023,52.8693,0.9722,-0.9027,0.3224,0.4248,21.6411,1.8926,1.1168
2019-09-30,0.5718,0.5255,1.2531,57.2342,13.886,13.886,11.0198,9.2612,0.1178,1.6951,53.0935,3.2238,-2.9307,1.1103,1.5295,21.1321,-1.3533,-2.1439
2019-06-30,0.5433,0.5226,1.1073,57.1705,12.9318,12.9318,10.1136,7.5909,0.1177,1.7509,51.4023,2.6392,-2.3604,0.9139,1.2599,21.4053,1.7779,1.0129
2019-03-31,0.5678,0.5044,1.0443,54.2016,-73.0292,-73.0292,-75.9367,-65.7015,0.1153,1.6461,54.6744,-21.2341,20.2506,-7.5576,-10.5243,21.6134,0.2549,-0.6891
2018-12-31,1.0913,0.4546,0.8352,55.4292,5.519,5.519,4.681,4.3577,0.1168,1.7806,50.5435,1.1883,-1.7297,0.5242,0.6481,26.1667,1.3644,0.4242
2018-09-30,1.1926,0.4479,0.8121,54.843,7.684,7.684,4.6392,4.6032,0.1169,1.7829,50.4807,1.2217,-1.8427,0.5551,0.6745,26.8781,1.2501,0.5626
