Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,0.3997,0.6658,59.5614,59.5614,48.3879,46.3606,0.0343,2.986,2.9761,1.6539,1.7866,29.938,1.1031,2.075
2022-06-30,0.4178,0.7175,45.1122,45.1122,34.0796,32.5063,0.0334,2.1024,2.0953,1.1309,1.22,29.5245,0.8298,1.2831
2022-03-31,0.4251,0.7395,22.9186,22.9186,11.5315,10.713,0.0314,0.671,0.6688,0.3543,0.3845,29.3497,0.9446,0.4992
2021-12-31,0.4271,0.7456,99.4967,99.4967,87.0498,81.5653,0.0305,5.0312,5.0145,2.65,2.8726,29.7906,0.7285,0.5378
2021-09-30,0.4283,0.749,83.6889,83.6889,72.0102,69.1871,0.0302,4.1281,4.1139,2.1649,2.3521,28.9962,1.0332,0.4603
2021-06-30,0.4367,0.7753,63.0112,63.0112,54.9349,52.7731,0.0292,3.0933,3.0825,1.603,1.7363,28.4277,0.5911,0.6606
2021-03-31,0.4324,0.7617,22.684,22.684,10.3954,9.499,0.0296,0.5741,0.572,0.2993,0.3247,28.2965,0.8944,0.6518
2020-12-31,0.4277,0.7474,58.1326,58.1326,37.4838,41.0938,0.0302,2.4518,2.4433,1.2963,1.3983,28.9106,0.5977,1.2427
2020-09-30,0.4384,0.7808,29.306,29.306,15.4029,14.5418,0.0302,0.8898,0.8868,0.4624,0.498,28.891,1.0363,0.6585
2020-06-30,0.4373,0.7771,54.6093,54.6093,41.7286,39.8016,0.0315,2.5137,2.505,1.3106,1.4096,29.1166,0.6573,1.4425
