Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,2.4607,0.2781,0.427,33.7621,30.8911,30.8911,39.7542,29.4776,15.2239,0.4459,2.9129,12.6908,28.761,18.0089,18.0089,8.7664,12.9999,17.3923,-1.6641,-2.7199
2021-12-31,2.517,0.2828,0.4105,38.5861,36.6207,36.6207,45.3666,33.5259,18.8488,0.4757,3.1199,13.1142,27.8324,23.3068,23.3068,11.172,16.715,15.7989,3.1408,2.7406
2020-12-31,2.7226,0.3414,0.5202,17.911,17.1644,17.1644,27.9265,12.6567,4.2189,0.3369,2.9938,10.0552,36.2995,4.6336,4.6336,2.0525,3.0517,12.8038,1.0436,1.6244
2019-12-31,2.4665,0.3602,0.5632,8.8668,7.5753,7.5753,17.3795,2.1247,-1.6595,0.3529,3.2224,12.3411,29.5761,-1.1004,-1.1004,-0.4705,-0.7041,12.0248,-1.6281,-2.0308
2018-12-31,3.1433,0.3834,0.6227,27.711,25.5207,25.5207,34.9367,20.8933,13.9682,0.4413,2.9905,14.0908,25.9035,16.2587,16.2587,6.8908,10.0255,12.3478,-0.5596,-0.6282
2017-12-31,2.1624,0.5112,1.1711,26.9646,22.4959,22.4959,32.9452,17.6919,11.0772,0.4397,2.8874,9.8517,37.0496,17.9621,17.9621,5.4394,8.7794,7.8011,0.3737,1.5382
2016-12-31,2.4467,0.6151,1.7313,-18.2333,-18.4019,-18.4019,-0.8024,-23.412,-28.0108,0.3974,4.8144,7.3965,49.3476,-41.3957,-41.3957,-10.2688,-15.9322,6.4062,-0.1406,3.5967
2015-12-31,1.7325,0.6203,1.6875,-87.684,-92.5036,-92.5036,-68.563,-96.7208,-83.7681,0.3136,6.7276,6.861,53.1995,-101.1292,-101.1292,-26.1502,-38.3997,9.6661,-2.4436,-1.3711
2014-12-31,1.7488,0.4498,0.8387,7.5346,-1.4899,-1.4899,17.8241,-3.9998,-6.5397,0.3409,3.4497,7.8037,46.7724,-4.5475,-4.5475,-1.7418,-2.5021,21.6304,-0.6828,-2.3724
2013-12-31,2.0893,0.447,0.8207,30.0368,25.5772,25.5772,38.9465,23.4836,12.7049,0.3296,2.9169,8.1659,44.6982,13.638,14.7587,5.4212,7.5419,24.3073,2.1464,0.5544
2012-12-31,3.0802,0.1419,0.1655,35.8079,32.2821,32.2821,38.8284,30.4664,16.8851,0.5082,2.5264,11.0559,33.0142,18.6758,18.6758,11.2303,16.0251,22.4563,-2.9759,-3.985
2011-12-31,3.4173,0.16,0.1906,47.7012,43.7739,43.7739,48.6686,42.2318,21.8391,0.6511,2.8224,18.2837,19.9631,30.9761,30.9761,17.9202,26.021,19.5707,0.3218,-0.8437
2010-12-31,2.6179,0.2425,0.3266,50.6322,47.7716,47.7716,53.2294,44.8425,22.5108,0.646,2.7289,7.8276,46.6297,38.0769,38.9545,18.8661,28.845,15.4074,1.9225,2.1265
2009-12-31,2.476,0.3705,0.5899,46.6755,43.238,43.238,49.9801,38.6702,16.8019,0.5786,2.7944,8.3417,43.7563,44.8363,33.9481,13.5944,20.6824,12.5227,4.6876,2.9957
