Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,2.4607,0.2781,0.427,30.132,26.5717,26.5717,26.6759,12.1049,0.1127,0.7766,3.2078,28.0566,3.9283,3.9283,1.9122,2.8357,17.3923,0.7133,0.0802
2022-09-30,2.5626,0.2854,0.4421,22.0668,19.2285,19.2285,17.3296,8.0752,0.1002,0.8091,3.7645,23.9077,2.3159,2.3159,1.1216,1.6549,16.9216,0.5552,-0.1053
2022-06-30,2.7279,0.2948,0.4613,34.8597,32.0532,32.0532,29.5236,15.5096,0.1081,0.7555,3.8357,23.4638,4.3165,4.3165,2.0713,3.0439,16.7575,1.1221,0.5779
2022-03-31,2.3709,0.2556,0.4002,44.8887,42.5413,42.5413,41.0874,23.1259,0.1352,0.817,3.3332,27.0014,7.9195,7.9195,3.8991,5.8951,16.5579,1.1511,0.6726
2021-12-31,2.517,0.2828,0.4105,39.6009,37.3946,37.3946,32.0084,17.9429,0.1284,0.8279,3.5385,25.4348,5.8995,5.8995,2.8279,4.2309,15.7989,1.5434,1.1886
2021-09-30,2.497,0.2801,0.429,41.6242,40.4735,40.4735,38.7967,22.9985,0.1297,0.8619,3.9967,22.5185,7.6472,7.6472,3.6724,5.505,14.0731,1.3225,0.9475
2021-06-30,2.2795,0.2921,0.4631,38.2394,35.9603,35.9603,33.5421,18.8413,0.1265,0.8416,3.4255,26.2735,6.3578,6.3578,2.9294,4.5007,14.2609,1.6121,1.3285
2021-03-31,2.3544,0.3186,0.5011,33.8969,31.5876,31.5876,28.8247,14.8041,0.1111,0.7735,2.7401,32.8454,4.869,4.869,2.1836,3.3176,13.3695,0.7278,0.4807
2020-12-31,2.7226,0.3414,0.5202,31.7909,38.02,38.02,32.6808,15.7508,0.1067,0.7876,3.1834,28.2714,4.5961,4.5961,2.0359,3.027,12.8038,0.9083,1.1246
2020-09-30,2.6069,0.3624,0.5711,25.5258,22.8512,22.8512,18.7743,8.5432,0.0937,0.7369,2.8379,31.7138,2.4599,2.4599,1.0511,1.5683,12.0867,0.846,0.4697
2020-06-30,2.4621,0.3641,0.5779,14.4401,10.5108,10.5108,7.1054,1.7354,0.0759,0.6858,2.2406,40.167,0.7228,0.7228,0.3082,0.4596,11.8147,0.3369,0.0112
2020-03-31,2.3408,0.3669,0.5939,-11.0793,-16.9049,-16.9049,-21.8728,-17.5483,0.0696,0.8064,2.5298,35.5754,-3.2365,-3.2365,-1.365,-2.0491,11.6827,-0.0262,-0.4008
2019-12-31,2.4665,0.3602,0.5632,12.81,19.8159,19.8159,9.3582,0.3068,0.0958,0.8372,3.3513,26.855,0.2407,0.2407,0.1029,0.154,12.0248,0.1178,-0.0733
2019-09-30,2.4688,0.3611,0.5654,3.8059,-1.2052,-1.2052,-4.7257,-6.5652,0.077,0.684,3.172,28.373,-1.3396,-1.3396,-0.574,-0.8559,12.0896,0.1538,-0.2988
2019-06-30,2.6567,0.3575,0.5565,5.2735,0.9306,0.9306,-2.6509,-2.0305,0.0863,0.7674,3.6557,24.6193,-0.4153,-0.4153,-0.1801,-0.2669,12.2791,0.3833,-0.0449
2019-03-31,2.7856,0.3569,0.5552,12.3681,8.4652,8.4652,4.8259,0.7384,0.0924,0.7449,3.1839,28.2674,0.4204,0.4204,0.1827,0.2703,12.2957,0.3665,-0.0027
2018-12-31,3.1433,0.3834,0.6227,9.7991,8.5776,8.5776,-4.9131,13.165,0.0873,0.738,2.7867,32.2964,2.0903,2.0903,0.8859,1.2889,12.3478,-0.0425,-0.1338
2018-09-30,2.8359,0.4526,0.827,28.1377,26.793,26.793,24.1646,11.3284,0.13,0.8715,3.8047,23.6553,4.9651,4.9651,1.7696,2.718,9.285,0.8552,0.4712
2018-06-30,2.7226,0.4641,0.8665,35.0426,32.1981,32.1981,30.0116,16.815,0.1396,0.8039,3.9693,22.6742,8.0906,8.0906,2.806,4.3355,8.8627,0.8978,0.6105
2018-03-31,2.3264,0.4826,0.9732,33.0526,29.9712,29.9712,27.4445,14.2153,0.1329,0.8389,3.3712,26.6968,6.9428,6.9428,2.26,3.5923,8.2305,0.939,0.6632
2017-12-31,2.1624,0.5112,1.1711,35.3105,29.3394,29.3394,26.2845,20.6507,0.1351,0.786,3.0276,29.7262,10.5613,10.5613,3.1982,5.162,7.8011,1.1376,0.8225
2017-09-30,2.021,0.5513,1.445,25.4756,21.5313,21.5313,14.5244,6.4965,0.1155,0.8328,2.7878,32.2831,2.3656,2.3656,0.6483,1.0615,7.0649,0.8127,0.6439
