Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,1.4402,0.3527,0.563,26.8644,2.525,2.525,0.7634,-1.057,0.1155,0.8578,1.9791,45.4756,-0.0407,-0.0565,-0.0169,-0.0264,14.915,0.7145,0.2475
2022-09-30,1.5104,0.361,0.583,30.4473,8.3716,8.3716,7.4541,5.9633,0.1214,0.8221,2.1531,41.8005,1.957,2.7795,0.7865,1.2505,14.0316,0.8275,0.2827
2022-06-30,1.4255,0.3578,0.5674,34.4675,13.5546,13.5546,20.7469,15.574,0.1216,0.8356,2.0241,44.4647,4.874,6.8665,1.9651,3.1299,14.5413,0.8876,0.4737
2022-03-31,1.5533,0.3513,0.551,34.8641,15.4891,15.4891,20.6794,15.788,0.1216,0.9156,1.9267,46.712,4.6005,6.3825,1.9202,2.9844,15.2709,0.6217,0.1758
2021-12-31,1.5936,0.3578,0.5615,34.5756,13.1393,13.1393,15.9684,12.5952,0.1219,0.9694,1.8343,49.0642,3.9697,5.5481,1.6515,2.5494,15.1145,1.284,0.5354
2021-09-30,1.7706,0.3623,0.5722,36.5422,15.2697,15.2697,13.6376,10.2628,0.1217,0.9314,1.71,52.6307,3.1081,4.3946,1.2927,1.982,14.7611,0.9886,0.5238
2021-06-30,1.654,0.3665,0.6076,37.5607,16.4239,16.4239,14.8815,-10.1114,0.1175,0.9158,1.702,52.8792,3.7391,5.3531,1.5232,2.3687,14.4893,0.965,0.5807
2021-03-31,2.3066,0.3607,0.5756,35.1368,15.2584,15.2584,25.076,18.2067,0.1091,0.9039,1.7316,51.9757,5.3207,6.0689,1.9872,2.8244,17.6537,0.8051,0.4833
2020-12-31,2.1248,0.3676,0.5928,36.209,14.209,14.209,10.1791,6.0597,0.1089,0.8765,1.5706,57.3045,2.3592,2.7169,0.8546,1.2368,18.1976,1.2422,0.5853
2020-09-30,2.0935,0.3783,0.6283,33.3556,8.5638,8.5638,14.995,14.2286,0.0992,0.7749,1.4297,62.949,4.0447,4.6933,1.4108,2.0649,16.8949,0.5302,0.5133
2020-06-30,2.2669,0.3912,0.6436,29.5197,-4.0219,-4.0219,-1.9133,-3.7485,0.093,0.8076,1.4959,60.164,-0.7221,-0.7771,-0.2578,-0.3562,15.9855,0.7251,0.3803
2020-03-31,2.1767,0.3888,0.637,23.463,-5.0606,-5.0606,-4.5169,-5.0188,0.0858,0.7797,1.3999,64.2911,-0.9612,-1.0412,-0.3446,-0.4776,16.1884,0.3263,-0.3908
2019-12-31,2.1196,0.3729,0.5955,30.3159,5.2183,5.2183,0.6035,0.213,0.0975,0.8461,1.5343,58.6582,0.2991,0.324,0.1107,0.1544,17.0564,1.1299,0.7332
2019-09-30,1.71,0.3216,0.4972,34.6626,12.4404,12.4404,13.9059,10.668,0.1074,0.8203,1.4496,62.0859,3.1106,3.3687,1.2331,1.7408,17.1016,0.9721,0.6419
2019-06-30,1.8475,0.3102,0.4833,36.2245,12.7211,12.7211,7.3469,2.3129,0.1066,0.8184,1.398,64.3776,0.8199,0.8895,0.3336,0.4694,17.3569,0.1891,-0.6204
