Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.9153,0.3528,0.6302,57.9008,7.1322,7.1322,26.8765,2.4993,1.2422,0.2003,,8.9905,40.5984,0.6358,-1.3729,0.3198,0.4115,85.6775,-1.3261,-1.8808
2021-12-31,1.0556,0.3062,0.463,55.727,15.9422,15.9422,36.8803,12.2545,11.3267,0.1882,,9.008,40.5197,3.8187,-9.3392,2.1817,2.6495,90.8496,1.7686,1.5408
2020-12-31,1.0095,0.2355,0.3512,50.8224,12.0421,12.0421,34.8423,8.001,7.8739,0.1679,,9.3475,39.0477,2.2014,-7.2033,1.369,1.683,92.1358,0.714,0.8084
2019-12-31,1.2199,0.2447,0.3418,57.78,16.1123,16.1123,35.3395,10.5443,8.7667,0.1104,,5.4867,66.5242,1.6727,-5.2969,1.055,1.2634,93.4462,0.0419,-0.1649
2018-12-31,1.0329,0.545,1.3928,67.4719,21.8947,21.8947,38.9562,16.6992,13.4285,0.2544,,9.6624,37.7755,11.5773,-10.4373,3.6632,5.2673,26.5022,3.6502,3.2391
2017-12-31,1.1279,0.5349,1.3353,51.4979,14.059,14.059,26.5427,9.8784,11.7838,0.3058,,13.1677,27.7193,12.4601,-12.6023,3.8011,5.7958,24.9104,-1.1577,-1.398
2016-12-31,1.0926,0.6052,1.7381,60.401,14.6626,14.6626,21.2067,12.4532,9.3738,0.2718,,10.5375,34.6382,10.4419,-7.0552,2.7214,4.1223,18.2628,0.0,0.0
2016-05-31,1.173,0.6035,1.7007,60.401,14.6626,14.6626,21.2067,12.4532,9.3738,0.2758,,10.0487,36.3232,10.0861,-6.8825,2.7614,3.9991,18.6334,1.2661,1.1857
2015-05-31,1.0911,0.6603,2.7013,63.1503,16.4616,16.4616,21.419,15.0379,10.0241,0.4799,,13.6678,26.7051,35.7957,-26.0107,5.3487,12.1611,6.6143,1.851,1.8036
2014-05-31,1.3564,0.5485,1.6188,62.7198,15.8756,15.8756,20.6546,14.7735,9.6031,0.6356,143.4938,11.859,30.7782,23.8305,-36.4968,6.7175,10.7602,8.2271,-0.2024,-0.1322
2013-05-31,1.7249,0.4092,0.8945,63.7162,15.0347,15.0347,19.7397,14.0697,9.0965,0.7603,77.9665,12.4661,29.2795,18.5537,-150.6426,7.6387,10.9615,8.5289,2.6295,2.6909
2012-05-31,1.4914,0.1539,0.4062,64.3915,13.946,13.946,18.4427,13.6328,8.5378,0.8198,79.5576,11.978,30.4725,16.724,76.0598,8.0935,14.1508,8.2807,-5.5017,-5.5811
2011-05-31,1.2794,0.167,0.467,64.2426,17.8295,17.8295,22.2514,17.4323,11.2506,0.5551,87.0441,11.1064,32.8641,17.1272,105.7462,6.8386,14.2669,8.3265,1.5738,1.3029
2010-05-31,1.4399,0.2385,0.5741,64.4067,19.6825,19.6825,23.8632,18.8977,12.3788,0.8054,60.0215,12.3978,29.4408,25.5887,229.1581,10.9355,19.4857,5.4712,0.4733,0.3846
2009-05-31,1.7705,0.1982,0.3055,65.4754,20.0058,20.0058,24.5389,19.9869,2.5451,0.8721,85.3661,11.8465,30.8108,30.5225,-100.9982,12.3458,24.4744,4.2156,2.3626,2.11
