Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2021-12-31,1.4184,0.5368,1.2323,100.0,25.9924,25.9924,46.1427,19.6492,7.3718,0.3696,,6.2618,58.2903,12.6672,13.3513,4.3383,5.868,22.6832,4.9703,6.2932
2020-12-31,1.8983,0.5731,1.3443,100.0,-49.5837,-49.5837,-6.4113,-59.3256,-64.3839,0.2552,,5.586,65.3414,-44.8145,-47.5146,-15.0842,-19.1294,20.6365,-1.0781,2.6507
2019-12-31,1.2574,0.4319,0.7604,100.0,9.232,9.232,41.828,3.3948,-6.3287,0.2989,,5.5641,65.5991,-2.4727,-2.5679,-1.1018,-1.4047,31.8277,-1.0508,-5.3736
2018-12-31,2.0241,0.3776,0.6128,100.0,10.3928,10.3928,39.5144,3.4024,-5.0727,0.3017,,6.4595,56.5056,-1.0563,-1.0923,-0.5366,-0.6574,37.36,3.4937,-5.8295
2017-12-31,2.5285,0.3412,0.5648,100.0,-98.3901,-98.3901,-45.6458,-105.708,-75.3751,0.2365,,5.3379,68.3791,-31.9032,-32.8581,-17.0518,-21.0176,39.2123,0.4433,11.5817
2016-12-31,1.8996,0.3004,0.4365,100.0,-72.3436,-72.3436,-4.2209,-80.9324,-129.6304,0.1664,,4.6413,78.6413,-38.9737,-39.9317,-21.2292,-27.265,49.2571,-4.4199,3.8283
2015-12-31,1.6758,0.2418,0.3231,100.0,-57.8963,-57.8963,1.7028,-64.1652,-46.0518,0.1943,,5.7256,63.7485,-14.5042,-14.7758,-8.6629,-10.9971,71.3207,-7.4997,-15.2929
2014-12-31,1.3014,0.2096,0.2682,83.9899,19.1581,19.1581,49.1851,22.6879,21.5796,0.2796,3.2619,5.1795,70.4708,7.5806,8.269,4.4054,5.9917,78.087,-0.4696,-3.3979
2013-12-31,1.3112,0.1794,0.2339,85.5103,24.2251,24.2251,46.7955,38.6476,42.436,0.2785,1.8082,3.3773,108.0743,16.2847,17.6129,9.4401,13.3625,76.1849,-1.6779,14.0806
2012-12-31,1.0006,0.2567,0.3825,89.1139,25.0388,25.0388,48.4443,27.2519,16.5374,0.2819,1.0588,2.8227,129.3075,8.5271,9.5183,4.162,6.3379,62.0828,1.9693,0.8514
2011-12-31,1.0295,0.2441,0.3258,50.9207,15.0016,15.0016,26.0641,10.4424,7.939,0.5481,7.3985,4.2808,85.2648,8.2347,9.4001,3.912,6.2243,54.6862,0.8647,-1.9432
2010-12-31,1.1533,0.2478,0.3321,30.8753,8.6262,8.6262,15.4687,9.7779,6.2755,0.9567,16.1205,7.1772,50.8555,12.7194,14.8462,6.0402,9.5677,49.7778,4.4548,-2.7654
2009-12-31,1.166,0.242,0.3302,29.2193,6.5071,6.5071,13.936,5.1395,2.4988,1.0051,14.5765,7.5469,48.3643,5.9654,6.5594,2.7388,4.5218,41.3411,9.3436,0.3926
