Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,1.2439,0.4003,0.9266,33.1807,19.4615,19.4615,22.1316,17.3388,0.1485,1.0873,1.2157,74.0331,8.4506,-83.1009,2.5694,5.0677,27.2646,3.0746,2.8001
2022-06-30,1.1955,0.4071,1.0488,32.4696,17.8823,17.8823,19.0327,14.0847,0.1438,1.0843,1.157,77.7862,6.9434,-46.3827,2.0287,4.1166,27.0002,1.1523,0.9208
2022-03-31,1.2124,0.3988,1.0167,32.2588,15.1743,15.1743,17.968,13.5387,0.1322,1.0369,1.1766,76.4936,5.9524,-48.3376,1.79,3.5788,27.9874,0.0521,-0.1982
2021-12-31,1.3006,0.4255,1.0186,31.4312,17.5349,17.5349,20.7116,16.4953,0.1343,1.1553,1.2675,71.0061,7.494,-67.795,2.2367,4.305,28.0987,3.7918,3.4053
2021-09-30,1.2883,0.442,1.1731,32.1846,18.5885,18.5885,20.0637,14.8354,0.132,1.1568,1.1705,76.8925,7.0277,-51.2068,1.9831,3.9218,26.3132,1.6176,1.3228
2021-06-30,1.4139,0.4699,1.1733,31.8461,18.1426,18.1426,21.3556,16.2352,0.1377,1.271,1.2679,70.9843,7.9497,-53.9724,2.2629,4.2137,26.3644,1.8232,1.559
2021-03-31,1.4255,0.469,1.1685,32.4698,17.8495,17.8495,22.0133,16.8796,0.133,1.2392,1.2665,71.061,7.9334,-57.2785,2.2781,4.2122,26.277,1.3882,1.0944
2020-12-31,1.4677,0.4788,1.2582,32.8539,18.8315,18.8315,19.2135,15.2697,0.1378,1.3313,1.3036,69.0371,7.7515,-75.4376,2.1351,4.0402,25.531,3.9008,3.5499
2020-09-30,1.6411,0.4913,1.2135,30.9606,16.8142,16.8142,14.7236,9.7217,0.1229,1.1441,1.1336,79.3921,4.2647,-92.2078,1.2307,2.1694,26.0981,1.4119,1.0761
2020-06-30,1.6332,0.4892,1.2027,29.4369,13.6151,13.6151,16.3033,14.4577,0.1176,1.11,1.1131,80.852,5.9839,-156.33,1.7279,3.0564,26.1705,2.1066,1.7837
2020-03-31,1.3013,0.3925,0.9019,34.6095,19.9811,19.9811,22.8642,18.6813,0.1474,1.2072,1.1357,79.2485,8.9896,-161.0833,2.7968,5.4613,25.4542,1.3096,1.1255
2019-12-31,1.3429,0.3726,0.8554,33.3614,17.8496,17.8496,18.6184,16.449,0.1618,1.4314,1.2673,71.0162,8.4999,-269.0355,2.7097,5.3327,26.3057,3.5503,3.0975
2019-09-30,1.315,0.3775,1.0167,33.5461,19.2824,19.2824,21.6487,17.8737,0.1512,1.3123,1.1982,75.1123,9.0025,-181.6979,2.7419,5.6041,25.6195,2.0575,1.8323
2019-06-30,1.1947,0.3228,0.8961,34.069,19.0631,19.0631,21.4433,16.6721,0.1601,1.3248,1.2479,72.1227,8.6157,-107.6072,2.6944,5.8347,25.1005,2.3014,2.0775
2019-03-31,1.242,0.312,0.85,33.8249,18.4827,18.4827,20.7339,15.9388,0.1517,1.2927,1.2158,74.0241,7.5754,-225.0784,2.4522,5.2116,26.0477,1.5349,1.3468
2018-12-31,1.2874,0.347,0.8832,31.2879,15.6234,15.6234,17.6791,17.6894,0.1684,1.5453,1.2958,69.4542,9.4782,-131.1228,3.0118,6.1891,25.1617,2.0618,1.6709
2018-09-30,1.4876,0.4329,0.991,29.79,15.6291,15.6291,17.2645,21.7246,0.1738,1.493,1.2561,71.6521,12.7932,-59.3152,3.8045,7.2548,24.8768,2.5132,2.2694
