Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,1.0521,0.4432,0.7962,98.2035,49.8903,49.8903,64.0291,24.7943,19.83,0.0375,6.2378,58.5141,6.5814,-13.0944,0.7708,3.6645,40.7174,0.8077,0.7485
2021-12-31,1.0058,0.3527,0.6118,97.775,48.2648,48.2648,62.3846,79.7369,56.787,0.0369,5.9156,61.7017,17.8873,-33.5976,2.1028,11.5778,40.549,0.3364,0.2751
2020-12-31,0.9911,0.4197,0.8466,97.6143,50.2485,50.2485,62.6905,45.8251,34.609,0.0478,4.9073,74.3787,10.7914,-13.0405,1.6704,6.2626,34.82,0.4848,0.2859
2019-12-31,0.9878,0.233,0.4523,97.5971,51.3841,51.3841,64.11,47.6932,37.1588,0.0551,5.2652,69.3233,11.3387,-31.0421,2.0742,8.6972,31.2022,0.3314,0.2752
2018-12-31,1.0088,0.2736,0.4318,97.369,51.8779,51.8779,63.6473,50.6126,39.9277,0.0537,5.2246,69.8624,11.7231,-31.9823,2.1769,8.5157,30.283,0.8647,0.9821
2017-12-31,0.9887,0.2008,0.3591,97.3911,51.2937,51.2937,62.8288,54.4631,54.4631,0.0593,5.1362,71.064,15.0368,-46.4364,3.2633,12.0177,29.1338,-0.0775,-0.0692
2016-12-31,0.9747,0.1972,0.404,96.9637,48.1383,48.1383,61.6578,45.2793,31.6933,0.055,5.807,62.8557,9.2484,-20.9429,1.7768,7.4242,26.4773,1.2423,1.1286
2015-12-31,0.9739,0.2412,0.4925,95.8358,52.4266,52.4266,62.9419,49.5207,38.1666,0.0428,4.7686,76.5428,8.7264,-16.1936,1.6605,6.6217,24.9832,-0.2079,-0.2672
2014-12-31,0.996,0.1528,0.3451,94.1462,46.8305,46.8305,55.8215,45.5045,31.727,0.0453,6.0866,59.9677,8.1101,-25.6182,1.4724,6.8709,21.9327,0.7456,0.7625
2013-12-31,0.9988,0.2406,0.4085,96.6208,49.4368,49.4368,58.761,31.5394,15.8949,0.0248,2.9267,124.7121,2.5846,-5.2194,0.4967,1.9627,21.5322,-0.2006,-0.4675
2012-12-31,1.0466,0.2086,0.3079,97.5789,60.675,60.675,70.2861,57.9604,40.4989,0.0366,10.7323,34.0095,15.2842,59.7872,1.5101,12.0964,10.074,0.0812,0.13
2011-12-31,1.0253,0.2094,0.2806,97.3625,59.7589,59.7589,69.5554,57.272,38.4326,0.0367,9.7337,37.4987,16.5068,128.8946,1.4441,13.0505,8.7327,0.4936,0.3868
2010-12-31,1.0194,0.1037,0.2054,97.1653,56.7262,56.7262,67.7871,53.0002,34.6363,0.0432,10.047,36.3291,14.4764,4121.949,1.5305,12.9758,7.6853,0.1199,0.1124
2009-12-31,1.0259,0.0789,0.1264,96.4257,51.5305,51.5305,63.2844,49.6292,31.7644,0.0455,9.1208,40.0184,12.9088,118.3899,1.4355,11.8901,6.6232,1.3135,1.1927
