Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2023-01-31,1.2315,0.2933,0.4467,74.5807,8.8787,8.8787,7.4975,5.5245,0.1118,3.1351,28.7077,1.0605,-3.5944,0.6176,0.7494,56.4439,1.0153,0.8183
2022-10-31,1.3696,0.2876,0.4347,73.97,2.9265,2.9265,1.2322,1.5402,0.0959,5.5021,16.3573,0.249,-0.8764,0.1477,0.1774,57.1113,1.1549,0.8838
2022-07-31,1.3904,0.2807,0.4205,75.145,-3.1069,-3.1069,-4.1011,-2.3198,0.087,4.4787,20.0953,-0.3406,1.2856,-0.2019,-0.245,58.3155,1.2811,1.0621
2022-04-30,1.6313,0.2878,0.404,85.3693,42.5249,42.5249,42.1342,31.8537,0.1975,7.5699,11.8892,10.5772,-44.9174,6.2916,7.5334,60.0447,11.6112,11.3966
2022-01-31,1.1759,0.3015,0.4317,78.8627,2.095,2.095,1.1223,3.7411,0.1016,2.3655,38.0471,0.6412,-1.81,0.3802,0.4479,55.106,0.2779,0.0568
2021-10-31,2.0987,0.1731,0.2093,79.2227,9.716,9.716,11.8585,11.3602,0.135,3.8448,23.4081,2.3425,24.6487,1.5333,1.9371,35.6231,0.5235,0.3718
2021-07-31,1.9424,0.1709,0.2061,81.843,15.697,15.697,15.736,14.838,0.1651,4.9825,18.0633,3.8504,37.8486,2.4491,3.1925,36.1191,2.0932,2.0012
2021-04-30,1.9642,0.1696,0.2042,85.7417,45.8663,45.8663,46.034,35.0827,0.2648,7.4785,12.0345,14.7062,143.5294,9.2905,12.2122,36.4079,8.6248,8.519
2021-01-31,1.5293,0.1865,0.2659,76.7132,-1.5863,-1.5863,1.3959,1.269,0.108,2.5502,35.2919,0.2255,-17.5439,0.137,0.1835,32.3696,1.017,0.9003
2020-10-31,3.0906,0.2792,0.4494,80.65,15.7974,15.7974,15.873,14.966,0.1363,10.3359,8.7075,3.775,5.6815,2.0398,2.7209,19.9652,0.1698,0.0264
2020-07-31,2.2613,0.2846,0.6598,81.9934,26.5969,26.5969,26.7621,24.5044,0.1661,11.2795,7.9791,8.7152,12.9965,4.071,6.2351,19.5079,1.0871,0.9735
2020-04-30,1.7921,0.01,0.084,85.976,47.0686,47.0686,46.9021,36.1093,0.3867,13.3422,6.7455,22.8692,35.5061,13.9619,22.6399,18.1784,7.3371,7.1894
2020-01-31,1.6742,0.091,0.1103,79.9528,15.9198,15.9198,16.6274,14.1509,0.2531,2.5893,34.7583,6.4395,11.8168,3.5816,5.8537,14.3062,1.2008,1.0871
2019-10-31,1.7997,0.0931,0.1164,75.1073,0.8584,0.8584,1.8884,4.8927,0.1884,6.1316,14.6781,1.569,2.9549,0.9219,1.4229,13.957,-0.4811,-0.625
2019-07-31,1.8281,0.0933,0.1163,71.7304,-15.3924,-15.3924,-13.7827,-4.4266,0.1582,6.5395,13.7626,-1.1736,-2.1569,-0.7003,-1.0641,14.4093,-0.4622,-0.5606
2019-04-30,1.8546,0.0891,0.1101,89.1809,54.5232,54.5232,54.9205,42.1149,0.473,12.3472,7.2891,33.8575,57.0364,19.9219,30.8415,15.6941,8.5152,8.3295
2019-01-31,1.3213,0.1149,0.1477,81.0253,15.5127,15.5127,15.6458,12.5832,0.2815,2.4071,37.3901,6.7597,16.6373,3.5426,5.9829,10.7908,1.2917,1.1212
