Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.7744,0.915,10.8052,68.4083,22.0852,22.0852,20.2113,17.0673,0.2061,0.9666,93.1143,112.7377,-7.8127,3.5181,9.5776,2.8772,2.366,1.9132
2022-09-30,0.6417,1.0272,-37.923,68.7028,19.0273,19.0273,17.4238,13.0302,0.2041,1.2719,70.7597,-267.2969,-4.8141,2.6593,7.2615,-0.8201,4.0159,3.6099
2022-06-30,0.6234,1.0618,-17.2354,69.1588,21.585,21.585,20.047,14.8872,0.2089,1.1745,76.6277,-143.438,-5.4918,3.1094,8.8611,-1.7972,5.1825,4.9169
2022-03-31,0.6974,0.9541,20.8422,70.1417,17.2044,17.2044,17.0311,13.662,0.1808,0.952,94.5371,146.01,-4.907,2.4696,6.7014,1.4543,2.0222,1.8137
2021-12-31,0.7755,0.8688,6.6371,69.4113,14.1928,14.1928,13.5569,16.0266,0.1761,0.9569,94.055,56.4222,-6.3545,2.8229,7.4034,4.5033,2.5163,2.2782
2021-09-30,0.7261,0.8802,7.363,68.9317,19.9105,19.9105,17.1959,12.8745,0.1653,1.1921,75.498,44.5028,-4.4274,2.1283,5.3316,4.0333,4.2524,4.0789
2021-06-30,0.7758,0.8233,4.6683,69.9481,23.5338,23.5338,32.4836,23.2358,0.1624,1.0587,85.0073,51.4057,-8.4674,3.7733,9.0851,6.2711,6.6966,6.5543
2021-03-31,0.7104,0.6861,2.2091,69.7051,20.4171,20.4171,19.4516,14.8636,0.1591,0.9393,95.8195,18.4052,-5.7999,2.3653,5.7768,10.2386,1.7646,1.6242
2020-12-31,0.7881,0.6423,1.8147,68.4183,16.008,16.008,14.0332,10.7487,0.1521,0.8963,100.4132,10.9688,-4.4929,1.6349,3.9232,12.2738,2.8884,2.6329
2020-09-30,0.7398,0.6536,1.9065,66.8449,8.8124,8.8124,1.4244,1.7056,0.1454,1.0482,85.8599,1.6351,-0.6232,0.248,0.5664,11.6041,2.7028,2.5373
2020-06-30,0.6959,0.6615,1.9927,66.8544,10.2402,10.2402,6.0584,5.6597,0.1429,0.9281,96.9719,5.5565,-1.9728,0.8087,1.8808,11.0934,3.8243,3.5858
2020-03-31,0.7005,0.6957,2.4535,66.505,12.2406,12.2406,9.5058,7.3705,0.1498,0.8871,101.4543,8.4353,-2.5882,1.1043,2.5669,9.9702,0.619,0.3466
2019-12-31,0.7067,0.6853,2.3265,62.5367,11.312,11.312,9.1884,5.6254,0.1683,0.9076,99.1623,7.213,-2.3152,0.9467,2.27,10.5273,0.9057,0.3206
2019-09-30,0.6752,0.6905,2.3726,63.5127,6.9112,6.9112,5.3071,4.1367,0.1485,0.9729,92.5024,4.5004,-1.4,0.6143,1.393,10.278,2.4249,2.0242
2019-06-30,0.6813,0.6812,2.2622,63.7683,10.8324,10.8324,8.4982,9.6562,0.1591,0.9623,93.5276,10.729,-3.5173,1.5366,3.4207,10.6926,2.4939,2.062
2019-03-31,0.668,0.7097,2.6837,64.2798,5.0285,5.0285,2.1694,2.1428,0.1445,0.8232,109.3286,2.4268,-0.6783,0.3097,0.7045,9.5123,0.3911,0.1707
2018-12-31,0.6913,0.7132,2.6819,62.5448,11.9027,11.9027,10.1909,7.7162,0.1756,0.8676,103.7403,9.8759,-2.6973,1.3548,2.8319,9.4843,0.4914,-0.1844
2018-09-30,0.6551,0.6881,2.3055,63.5324,5.7205,5.7205,4.1178,1.2752,0.155,0.9413,95.6155,1.2483,-0.3847,0.1977,0.3893,10.3589,2.7052,2.4392
2018-06-30,0.6399,0.6997,2.6381,63.2854,8.5981,8.5981,7.4972,4.6208,0.1627,0.9238,97.4289,5.0215,-1.4323,0.752,1.508,10.146,1.888,1.6468
2018-03-31,0.7253,0.6888,3.0132,62.9284,-0.904,-0.904,-4.4492,-2.0328,0.1393,0.849,106.0092,-1.9834,0.6089,-0.2833,-0.6172,10.8273,0.0299,-0.1643
2017-12-31,0.9171,0.7467,3.334,60.7319,6.2004,6.2004,2.7971,10.5772,0.1393,0.8621,104.4011,10.9111,-3.2558,1.4734,2.7638,10.8284,0.2716,-0.1275
2017-09-30,0.7302,0.7719,3.8705,59.8825,-2.9404,-2.9404,-7.4799,-5.8182,0.1181,0.9472,95.021,-5.5802,1.2527,-0.6872,-1.2727,9.5251,1.6367,1.2683
2017-06-30,0.7843,0.7863,4.0037,58.2801,-11.6611,-11.6611,-16.919,-10.9373,0.1206,0.9519,94.5507,-10.8099,2.3592,-1.3193,-2.3105,9.421,1.2783,0.9395
2017-03-31,1.4797,0.9396,15.8407,61.9928,8.5583,8.5583,7.7574,5.8277,0.1858,0.8725,103.1462,35.4348,-4.3699,1.0826,2.1404,1.2385,-0.352,-0.4793
2016-12-31,0.9198,0.9161,11.4063,60.3163,15.4557,15.4557,15.0999,9.4544,0.2971,1.0936,82.2949,109.2101,-8.8132,2.8084,9.1669,0.7366,0.9939,0.8391
2016-09-30,0.879,1.0153,-70.1472,61.1326,8.488,8.488,7.795,5.3103,0.252,1.0247,87.8275,-290.3828,-3.6499,1.3383,4.4443,-0.127,1.4356,1.2981
2016-06-30,0.8893,1.0751,-15.6359,62.0618,13.6556,13.6556,12.6543,8.4633,0.2647,0.9938,90.5602,-97.7248,-5.7693,2.2402,7.3417,-0.6394,1.7729,1.5489
2016-03-31,0.9133,1.1565,-7.8992,61.9498,11.5616,11.5616,10.8219,8.0728,0.252,0.9243,97.3663,-39.928,-4.8832,2.0342,6.2497,-1.3657,0.1597,0.0811
2015-12-31,0.8621,1.2032,-6.1845,60.0451,15.7853,15.7853,15.0158,10.2153,0.2969,1.1085,81.1918,-49.67,-6.9642,3.0326,10.0952,-1.608,0.8966,0.7831
2015-09-30,0.8594,1.2417,-5.2635,61.2925,10.4913,10.4913,10.355,6.0712,0.2391,1.037,86.7856,-19.0276,-3.0995,1.4518,4.598,-1.9261,1.3932,1.2446
2015-06-30,0.8851,1.3242,-4.2021,61.584,15.5529,15.5529,14.5112,9.3359,0.2944,1.0385,86.6622,-30.0638,-6.5561,2.7487,9.7467,-2.049,1.7084,1.5607
2015-03-31,0.7043,1.5801,-4.7666,62.2735,10.3318,10.3318,9.3891,6.0169,0.2633,0.8951,100.5432,-20.3214,-3.7909,1.5844,11.789,-1.659,0.0645,-0.068
2014-12-31,0.9024,0.7049,2.5129,59.609,16.4115,16.4116,15.8033,10.1278,0.3067,1.0577,85.0881,36.6965,-12.965,3.1057,10.8289,1.8415,0.7503,0.6104
2014-09-30,0.7059,0.4504,2.4259,60.0673,10.4878,10.4878,9.8628,7.1869,0.2662,1.0467,85.9835,22.1908,-7.1374,1.9133,12.1958,1.7328,1.3889,1.3155
2014-06-30,0.7222,0.3946,1.8986,60.9138,15.7287,15.7287,15.2468,10.2035,0.2893,1.0539,85.3939,26.8545,-12.1196,2.9519,16.257,2.2217,1.5067,1.3942
2014-03-31,0.7466,0.3589,1.4996,61.7595,13.246,13.246,12.691,8.4477,0.2541,0.8988,100.1333,15.941,-9.7358,2.1469,10.2204,2.6238,0.1767,0.0782
2013-12-31,0.9353,0.2738,0.5674,59.6495,17.0455,17.0455,16.6067,11.7951,0.2919,1.0607,84.8521,16.9984,-37.4514,3.4435,12.3437,3.9288,0.7631,0.6726
2013-09-30,0.8957,0.3033,0.6374,60.6202,14.303,14.303,13.787,9.2996,0.2522,1.0473,85.9392,11.875,-18.6809,2.3455,8.2736,3.4894,1.0914,1.0034
2013-06-30,0.9099,0.3043,0.6237,60.1154,16.5873,16.5873,16.0438,10.4281,0.2764,1.0325,87.1679,14.1512,-23.6973,2.8823,9.8454,3.5284,1.268,1.1627
2013-03-31,0.8974,0.3161,0.6423,59.7455,13.2771,13.2771,12.7301,9.0165,0.2595,0.9215,97.667,11.4912,-17.6454,2.3399,7.8591,3.4047,0.2061,0.1051
2012-12-31,0.8668,0.2727,0.6685,57.8274,16.7796,16.7796,16.4106,12.3903,0.2928,1.0232,87.9562,19.181,-26.1838,3.6282,13.9499,3.2848,0.7362,0.5957
2012-09-30,0.8071,0.3146,0.7649,59.6313,13.2925,13.2925,12.5027,8.3799,0.2531,1.0093,89.1695,11.9997,-11.5827,2.1212,8.2249,2.7918,1.1411,1.0353
2012-06-30,0.7556,0.3768,0.9307,59.4329,15.7798,15.7798,15.2191,10.4367,0.288,1.0207,88.1732,19.2957,-13.2088,3.0058,12.0247,2.3014,0.848,0.7057
2012-03-31,0.7429,0.449,1.3988,60.3265,14.5071,14.5071,13.6476,9.2697,0.2735,0.9611,93.6456,19.9213,-9.9055,2.5352,10.976,1.8416,0.1942,0.1202
2011-12-31,0.7662,0.4521,1.1002,57.8479,16.2413,16.2413,15.6518,10.5272,0.31,1.0158,88.5983,24.7679,-13.4873,3.2629,13.5703,1.9475,0.7896,0.6066
2011-09-30,0.7594,0.448,1.0821,58.7326,13.6646,13.6646,12.8482,8.8101,0.2651,0.99,90.9118,15.6977,-9.4037,2.3354,8.6652,2.0409,1.1525,1.0064
2011-06-30,0.7826,0.4333,1.0194,58.2919,14.1072,14.1072,13.1859,8.8151,0.2821,1.0138,88.7741,14.9306,-10.4368,2.4864,8.4615,2.2359,0.8914,0.8333
2011-03-31,0.7858,0.4509,1.2149,59.5481,13.8913,13.8913,12.9306,8.8574,0.2584,0.9552,94.2241,13.8985,-9.2463,2.2888,7.631,2.1595,-0.248,-0.2852
2010-12-31,0.7657,0.4904,1.177,56.8514,13.8827,13.8827,12.2225,9.5981,0.2974,1.0479,85.8836,19.6166,-10.8951,2.8541,9.9968,1.9487,0.7793,0.6856
2010-09-30,0.6166,0.2503,1.9452,57.4848,11.064,11.064,9.9233,6.7793,0.2395,0.9871,91.1747,13.0169,-5.4031,1.6237,9.7583,1.6039,0.656,0.6103
2010-06-30,0.5804,0.4193,3.337,55.9713,10.8945,10.8945,9.6777,6.4014,0.2676,1.1059,81.3788,18.8005,-4.8409,1.7128,10.9173,1.1226,0.703,0.6594
2010-03-31,0.6054,0.4704,3.1651,58.4069,9.8698,9.8698,9.3181,6.5588,0.2505,0.9758,92.2306,16.7337,-4.6756,1.6432,8.8618,1.2056,-0.0799,-0.1142
2009-12-31,0.6211,0.5242,2.9235,55.448,12.6948,12.6948,11.6788,7.8205,0.2706,1.0354,86.9266,22.8516,-6.0481,2.1161,10.872,1.1737,0.4555,0.4141
2009-09-30,0.6546,0.6596,3.5416,55.8379,10.2894,10.2894,8.4047,7.5026,0.2683,1.0654,84.4752,26.8189,-6.0363,2.0131,9.1287,0.7831,0.5567,0.5303
2009-06-30,0.6587,0.8453,8.7646,56.625,11.3942,11.3942,9.4892,6.3655,0.2777,1.0703,84.085,47.5895,-4.6805,1.7676,7.3641,0.3806,0.4931,0.4529
2009-03-31,0.6519,0.9803,75.5814,57.3565,12.5948,12.5948,10.6112,7.3103,0.2883,1.056,85.2311,447.1368,-5.0674,2.1077,8.8293,0.0474,0.1548,0.1075
