Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,1.4104,0.256,0.3441,42.2603,7.7254,7.7254,7.4188,5.5157,0.4687,51.9009,1.9634,45.8391,5.4899,5.8682,2.5852,4.0844,35.3447,3.9603,0.0615
2022-09-30,1.4343,0.2619,0.3549,40.7915,9.4373,9.4373,9.084,7.0183,0.5165,,2.2236,40.4751,,8.254,3.6248,5.6725,33.8537,5.4738,1.4465
2022-06-30,1.2202,0.2215,0.3898,39.731,9.2008,9.2008,8.8661,6.6538,0.5291,,2.1598,41.6699,,8.2678,3.5207,5.9787,32.0274,4.6935,1.7439
2022-03-31,1.2718,0.2252,0.3986,38.8364,9.5825,9.5825,9.2217,6.9749,0.4961,,1.9985,45.0349,,8.0788,3.4603,5.7946,31.0503,2.7507,0.0251
2021-12-31,1.3375,0.2326,0.4174,38.7773,9.2224,9.2224,8.945,6.9263,0.5147,85.5282,2.0293,44.3501,7.7685,8.2758,3.5649,5.9612,29.6669,2.37,-1.0561
2021-09-30,1.3773,0.2443,0.4447,39.4262,8.7073,8.7073,8.3265,6.3542,0.4828,,2.1794,41.2951,,7.3452,3.0681,5.1674,27.827,2.8513,0.4903
2021-06-30,1.7986,0.3177,0.4657,39.6194,8.3052,8.3052,7.8906,5.9195,0.4599,,2.2477,40.0407,,6.6366,2.7226,4.1965,26.6077,2.8468,1.2099
2021-03-31,1.8278,0.3235,0.4781,40.911,7.9312,7.9312,7.472,5.5996,0.4248,,2.1475,41.9092,,5.8324,2.379,3.6437,25.7598,3.4139,2.6101
2020-12-31,1.6981,0.3342,0.5021,39.2396,7.5865,7.5865,7.2086,5.6255,0.4618,69.8793,2.0894,43.0744,5.923,6.4492,2.5978,3.9433,24.6099,1.9869,0.5615
2020-09-30,1.578,0.3438,0.524,40.5148,7.0981,7.0981,6.617,5.0756,0.4278,,2.204,40.8345,,5.4688,2.1716,3.3106,23.5375,2.5257,0.8069
2020-06-30,1.5914,0.3535,0.5467,44.5887,8.1649,8.1649,7.5674,5.6721,0.3863,,2.257,39.8762,,5.5448,2.1913,3.291,22.6605,3.6747,2.3956
2020-03-31,1.5373,0.3634,0.5708,42.0003,6.7844,6.7844,6.2567,4.5963,0.4239,,2.3315,38.6023,,5.0329,1.9486,2.9241,21.6423,2.3297,1.126
2019-12-31,1.4301,0.3637,0.5716,40.9045,8.3693,8.3693,7.8479,5.9044,0.4479,68.6076,1.9726,45.6243,6.3817,7.0088,2.6445,4.0608,21.3442,1.4348,0.5277
2019-09-30,1.2869,0.3709,0.5896,40.8466,7.1018,7.1018,6.579,5.0096,0.4388,,2.2489,40.0195,,5.9097,2.1983,3.3959,20.5814,3.1084,2.0474
2019-06-30,1.3041,0.3912,0.6426,43.0187,8.5377,8.5377,7.885,5.9087,0.4172,,2.1743,41.3919,,6.8814,2.4652,3.8099,20.0,3.3115,0.8599
2019-03-31,1.4407,0.3682,0.5829,43.0431,8.0299,8.0299,7.4062,5.7236,0.3923,,2.0845,43.1768,,5.9597,2.2451,3.4286,20.2666,2.2864,0.3519
2018-12-31,1.1114,0.2995,0.5468,36.7564,5.2955,5.2955,4.8107,3.826,0.4552,66.701,1.7477,51.4957,4.2201,4.4424,1.7417,2.9562,19.33,2.7971,0.0851
2018-09-30,1.1071,0.2829,0.5141,40.1479,7.9053,7.9053,7.4545,5.9332,0.468,,2.0169,44.6236,,6.3016,2.7768,4.5188,19.0571,2.2742,0.1672
2018-06-30,1.1285,0.2709,0.4943,40.8539,10.0425,10.0425,9.5818,7.0898,0.4661,,2.0979,42.9008,,7.4582,3.3045,5.4376,18.596,2.42,0.8354
