Date,long-term-debt-capital-annual,debt-equity-ratio-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.5893,2.1384,34.5988,26.6795,0.0355,17.4457,18.0147,1.0068,5.8332,14.4151,3.5853,3.5644
2021-12-31,0.4087,0.7348,42.3533,32.7867,0.0412,16.8266,17.8904,1.4017,8.8648,18.7576,-0.5119,-0.5121
2020-12-31,0.4326,0.8169,27.4669,21.8358,0.0333,8.2644,8.7845,0.7802,4.1938,18.4274,-1.1833,-1.181
2019-12-31,0.4222,0.7947,34.1381,27.351,0.0409,11.2829,12.0955,1.178,5.7926,17.4357,0.5234,0.5485
2018-12-31,0.4682,0.9358,35.6588,29.1356,0.0443,13.1415,14.5644,1.3315,6.3387,15.2977,0.7088,0.7197
2017-12-31,0.4882,1.0212,31.9947,20.3452,0.0438,9.2214,10.6951,0.9376,4.3974,14.0541,-0.1323,-0.0807
2016-12-31,0.4483,0.9642,20.4911,15.9611,0.0346,5.8122,6.3578,0.5782,2.8562,14.1201,0.4603,0.3935
2015-12-31,0.4863,1.0307,30.0837,21.9843,0.0427,8.7783,9.5391,0.966,4.3881,12.8735,-0.1638,-0.1422
2014-12-31,0.4276,0.8417,31.5398,21.7704,0.043,9.2284,10.081,1.0083,5.1366,12.2667,-0.1921,-0.2006
2013-12-31,0.4257,0.9232,28.8642,22.4387,0.0425,8.6748,9.4422,0.9361,4.8414,11.5861,0.3181,0.3901
2012-12-31,0.3991,0.8481,27.5765,21.4855,0.0436,8.4049,9.1931,0.9436,4.9079,11.1356,-0.5389,-0.5204
2011-12-31,0.4897,1.1659,33.1507,20.2491,0.0452,10.0405,10.7588,1.0891,4.9738,10.4113,-1.186,-1.203
2010-12-31,0.4822,1.2122,20.7212,10.1908,0.0417,7.0279,5.8164,0.6609,2.7634,12.9161,-0.2258,-0.0946
2009-12-31,0.5139,1.2476,-182.9618,-129.6974,0.0135,-15.3799,-12.6731,-1.3539,-5.6156,12.4446,3.3278,3.0223
