Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.3453,0.5827,15.0277,15.0277,12.5494,9.5966,0.0502,2.5068,2.5641,0.5139,1.6411,65.5956,2.4409,1.4766
2022-09-30,0.3664,0.6339,8.1479,8.1479,5.4897,3.7561,0.0461,0.9759,0.9994,0.1904,0.6183,61.5287,5.3018,4.8217
2022-06-30,0.3423,0.5722,10.3011,10.3011,7.4675,5.3129,0.044,1.2453,1.2724,0.2621,0.819,66.9669,4.1771,3.3955
2022-03-31,0.3342,0.5242,16.4021,16.4021,13.5803,9.9353,0.043,2.091,2.1329,0.4675,1.3921,71.8138,1.7024,1.2154
2021-12-31,0.3191,0.4735,15.2691,15.2691,12.5376,9.369,0.0449,1.9348,1.9707,0.4545,1.3174,77.1888,3.5669,2.7833
2021-09-30,0.3181,0.4763,11.9549,11.9549,9.0181,6.5263,0.0412,1.2859,1.3098,0.301,0.8768,75.3841,4.4518,3.8805
2021-06-30,0.3166,0.4696,27.7792,27.7792,25.281,18.8359,0.0491,4.0881,4.1632,0.9717,2.7936,74.6473,1.5616,1.389
2021-03-31,0.3267,0.4929,14.688,14.688,11.2369,7.206,0.0453,1.5806,1.611,0.3662,1.0642,70.2787,0.5004,0.1755
2020-12-31,0.3443,0.527,17.7676,17.7676,14.7749,10.7037,0.0462,2.2783,2.3755,0.5446,1.4939,71.249,1.6059,0.9944
2020-09-30,0.3578,0.559,9.2352,9.2352,5.2814,4.0115,0.0436,0.87,0.9073,0.2039,0.5588,67.6992,3.0559,2.6587
2020-06-30,0.351,0.5434,-41.1688,-41.1688,-46.4935,-36.1472,0.0294,-4.5946,-4.7935,-1.0785,-2.9819,65.6566,0.417,-0.2953
2020-03-31,0.3315,0.624,-31.5263,-31.5263,-36.173,-20.3937,0.0391,-5.4437,-5.6693,-1.3173,-3.6394,68.1448,1.1462,0.3344
2019-12-31,0.3431,0.5259,10.7843,10.7843,7.1207,5.5986,0.0471,0.9622,0.997,0.2566,0.632,75.3686,1.5355,0.5697
2019-09-30,0.3386,0.5159,5.551,5.551,1.6327,1.9592,0.0445,0.1752,0.1815,0.0473,0.1159,74.3853,2.6473,1.8546
2019-06-30,0.3384,0.5155,12.117,12.117,7.5904,6.8728,0.044,1.0047,1.0404,0.2735,0.6647,74.0058,1.2954,0.8023
2019-03-31,0.3389,0.5187,17.2744,17.2744,13.5214,10.4871,0.0467,1.8081,1.8662,0.4922,1.1953,71.6909,0.261,-0.4575
2018-12-31,0.3469,0.5319,-2.6772,-2.6772,-7.0581,-5.0198,0.042,-0.9866,-1.0183,-0.2694,-0.6444,68.5297,2.4804,1.6838
2018-09-30,0.3407,0.5236,13.8581,13.8581,9.8115,7.7051,0.0458,1.3205,1.3613,0.3671,0.8706,69.4917,3.9897,3.5243
2018-06-30,0.3406,0.5248,12.5348,12.5348,8.5515,6.4067,0.0445,1.1346,1.1698,0.3072,0.7482,69.025,5.1659,4.3708
2018-03-31,0.3206,0.4809,15.2471,15.2471,11.3097,8.1821,0.0443,1.5934,1.6388,0.4704,1.0825,78.8632,1.5606,0.8609
2017-12-31,0.3142,0.4695,16.962,16.962,12.9677,13.5302,0.0447,2.1615,2.2211,0.6672,1.4825,73.9744,2.3157,1.2355
2017-09-30,0.3157,0.4693,13.8313,13.8313,7.4979,4.459,0.0443,0.8702,0.894,0.2666,0.5955,72.3673,1.7134,0.9439
2017-06-30,0.3152,0.4682,14.4686,14.4686,10.3305,6.877,0.0425,1.1532,1.185,0.3514,0.7898,71.6159,3.648,3.0618
2017-03-31,0.3074,0.4504,19.7576,19.7576,15.4546,8.9394,0.0428,1.6474,1.6718,0.507,1.141,70.4901,-0.003,-0.6219
2016-12-31,0.3135,0.4614,17.7951,17.7951,13.8107,8.6878,0.0436,1.7636,1.7901,0.5379,1.2107,69.3985,1.577,0.9558
2016-09-30,0.3145,0.4666,20.8701,20.8701,16.9151,9.9483,0.0419,1.6791,1.7043,0.5006,1.151,69.4625,2.8064,1.9504
2016-06-30,0.3179,0.4804,-4.4149,-4.4149,-8.3459,-1.9655,0.0418,-1.2505,-1.2697,-0.3637,-0.8529,68.2625,1.837,0.2158
2016-03-31,0.314,0.4578,10.6524,10.6524,6.1456,3.2146,0.0411,0.8605,0.8738,0.2577,0.5903,68.2125,0.4392,0.227
2015-12-31,0.2945,0.463,-11.3111,-11.3111,-15.1215,-6.0306,0.0439,-1.2758,-1.2957,-0.3829,-0.9001,67.11,3.7011,3.4343
