Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,1.1269,0.5818,1.5629,77.2516,24.1515,24.1515,22.5524,20.9131,0.1463,0.4122,0.8338,107.9336,14.2801,-170.8281,3.0587,5.9717,10.699,2.4137,1.7316
2022-06-30,1.0957,0.6292,1.9417,77.9516,18.6514,18.6514,16.8141,14.681,0.1379,0.3669,0.8456,106.4297,10.9999,-34.8863,2.0239,4.079,9.1133,0.9196,0.5072
2022-03-31,1.2673,0.6156,1.7447,73.4686,30.7849,30.7849,26.2945,24.3649,0.1665,0.5323,1.0006,89.9505,20.111,-99.5032,4.0557,7.7307,9.9584,2.7573,2.3541
2021-12-31,1.2259,0.6264,1.8444,74.3722,23.9653,23.9653,22.999,21.5765,0.1639,0.5276,0.9843,91.4321,18.8546,-71.0592,3.5367,7.045,9.5997,2.36,2.0415
2021-09-30,1.3016,0.6612,2.148,78.8743,27.7758,27.7758,18.3868,16.3906,0.1406,0.3662,0.9641,93.3514,13.9563,-29.0777,2.3037,4.7286,8.3151,1.7894,1.4199
2021-06-30,1.1459,0.6886,2.4784,71.0212,20.8217,20.8217,23.648,20.6258,0.141,0.5107,0.9764,92.1725,20.8629,-26.7033,2.9078,6.4962,6.966,1.9543,1.5348
2021-03-31,1.4175,0.6953,2.2825,72.3963,16.9757,16.9757,21.6939,19.9145,0.1453,0.5132,1.0221,88.056,19.0906,-27.853,2.8936,5.817,7.4027,1.8604,1.5312
2020-12-31,1.399,0.7401,2.8489,76.8844,26.7756,26.7756,33.1868,28.4516,0.1595,0.4321,1.0737,83.8185,36.3387,-39.2633,4.5393,9.445,6.0895,1.983,1.4859
2020-09-30,1.3559,0.7658,3.3871,76.8944,22.2677,22.2677,25.0357,21.0501,0.1306,0.3731,0.9822,91.6336,24.1874,-19.1233,2.7497,5.6651,5.2233,1.9805,1.5495
2020-06-30,1.2163,0.7791,3.8221,77.7794,21.7624,21.7624,29.8887,25.6755,0.131,0.3687,0.9522,94.5201,33.0524,-19.7105,3.3645,7.3023,4.4664,2.7399,2.4303
2020-03-31,1.1098,0.8139,5.3892,79.2638,27.1477,27.1477,28.6682,24.8558,0.1426,0.3917,0.9224,97.5673,45.5555,-17.446,3.5436,8.4781,3.3428,0.4194,0.1361
2019-12-31,1.1643,0.8366,5.6749,79.0219,22.9016,22.9015,27.2015,24.4635,0.1556,0.402,1.1033,81.5726,55.4148,-19.6847,3.8072,9.0555,2.8188,2.0413,1.7065
2019-09-30,1.1693,0.7978,4.3975,78.5451,26.1239,26.1239,25.6692,22.8956,0.1445,0.3789,0.9889,91.0074,36.2158,-17.9141,3.309,7.3223,3.6064,1.6539,1.3639
2019-06-30,1.1349,0.8276,5.5249,80.0433,26.5812,26.5812,26.0064,23.5457,0.1458,0.3536,1.0084,89.2544,46.4494,-17.5802,3.4324,8.0073,2.9597,1.1575,0.8844
2019-03-31,1.1212,0.8414,6.2242,77.6383,12.6684,12.6684,14.3573,83.296,0.134,0.3727,0.9834,91.5164,21.8752,-7.0735,1.4763,3.4689,2.6421,0.3164,0.1093
2018-12-31,1.7286,0.4574,0.944,79.9578,15.9678,15.9678,16.5248,19.9553,0.1284,0.3647,0.9759,92.2222,10.2795,13.2326,2.554,5.5776,10.3205,1.3732,0.9974
2018-09-30,1.9106,0.4521,0.8958,78.2755,25.3067,25.3067,25.2709,21.6605,0.1189,0.28,0.9388,95.8628,7.7281,17.7156,2.4506,4.2346,13.2652,2.0747,1.8098
2018-06-30,1.4042,0.4411,1.0515,77.8997,-0.0877,-0.0877,0.7466,-4.6535,0.1318,0.297,1.0011,89.9049,-1.993,-6.5878,-0.5468,-1.1139,10.8202,1.4809,1.1757
2018-03-31,1.4083,0.3917,0.8019,76.5381,26.1131,26.1131,27.5132,24.5256,0.1119,0.2515,0.9418,95.5645,8.0012,18.6591,2.6315,4.8671,13.4397,0.4158,0.1905
2017-12-31,1.321,0.46,1.1696,101.7835,8.5377,8.5376,11.9974,-50.7753,0.0725,-0.0131,0.6201,145.1329,-13.1918,-47.0905,-3.4219,-7.1232,10.6071,1.6711,1.2474
2017-09-30,1.3759,0.3989,0.9,71.9636,9.5741,9.5741,10.456,9.8197,0.1315,0.36,1.1283,79.7641,3.7138,8.7864,1.2918,2.2325,13.587,1.7833,1.553
2017-06-30,1.3942,0.4105,0.8689,73.0148,20.6051,20.6051,21.6421,17.3068,0.1422,0.3616,1.1752,76.5841,7.1138,18.8895,2.4617,4.1934,12.87,1.5617,1.3522
