Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.5922,1.574,1.025,1.025,-0.8343,0.1192,0.0125,0.1605,0.1691,0.0015,0.0497,24.2346,3.5157,3.5157
2022-09-30,0.7288,2.9134,-63.9016,-63.9016,-65.3814,-53.6474,0.0148,-116.1028,-239.8882,-0.7928,-31.4824,13.1018,4.1572,4.1572
2022-06-30,0.4143,0.7072,6.6027,6.6027,5.2704,4.663,0.0152,2.5903,3.2119,0.0709,1.5173,53.9759,11.4118,11.4118
2022-03-31,0.3084,0.446,3.371,3.371,1.9629,2.2189,0.0128,0.7069,0.8041,0.0284,0.4889,85.5891,4.2679,4.2679
2021-12-31,0.2378,0.3268,6.5812,6.5812,5.126,4.7785,0.0119,1.0852,1.1896,0.0568,0.8272,114.4057,0.2273,0.2273
2021-09-30,0.23,0.3128,8.4144,8.4144,7.0216,6.0675,0.0139,1.5021,1.6399,0.0843,1.1567,113.7628,1.7731,1.7731
2021-06-30,0.2256,0.3051,17.2542,17.2542,15.9142,13.2344,0.0128,2.9524,3.2153,0.1689,2.2864,114.9982,2.1234,2.1234
2021-03-31,0.2431,0.3365,7.2122,7.2122,5.7786,4.9625,0.0124,1.1484,1.263,0.0613,0.8692,102.5012,-3.3253,-3.3253
2020-12-31,0.2274,0.2944,3.7718,3.7718,2.176,3.4574,0.0113,0.63,0.6835,0.0391,0.4867,118.0211,1.0005,1.0005
2020-09-30,0.2376,0.3116,9.8116,9.8116,8.5805,7.424,0.0154,1.847,2.013,0.1144,1.4082,111.5055,-3.2654,-3.2654
2020-06-30,0.2452,0.3249,-2.1894,-2.1894,-4.5778,-2.6727,0.0104,-0.4534,-0.496,-0.0277,-0.3422,107.2772,2.6779,2.6779
2020-03-31,0.2893,0.4071,2.3051,2.3051,0.7684,1.1751,0.0139,0.3137,0.3514,0.0163,0.223,85.7884,2.333,2.333
2019-12-31,0.2356,0.3234,-23.015,-23.015,11.0472,9.9425,0.013,2.1941,2.4119,0.129,1.6773,100.1124,0.8843,0.8843
2019-09-30,0.2328,0.3185,30.5088,30.5088,-5.3903,-3.4713,0.0143,-0.805,-0.8836,-0.0495,-0.6176,100.8385,-1.5479,-1.5479
2019-06-30,0.2335,0.3208,11.3921,11.3921,9.768,8.4223,0.0134,1.9669,2.1767,0.1126,1.5077,91.9184,-6.1641,-6.1641
2019-03-31,0.2534,0.3577,8.5498,8.5498,6.7591,6.3556,0.0126,1.535,1.7214,0.0802,1.146,80.8771,-6.4624,-6.4624
2018-12-31,0.2892,0.4069,11.8296,11.8296,10.3068,8.806,0.0152,2.7805,3.1747,0.1338,1.9763,69.7066,4.1169,4.1169
2018-09-30,0.278,0.3851,14.0948,14.0948,12.4766,11.4916,0.014,3.2515,3.6806,0.1613,2.3474,70.1658,1.881,1.881
2018-06-30,0.2774,0.3839,12.9105,12.9105,11.2189,9.5771,0.0135,2.5367,2.8674,0.1288,1.8331,69.8455,2.2221,2.2221
2018-03-31,0.2611,0.369,14.5747,14.5747,12.0532,10.169,0.0129,2.2959,2.5108,0.1314,1.6965,73.0927,0.6298,0.6298
2017-12-31,0.2203,0.3085,-8.858,-8.858,-10.5751,22.2131,0.013,4.705,5.1084,0.2893,3.6685,79.4259,0.763,0.763
2017-09-30,0.231,0.3279,16.3201,16.3201,14.5258,11.9054,0.0127,2.5622,2.977,0.151,1.9704,74.3082,1.8317,1.8317
2017-06-30,0.2345,0.3345,16.662,16.662,14.9008,11.4901,0.0132,2.5694,2.995,0.1513,1.9668,71.9772,0.4149,0.4149
2017-03-31,0.2553,0.3562,15.4,15.4,13.5714,12.4286,0.0131,2.9052,3.4252,0.1626,2.1635,66.5798,0.4737,0.4737
2016-12-31,0.2696,0.3692,10.0154,10.0154,6.0522,5.8065,0.0124,1.3054,1.5485,0.0722,0.9534,63.9671,2.4607,2.4607
2016-09-30,0.2506,0.3496,19.234,19.234,17.3617,13.2482,0.0132,2.861,3.3238,0.1752,2.1442,71.4264,0.6759,0.6759
2016-06-30,0.2554,0.3587,14.5751,14.5751,12.5189,9.8276,0.0126,2.0415,2.3815,0.1236,1.5201,68.3893,1.0184,1.0184
2016-03-31,0.2782,0.3855,9.3432,9.3432,7.2464,6.5063,0.0127,1.4395,1.7037,0.0825,1.039,61.3293,1.2159,1.2159
2015-12-31,0.2897,0.4078,13.2135,13.2135,11.0691,8.9246,0.0126,2.0783,2.4947,0.1123,1.4763,55.8449,2.9256,2.9256
2015-09-30,0.2801,0.3891,9.0151,9.0151,7.2121,6.1087,0.0149,1.5763,1.8717,0.091,1.1347,58.1941,3.5915,3.5915
2015-06-30,0.2733,0.3761,15.3209,15.3209,13.2801,10.1745,0.0132,2.3403,2.7684,0.1348,1.7006,58.5807,1.1451,1.1451
2015-03-31,0.2575,0.3623,13.0145,13.0145,10.9564,9.0799,0.0128,1.8492,2.1505,0.1161,1.373,64.1405,1.136,1.136
2014-12-31,0.2508,0.3507,13.5143,13.5143,11.7232,9.4708,0.0145,2.2109,2.5841,0.1373,1.6564,61.3523,5.3222,5.3222
2014-09-30,0.2513,0.3518,19.5837,19.5837,17.6195,12.8701,0.0137,2.8411,3.3311,0.1767,2.1271,59.4797,2.7249,2.7249
2014-06-30,0.2507,0.3508,18.4034,18.4034,16.362,12.1268,0.0132,2.5759,3.0202,0.1598,1.9301,59.2374,0.413,0.413
2014-03-31,0.2708,0.3714,15.5542,15.5542,13.4446,10.3589,0.0131,2.2712,2.6939,0.136,1.6561,54.9374,0.9665,0.9665
2013-12-31,0.2834,0.4327,17.1365,17.1365,14.9263,11.2428,0.0132,2.6093,3.1398,0.1481,1.8698,51.1683,1.0624,1.0624
2013-09-30,0.2861,0.4383,16.9159,16.9159,14.6893,11.1997,0.0131,2.517,3.0317,0.1466,1.797,51.0364,1.642,1.642
2013-06-30,0.2749,0.4172,16.1054,16.1054,13.938,10.5702,0.0134,2.3804,2.8703,0.1419,1.7259,50.3829,1.1005,1.1005
2013-03-31,0.2475,0.3765,12.9975,12.9975,10.7432,8.4185,0.0127,1.6081,1.8985,0.1065,1.2101,55.3606,-0.901,-0.901
2012-12-31,0.2665,0.3766,15.7753,15.7753,13.4544,10.7972,0.0136,2.1439,2.5276,0.1467,1.5726,55.1689,2.0728,2.0728
2012-09-30,0.265,0.3737,16.4523,16.4523,14.1503,14.4888,0.0137,2.6252,3.0855,0.1857,1.9295,55.3924,0.2222,0.2222
2012-06-30,0.2874,0.4244,17.5983,17.5983,15.2519,11.0766,0.0137,2.2634,2.6954,0.1521,1.613,50.8008,1.1645,1.1645
2012-03-31,0.2971,0.4454,13.8745,13.8745,11.3653,8.9668,0.013,1.84,2.2206,0.1173,1.2933,46.4627,0.953,0.953
2011-12-31,0.2915,0.4344,-16.3099,-16.3099,-19.0736,-21.4091,0.0127,-4.1982,-5.0794,-0.273,-2.9743,44.9713,1.0578,1.0578
2011-09-30,0.2639,0.3953,9.1873,9.1873,6.0856,6.0071,0.0129,1.0792,1.3529,0.0814,0.7944,49.4565,0.2491,0.2491
2011-06-30,0.2966,0.4402,17.1357,17.1357,14.5707,10.8301,0.0139,2.2376,2.8769,0.1508,1.5739,44.0619,1.6914,1.6914
2011-03-31,0.2909,0.4371,18.4327,18.4327,15.7837,11.5526,0.0137,2.3988,3.1179,0.1583,1.701,41.7601,1.0531,1.0531
2010-12-31,0.2966,0.449,8.764,8.764,5.7678,4.4195,0.0138,0.9214,1.2057,0.0609,0.6482,40.5614,1.8756,1.8756
2010-09-30,0.3047,0.4458,14.4279,14.4279,11.5959,9.4145,0.0137,1.829,2.3529,0.1302,1.2717,42.8061,0.7378,0.7378
