Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,1.6149,0.4611,0.9272,9.4857,6.6286,6.6286,5.9347,4.6531,0.3357,2.1518,2.8298,31.8049,4.6948,5.8084,1.5703,2.5298,37.482,4.3818,3.0211
2022-06-30,1.6784,0.4746,0.9372,17.3271,14.4292,14.4292,13.6339,11.0729,0.4008,2.4067,2.7442,32.7962,13.4352,16.7345,4.4431,7.0583,37.4154,4.8601,3.2432
2022-03-31,1.763,0.4678,0.8908,15.3606,12.6245,12.6245,12.4421,10.0175,0.3476,2.2366,2.4405,36.877,10.3918,12.9854,3.4897,5.5302,38.7982,4.5654,3.2097
2021-12-31,1.6898,0.4865,0.9783,14.7779,7.1005,7.1005,6.7498,5.643,0.3492,2.231,2.6685,33.7272,6.1573,7.8585,1.9895,3.162,36.0264,9.2185,7.2006
2021-09-30,1.888,0.5228,1.1441,20.4016,17.7008,17.7008,17.4409,13.8583,0.3285,2.0291,2.4186,37.2118,14.923,19.0512,4.56,7.1206,35.4108,6.4383,4.8925
2021-06-30,1.9556,0.5613,1.3449,24.9546,21.8493,21.8493,22.1694,17.8012,0.3103,1.7926,2.3608,38.1221,19.5198,25.9395,5.5208,8.5637,31.5034,5.6725,4.389
2021-03-31,1.7402,0.61,1.7501,15.4592,11.9797,11.9797,12.5743,11.7595,0.2541,1.6576,2.2929,39.2524,12.1625,17.3099,2.9989,4.7436,26.3645,1.7096,0.6916
2020-12-31,2.1145,0.6568,1.9976,15.434,11.2511,11.2511,11.2889,10.7471,0.2242,1.5451,2.3066,39.0185,10.7286,16.2188,2.4207,3.6822,23.9151,2.2245,1.4042
2020-09-30,2.2499,0.6526,1.9633,13.1494,0.3394,0.3394,-0.1623,1.6529,0.2121,1.4694,2.2784,39.5012,1.5567,2.4302,0.3568,0.5407,21.9305,2.4761,1.2036
2020-06-30,2.3623,0.6496,1.9433,11.7562,6.1125,6.1125,5.1028,5.6437,0.1758,1.2988,2.143,41.9978,4.27,6.5748,0.9987,1.4964,22.0981,3.8682,2.1078
2020-03-31,1.7555,0.6235,1.8596,8.3534,4.0566,4.0566,2.909,1.8948,0.241,1.7287,2.4627,36.5452,1.9474,3.0201,0.4598,0.7333,22.0046,1.6228,-0.3533
2019-12-31,1.8296,0.5902,1.496,13.877,9.7567,9.7567,9.1943,7.4581,0.2687,1.5353,2.6367,34.1338,7.5902,11.5406,2.0108,3.1102,24.1786,3.0182,1.2114
2019-09-30,1.3035,0.5491,1.5267,16.659,12.887,12.887,12.6691,11.0411,0.2896,1.635,2.5143,35.7957,12.2565,18.5739,3.2178,5.5264,23.7127,6.0545,3.5296
2019-06-30,1.4709,0.4139,0.9683,16.6446,13.0084,13.0084,12.9863,11.0743,0.2903,1.6098,2.4077,37.3806,9.3642,12.5703,3.2274,5.4886,29.0048,3.215,1.5252
2019-03-31,1.4669,0.4254,0.9748,15.1743,11.5858,11.5858,11.62,9.2846,0.2937,1.6561,2.3853,37.7307,8.0413,11.0227,2.7334,4.6205,27.4353,1.7661,0.1559
2018-12-31,1.9166,0.4525,0.9131,12.9338,8.9455,8.9455,8.968,7.7738,0.3139,1.7116,2.5338,35.5194,6.7802,9.2921,2.4648,3.712,27.3625,3.3617,1.5581
2018-09-30,1.8236,0.403,0.7832,16.3072,12.969,12.969,13.2644,10.9601,0.3539,1.8492,2.4847,36.2216,10.0732,13.4857,3.8856,6.014,28.5889,3.7307,2.4827
2018-06-30,2.2655,0.414,0.8054,18.7733,15.9318,15.9318,16.0102,16.2062,0.3777,2.0239,2.6243,34.2945,15.6088,17.3973,6.1244,9.1472,27.1633,4.4251,3.1514
2018-03-31,2.6246,0.4672,0.8853,17.9687,15.2964,15.2964,15.706,12.6037,0.3631,1.8821,2.531,35.5595,12.6529,14.3406,4.5769,6.7415,24.7254,2.5468,1.4608
2017-12-31,2.4572,0.4885,0.963,17.5917,14.6798,14.6798,14.6908,20.7334,0.3486,1.7852,2.5812,34.867,21.2067,24.296,7.2426,10.8463,22.6863,3.6198,2.6438
2017-09-30,2.3985,0.538,1.2167,18.5181,15.6412,15.6412,16.8859,12.4119,0.3374,1.6612,2.6003,34.6113,14.4397,16.8552,4.1913,6.6717,18.5749,3.8606,3.0191
2017-06-30,2.4389,0.553,1.319,21.4447,18.7671,18.7671,18.9575,13.4595,0.3484,1.6474,2.7229,33.0525,16.5114,19.5181,4.7019,7.3809,17.2799,3.8848,2.8698
2017-03-31,2.2108,0.5648,1.3923,17.07,14.3535,14.3535,13.2859,9.4543,0.3547,1.8041,2.5608,35.1459,12.4094,14.8005,3.3869,5.4005,16.1055,1.6824,0.6377
2016-12-31,2.1143,0.58,1.4788,17.1292,13.5278,13.5278,13.5795,9.849,0.3305,1.6855,2.7259,33.0167,12.6791,15.4154,3.2847,5.3258,15.0305,3.9442,2.652
2016-09-30,2.2165,0.5809,1.4881,19.8507,16.9586,16.9586,17.3931,12.926,0.3145,1.4702,2.5824,34.8513,15.6378,19.0924,4.0779,6.5541,14.9255,3.3775,1.8939
2016-06-30,2.2944,0.5736,1.4436,22.1889,19.1457,19.1457,19.6234,14.8881,0.3127,1.4223,2.6115,34.4623,17.3141,21.0933,4.6597,7.3824,15.0388,3.0305,1.6801
2016-03-31,2.3247,0.5718,1.4293,23.3872,20.1691,20.1691,21.6817,15.2751,0.2861,1.2986,2.5132,35.8105,16.1746,19.8001,4.3696,6.9258,14.873,2.9954,1.7811
2015-12-31,2.2509,0.5385,1.2212,18.088,14.8777,14.8777,14.9767,11.2431,0.3107,1.4298,2.8093,32.0365,12.1235,14.7647,3.5022,5.5949,14.9358,2.4242,1.401
2015-09-30,2.1564,0.5129,1.1314,22.4262,19.7984,19.7984,20.1104,14.2189,0.3482,1.5623,2.8502,31.5767,16.1725,19.2863,4.9676,7.8773,16.2351,3.9386,3.109
2015-06-30,2.293,0.4929,1.0457,22.9415,20.175,20.175,20.4155,14.5435,0.3717,1.6863,2.7112,33.1952,16.6792,19.6853,5.3891,8.4577,16.9842,3.1217,2.5206
2015-03-31,2.3018,0.508,1.1014,22.0648,19.2425,19.2425,19.6335,14.2456,0.341,1.495,2.6497,33.9658,15.5476,18.5887,4.8613,7.65,15.7895,3.052,2.4158
2014-12-31,2.1418,0.4452,0.8443,12.6433,10.4665,10.4665,10.6317,7.7259,0.4248,1.99,2.9843,30.1574,9.5398,11.3568,3.2864,5.2929,17.1346,3.7335,2.9969
2014-09-30,2.2954,0.4061,0.6897,16.1445,14.1389,14.1389,14.0395,10.426,0.4708,1.888,2.9393,30.6191,12.7595,14.8235,4.9159,7.5776,19.593,2.9452,2.2429
2014-06-30,2.4351,0.3854,0.6326,15.3668,13.3119,13.3119,13.1881,9.7219,0.4546,1.9255,2.8417,31.6712,10.8732,12.5481,4.4005,6.6822,20.9303,3.4681,2.6557
2014-03-31,2.6212,0.3639,0.5773,13.9919,12.0341,12.0341,11.9084,8.4688,0.4002,1.7135,2.689,33.4701,7.974,9.1102,3.3888,5.0721,22.1511,1.4617,0.8358
2013-12-31,2.6495,0.3158,0.4663,13.7996,11.3485,11.3485,10.8368,10.5405,0.408,1.8187,2.7638,32.5642,9.4055,10.6951,4.3117,6.4352,22.8015,2.9075,2.2871
2013-09-30,2.7194,0.3265,0.4945,13.1098,10.8232,10.8232,10.6976,7.6489,0.4159,1.8004,2.7597,32.6121,7.171,8.2297,3.1853,4.8295,21.3791,2.0369,1.2648
2013-06-30,2.5878,0.263,0.3663,14.4736,12.285,12.285,12.0058,8.3671,0.4433,1.8272,2.7599,32.6101,7.6477,8.7779,3.6849,5.6366,21.1551,2.1557,1.4861
2013-03-31,2.478,0.2694,0.3787,14.2094,11.8755,11.8755,11.838,8.445,0.4323,1.7368,2.7512,32.7135,7.7568,8.9712,3.6714,5.6671,20.2983,1.3824,0.7059
2012-12-31,2.4109,0.278,0.3936,11.3995,8.642,8.642,8.3806,5.6682,0.4582,1.9373,2.8425,31.6626,5.7697,6.7539,2.6631,4.1659,19.4344,2.3016,1.7245
2012-09-30,2.7762,0.2583,0.3521,14.2198,11.7804,11.7804,11.4078,7.5047,0.4491,1.8475,2.761,32.5974,6.8846,7.951,3.3899,5.1062,21.4906,3.539,3.078
2012-06-30,2.9138,0.2716,0.3771,14.9982,12.8823,12.8823,9.5484,6.8457,0.4777,1.6602,2.893,31.1095,6.6534,7.7859,3.2618,4.846,20.0819,0.868,0.4655
