Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,1.3978,1.2884,-4.4765,82.0181,60.2374,60.2374,66.8027,46.4219,38.7163,0.4499,3.3903,107.6587,-86.3728,-22.9333,17.4201,24.9069,-12.6054,2.2741,2.0089
2021-12-31,1.7134,1.0409,-25.4573,82.4479,59.7305,59.7305,66.5347,41.9925,35.5257,0.3711,3.0753,118.6892,-444.1163,-24.2545,13.1836,18.1589,-1.9829,1.6162,1.5869
2020-12-31,1.8846,1.1516,-7.5959,82.7943,58.9476,58.9476,65.7448,40.4759,35.4976,0.4038,3.0352,120.2541,-135.7796,-26.8191,14.3337,20.5854,-5.3678,1.302,1.3275
2019-12-31,2.3111,1.0256,-40.0439,81.0655,48.5109,48.5109,55.3135,38.729,36.1824,0.3705,3.1202,116.9812,-734.7394,-29.649,13.406,18.8183,-0.9047,1.4638,1.381
2018-12-31,1.7739,1.0691,-15.469,79.9625,47.9014,47.9014,54.1253,43.9263,35.4178,0.4233,3.0289,120.5056,-305.0475,-25.4827,14.9909,21.0827,-1.978,2.4341,2.4194
2017-12-31,2.0852,0.8382,5.1821,78.5209,45.5017,45.5017,52.0458,36.6433,23.8564,0.389,3.8895,93.8436,75.8012,-20.5186,9.2797,12.2614,4.4505,-0.1851,-0.2746
2016-12-31,1.9674,0.8673,6.5339,78.0904,42.4192,42.4192,49.7558,33.5403,22.6699,0.3733,5.1948,70.2626,82.1319,-16.4485,8.4622,10.9016,3.4795,1.6598,1.6648
2015-12-31,2.1346,0.6366,1.752,75.0984,37.5715,37.5715,45.0071,32.5163,20.8042,0.3416,5.1624,70.7036,25.5176,-21.7917,7.3098,9.2724,8.9245,0.3032,0.2924
2014-12-31,1.6271,0.3549,0.5502,72.2456,33.8289,33.8289,42.3084,30.9365,28.5059,0.3458,5.5769,65.449,13.8845,-35.1675,6.9016,8.9565,12.7849,-0.0336,-0.11
2013-12-31,1.241,0.335,0.5164,73.6472,37.2613,37.2613,46.5587,34.2501,24.3667,0.2912,5.3889,67.7319,12.7791,-23.6713,6.3744,8.4983,13.2479,-0.1643,-0.1622
2012-12-31,1.0096,0.3628,0.5997,72.1542,38.4811,38.4811,51.2223,31.5362,22.2781,0.2739,5.3856,67.7739,11.5624,-16.4914,5.4573,7.3671,11.8656,0.7317,0.5592
2011-12-31,1.4972,0.4496,0.8249,69.2381,35.7402,35.7402,45.9581,29.2375,19.2525,0.2913,4.9895,73.1531,13.2871,-16.5504,5.608,7.3126,10.7698,2.0854,1.8964
2010-12-31,,,,,,,,,,,,,,,,,,-1.6175,-1.5013
2010-11-30,1.1485,0.5279,1.1691,70.0369,31.0941,31.0941,41.4183,23.1544,13.7921,0.2193,4.4893,81.3042,8.5333,-6.864,3.0488,4.0284,9.037,0.3192,0.336
2009-11-30,2.0598,0.3997,0.7489,73.2102,34.088,34.088,42.917,29.7374,18.1861,0.369,5.7392,63.5982,16.1325,-149.3919,6.8152,9.6843,4.8392,1.2983,1.1653
