Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.1354,0.297,41.7801,30.5549,0.0121,3.2838,4.6055,0.3813,2.6137,149.5708,7.2775,6.6923
2022-09-30,0.1205,0.1733,39.85,29.178,0.0107,2.7815,3.9121,0.3266,2.2517,146.0876,6.6776,6.4479
2022-06-30,0.1047,0.1604,16.5195,11.4371,0.0082,0.9146,1.276,0.1066,0.755,146.5973,3.9161,3.6396
2022-03-31,0.1615,0.1955,33.1219,23.6637,0.0096,2.2459,2.7272,0.2417,1.6988,138.5029,10.0124,9.7968
2021-12-31,0.163,0.1973,39.2771,28.425,0.0098,2.8351,3.4417,0.2953,2.1412,139.1215,5.4143,4.9324
2021-09-30,0.1665,0.2056,42.2162,30.5812,0.0102,3.14,3.832,0.3262,2.3561,136.2156,3.7743,3.4429
2021-06-30,0.1731,0.2147,41.1719,29.8276,0.0098,2.961,3.7799,0.3041,2.2655,129.9462,4.1573,4.0533
2021-03-31,0.1754,0.2163,39.1899,28.313,0.01,2.9431,3.7768,0.2972,2.2424,127.8461,7.731,7.4899
2020-12-31,0.213,0.2744,42.3411,30.8331,0.0103,3.1541,4.0686,0.3304,2.2905,126.1527,5.1574,4.7956
2020-09-30,0.2532,0.3419,37.0631,26.9019,0.0095,2.5058,3.2386,0.2684,1.7261,125.5097,-0.047,-0.294
2020-06-30,0.2839,0.3997,27.9047,19.93,0.008,1.6404,2.1274,0.1728,1.0826,124.3031,4.0613,3.7288
2020-03-31,0.2856,0.4034,27.8426,19.9577,0.0101,1.8456,2.4007,0.2158,1.2143,123.3056,-3.0399,-3.4372
2019-12-31,0.3077,0.4485,44.1901,32.0747,0.0123,3.4083,4.4442,0.4113,2.1718,120.3723,8.3087,7.8833
