Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,1.1725,1.2228,-5.5527,69.4938,26.0189,26.0189,21.7587,15.8973,0.2068,4.6407,19.3938,-18.3639,-3.8546,3.2766,4.0906,-2.501,0.9315,0.8993
2022-06-30,1.2822,1.1337,-8.6072,69.6871,-1.2688,-1.2688,-5.0865,-4.0098,0.1895,4.3578,20.6527,7.1588,1.0073,-0.7717,-0.9574,-1.5966,-0.6876,-0.7258
2022-03-31,1.1488,1.0328,-32.1543,70.4199,26.0218,26.0218,21.7547,22.6053,0.1584,4.4227,20.3497,-148.3133,-5.5581,3.5811,4.8692,-0.4265,0.7576,0.7001
2021-12-31,1.0428,1.0539,-20.0639,70.9029,28.7713,28.7713,-28.1391,-20.9203,0.1592,4.2766,21.0445,86.1531,4.9925,-3.3323,-4.6435,-0.6909,0.8892,0.7934
2021-09-30,1.4066,1.0157,-66.6753,71.0401,27.5107,27.5107,18.6482,16.3637,0.1639,2.0941,42.9773,-215.2408,-3.9893,2.6749,3.3798,-0.2193,0.9765,0.914
2021-06-30,1.0978,1.0364,-28.467,72.7169,29.6589,29.6589,25.0565,19.9072,0.1596,2.7292,32.9762,-103.6511,-4.1982,3.1579,3.7736,-0.4883,0.7983,0.7273
2021-03-31,2.5626,1.4615,-3.1669,73.1199,28.3485,28.3485,23.382,26.1005,0.2077,3.1689,28.4014,-14.3253,-6.452,5.408,6.611,-4.4934,0.3294,0.2963
2020-12-31,2.0403,1.5822,-2.7176,73.4017,32.6343,32.6343,25.452,21.5808,0.2138,4.754,18.9314,-9.918,-4.8092,4.6014,5.7745,-5.287,0.976,0.9383
2020-09-30,1.512,1.694,-2.4409,73.4556,31.2874,31.2874,25.9836,22.0715,0.2396,3.2039,28.0904,-9.7128,-4.7961,5.2475,6.741,-5.4692,0.3699,0.3511
2020-06-30,0.9841,1.9385,-2.0656,73.2014,35.2136,35.2136,32.0916,13.4876,0.2379,2.9791,30.2102,-8.2793,-4.4592,6.0562,7.7698,-7.0684,1.1356,1.0962
2020-03-31,3.3223,0.512,1.0532,73.5801,25.2224,25.2224,20.0741,-37.241,0.0646,1.4491,62.1084,4.5598,-60.8752,1.8677,2.2251,40.6684,0.1918,0.144
2019-12-31,3.6707,0.4257,0.7412,74.0354,33.1433,33.1433,24.6552,18.3536,0.0654,4.6984,19.1556,3.0766,4.9352,1.4338,1.7669,46.0364,0.8992,0.8557
2019-09-30,3.5553,0.4498,0.8213,74.4734,32.3616,32.3616,25.6755,23.7388,0.0652,1.5214,59.1571,3.6206,39.4734,1.6592,1.9919,45.0072,1.3691,1.3196
2019-06-30,4.1051,0.4495,0.8201,74.5639,34.4013,34.4013,28.1746,22.7858,0.06,1.3625,66.0569,3.1019,37.0017,1.4366,1.7076,45.6278,-0.0843,0.0947
2019-03-31,3.1172,0.3951,0.6569,76.4821,7.2228,7.2228,4.4655,8.0206,0.1544,3.199,28.134,3.1637,51.9617,1.578,1.9138,42.4765,1.1395,0.8533
