Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,1.1081,0.228,0.2953,78.2885,4.8999,4.8999,15.8178,5.5072,4.4859,0.5448,4.2,86.9048,6.4587,8.174,2.4438,4.9862,24.8026,2.5943,1.8215
2021-12-31,1.0548,0.2865,0.4265,77.0522,4.3589,4.3589,17.4695,4.2232,3.901,0.546,4.2417,86.0499,6.2246,8.7419,2.13,4.441,18.5113,1.9635,2.1034
2020-12-31,1.2101,0.3666,0.5787,78.1589,4.4036,4.4036,17.1941,3.3193,2.6333,0.5185,4.4787,81.497,4.199,4.877,1.3655,2.6598,14.4706,2.5537,1.828
2019-12-31,1.0269,0.2462,0.3266,76.9942,1.2139,1.2139,14.3064,1.9364,18.1214,0.5745,4.1423,88.1147,29.4651,34.3123,10.4111,22.211,11.2316,1.7064,1.6249
2018-12-31,1.165,0.3732,0.5955,76.1326,-1.6263,-1.6263,11.6248,-1.4959,-1.0236,0.6725,4.5386,80.4218,-2.4032,-3.0987,-0.6884,-1.5062,6.1673,0.8046,0.4218
2017-12-31,1.1875,0.4472,1.5068,73.9451,-3.3566,-3.3566,10.528,-5.9112,-6.0905,0.5404,4.3896,83.1504,-15.0044,-20.7505,-3.2912,-8.2942,4.4685,2.7891,2.5514
2016-12-31,1.253,0.5675,1.3123,71.3157,-27.4746,-27.4746,-14.1082,-29.5056,-29.781,0.6839,4.3097,84.6927,-107.0519,-173.6362,-20.3686,-46.2966,2.3112,-1.0738,-1.1536
2015-12-31,1.4838,0.4557,0.8372,67.2382,-16.5458,-16.5458,-0.2294,-19.196,-19.7345,0.5564,4.945,73.8121,-35.0072,-42.386,-10.9807,-19.0547,3.5253,1.0711,0.8834
2014-12-31,1.7889,0.5085,1.0344,63.5527,-22.2448,-22.2448,-3.1298,-25.7178,-26.2814,0.4791,4.2882,85.1166,-41.8469,-56.2107,-12.5908,-20.5693,2.8672,0.3659,0.4004
2013-12-31,2.4315,0.5127,1.052,63.4384,-15.6051,-15.6051,-1.0585,-16.766,-17.3574,0.3634,3.9196,93.1208,-18.6953,-19.4102,-6.308,-9.1106,2.809,-0.0561,0.1044
2012-12-31,1.9945,,,57.323,-15.4215,-15.4215,-3.7056,-14.7633,-15.3247,0.5097,3.118,117.0623,-15.344,-15.3816,-7.8115,-15.344,1.9262,0.6598,0.0907
2011-12-31,,,,,,,,,,,,,,,,,,-1.3336,-1.0228
2011-06-30,,,,65.9168,11.3988,11.3988,17.3303,12.053,10.6109,,,,,,,,,1.3336,1.0228
2010-12-31,,,,,,,,,,,,,,,,,,0.3252,0.3936
2010-06-30,1.0393,,,62.6347,-65.0811,-65.0811,-59.1775,-67.9106,-70.0339,0.8435,4.4522,81.9816,41.6842,736.1834,-57.8267,41.6842,-4.3207,-0.3252,-0.3936
2009-12-31,1.0393,,,,,,,,,,,,67.5364,1193.16,-93.7219,67.5591,,-0.0041,0.0043
2009-06-30,,,,59.3528,-30.189,-30.189,-26.9687,-30.3288,-33.8131,,,,,,,,,0.0041,-0.0043
