Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,1.3164,0.5747,1.528,26.9584,-11.2473,-11.2473,-15.2735,-11.9037,0.1723,0.7576,1.828,49.2341,-7.7295,11.2026,-2.051,-3.287,8.5082,0.7159,0.5015
2022-09-30,1.2532,0.5577,1.5466,28.9965,1.5542,1.5542,-1.3321,1.3766,0.1534,0.6328,1.4993,60.0266,0.821,-1.2954,0.2112,0.3631,9.1296,-0.2851,-0.4813
2022-06-30,1.0274,0.4901,1.3311,32.5572,12.5099,12.5099,10.0237,8.0505,0.1754,0.6776,1.6223,55.4775,5.1685,-8.2258,1.412,2.6357,9.543,-0.442,-0.614
2022-03-31,1.3858,0.5508,1.2269,30.9883,9.0871,9.0871,11.809,9.799,0.1681,0.7175,1.6805,53.5553,5.8794,-9.1693,1.6474,2.6411,9.5719,-0.6405,-0.8053
2021-12-31,1.312,0.5401,1.1751,32.1569,8.3779,8.3779,6.2745,5.205,0.1966,0.9118,1.87,48.1283,3.5113,-5.3756,1.0232,1.6149,9.772,0.9219,0.6691
2021-09-30,1.2445,0.5462,1.2662,30.427,10.0825,10.0825,7.7144,6.8174,0.1919,0.9242,1.653,54.4456,4.6833,-6.5068,1.3085,2.125,9.5369,0.9658,0.8099
2021-06-30,1.2328,0.5491,1.37,32.5581,11.2588,11.2588,8.9701,7.2721,0.1853,0.9063,1.5778,57.0432,4.9115,-6.5189,1.3475,2.2145,9.4288,0.2362,0.096
2021-03-31,1.3039,0.5708,1.4224,31.9493,8.3916,8.3916,5.507,3.8899,0.1596,0.819,1.4954,60.1836,2.3051,-2.8076,0.6206,0.9893,9.0762,-0.0585,-0.1848
2020-12-31,1.2781,0.5686,1.4377,33.0606,9.4087,9.4087,3.942,4.8717,0.1829,1.0989,1.6025,56.1621,3.359,-4.0721,0.8912,1.449,9.1894,1.449,1.2097
2020-09-30,1.5135,0.6071,1.5709,33.8644,13.4494,13.4494,10.4854,11.2634,0.1834,1.039,1.4879,60.4891,8.1067,-9.1018,2.0652,3.1852,8.8381,1.6168,1.4667
2020-06-30,1.4693,0.6218,1.7585,31.4543,7.7215,7.7215,4.4055,3.6949,0.1481,0.8442,1.2864,69.9621,2.2184,-2.2028,0.5471,0.839,8.2885,0.2565,0.1721
2020-03-31,1.3273,0.6071,1.7287,32.7147,-74.6554,-74.6554,-78.632,-67.8155,0.1357,0.7465,1.3491,66.7126,-36.7634,35.8163,-9.1995,-14.4455,8.2033,0.0543,-0.0826
2019-12-31,1.3801,0.519,1.1455,32.4695,5.0305,5.0305,2.1723,30.2592,0.1678,1.1034,1.4245,63.1784,15.5725,-21.4384,4.9738,7.4901,11.7969,1.4614,1.2425
2019-09-30,1.4843,0.5772,1.5175,32.97,-33.3593,-33.3593,-37.68,-24.3675,0.1605,0.9173,1.3717,65.61,-15.3772,15.5552,-4.0037,-6.5009,9.8476,1.0227,0.888
2019-06-30,2.252,0.5727,1.349,34.879,9.3145,9.3145,6.1694,3.629,0.1404,0.8752,1.4019,64.1976,2.4577,-3.5573,0.6962,1.0502,11.82,0.4515,0.3171
2019-03-31,2.1163,0.5733,1.4586,32.0764,0.5877,0.5877,-4.6033,-7.3947,0.1128,0.771,1.2714,70.788,-1.485,2.1073,-0.4087,-0.6337,11.7776,-0.4728,-0.6099
2018-12-31,1.8037,0.5604,1.3354,34.0321,6.2246,6.2246,3.2682,5.1222,0.2027,1.3459,1.6604,54.205,4.2526,-4.6822,1.2606,1.8695,12.4248,1.0499,0.8204
2018-09-30,2.9801,0.6067,1.5952,35.9164,-307.4156,-307.4156,-311.7236,-286.8521,0.1138,0.8793,1.2646,71.1681,-111.601,247.3627,-30.0262,-43.8902,12.9096,1.1888,1.0211
2018-06-30,3.1655,0.3993,0.7507,35.1926,3.8109,3.8109,-1.0629,5.982,0.0684,0.767,1.1415,78.844,-0.5461,2.5987,-0.2373,-0.328,28.7885,0.0233,-0.1944
2018-03-31,1.7225,0.4045,0.7875,33.4143,-1.4574,-1.4574,-7.7891,2.9423,0.0541,0.4666,0.7722,116.5553,-0.3861,0.6325,-0.1634,-0.2299,29.1688,-0.8265,-1.0222
2017-12-31,2.1855,0.4108,0.744,32.6862,10.9756,10.9756,7.0135,56.7987,0.0878,1.1784,1.5485,58.1207,11.7627,-57.6938,5.0342,6.9301,29.2277,2.0283,1.7919
2017-09-30,1.4556,0.4437,0.8986,35.0645,5.7204,5.7204,-0.8108,9.503,0.0728,0.5597,0.8459,106.3975,0.87,-0.9209,0.3278,0.484,26.0559,0.3772,0.1747
2017-06-30,1.4883,0.4531,0.928,34.7076,3.652,3.652,-2.1722,8.8233,0.0744,0.6228,0.8457,106.4268,0.1352,-0.1333,0.0489,0.0739,25.3997,0.117,-0.0692
2017-03-31,1.5026,0.462,0.9297,34.2038,4.7148,4.7148,24.1895,19.5481,0.098,0.8678,1.2761,70.5275,5.3077,-5.1905,1.9154,2.8553,24.9013,-0.5426,-0.7499
2016-12-31,1.7438,0.4979,1.0447,178.8698,-545.1034,-545.1034,-760.7635,312.4564,0.0016,-0.0198,0.0193,4664.601,-3.5215,3.0966,-1.1848,-1.768,23.5946,2.6228,2.1664
2016-09-30,1.9379,0.5124,1.1122,32.2359,8.1905,8.1905,5.0599,4.716,0.1149,1.1009,1.4262,63.1065,1.6271,-1.423,0.5419,0.7934,23.761,0.9995,0.7722
2016-06-30,1.6294,0.515,1.145,28.3963,3.5687,3.5687,4.4135,3.5039,0.1136,0.9499,1.3414,67.0953,1.1972,-0.9992,0.3999,0.5806,23.5236,1.7139,1.5409
2016-03-31,4.7788,0.8564,6.3953,38.4516,9.5368,9.5368,3.9243,3.0801,0.0858,0.9286,1.1071,81.2936,2.2657,-1.911,0.2628,0.3254,6.632,-0.9678,-1.1588
2015-12-31,1.2539,0.5937,1.6743,38.2624,6.5287,6.5287,-5.9457,0.8457,0.215,1.335,1.2479,72.1188,-4.3638,3.929,-1.0979,-1.7729,6.8353,1.1207,0.8967
2015-09-30,1.2079,0.5397,1.5291,39.1438,12.1961,12.1961,10.4444,8.7712,0.2252,1.0359,1.3062,68.9,7.4931,-8.5497,1.9724,3.4489,6.6952,1.2538,1.0149
