Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.3677,1.2816,35.1261,26.0504,0.0096,3.379,4.9296,0.2778,2.1366,114.2444,9.7607,9.7607
2022-09-30,0.3445,1.1693,38.2065,29.2012,0.0095,3.51,5.0415,0.2931,2.3008,115.651,8.3168,8.3168
2022-06-30,0.3527,0.7546,36.1417,27.5984,0.0094,3.1371,4.3789,0.2766,2.0306,116.0292,6.3234,6.3234
2022-03-31,0.3506,0.5399,35.2653,27.7755,0.0091,2.9035,3.9593,0.264,1.8855,118.5928,-2.3548,-2.3548
2021-12-31,0.3558,0.5524,30.4914,22.1122,0.0098,2.3436,3.0378,0.2344,1.5097,132.681,8.2019,8.2019
2021-09-30,0.3729,0.5945,33.5741,26.0741,0.0098,2.6467,3.4191,0.2692,1.6598,133.0898,3.5919,3.5919
2021-06-30,0.389,0.6366,30.126,23.7572,0.0079,2.017,2.6303,0.199,1.2324,128.6706,3.3095,3.3095
2021-03-31,0.3692,0.613,46.0491,36.8476,0.0101,3.3891,4.2582,0.3849,2.1379,126.7741,1.831,1.831
2020-12-31,0.384,0.6883,39.3097,-71.1564,0.0096,2.6943,3.3421,0.312,1.6595,127.4552,4.5166,4.5166
2020-09-30,0.4071,0.7899,40.1513,34.4053,0.0092,2.8738,3.5658,0.3317,1.7037,125.7311,0.9226,0.9226
2020-06-30,0.4212,0.8882,-55.9206,222.6906,0.0035,-1.4052,-1.7445,-0.1621,-0.8133,124.5835,7.0904,7.0904
2020-03-31,0.5031,1.4891,25.6867,24.6639,0.0077,1.5399,1.9474,0.1704,0.7651,116.25,-1.6186,-1.6186
2019-12-31,0.4709,1.2213,28.7226,12.0258,0.0094,1.9334,2.4801,0.2325,1.0229,113.6936,6.8892,6.8892
2019-09-30,0.3974,1.1025,35.3782,32.3971,0.0099,2.388,3.0486,0.2888,1.4389,112.6538,1.4842,1.4842
2019-06-30,0.4013,1.2652,35.2912,32.3668,0.0099,2.3997,3.0753,0.292,1.4367,110.472,4.9895,4.9895
2019-03-31,0.4476,1.2323,37.0759,29.2165,0.0104,2.6166,3.3853,0.3235,1.4454,107.4668,3.0724,3.0724
2018-12-31,0.3929,1.0972,20.7077,39.4154,0.0085,1.1786,1.5396,0.1473,0.7155,104.5295,4.4689,4.4689
2018-09-30,0.4078,1.1141,38.9084,31.0377,0.0112,2.9723,3.9163,0.3683,1.7601,101.9524,2.5955,2.5955
2018-06-30,0.408,1.1583,39.114,30.3959,0.0111,2.8866,3.797,0.3562,1.7088,101.0215,3.4778,3.4778
2018-03-31,0.4188,1.136,37.1237,28.9873,0.0106,2.6342,3.4572,0.3268,1.531,100.0745,6.1387,6.1387
2017-12-31,0.4114,1.1411,25.9734,48.6094,0.0109,4.3942,5.7162,0.5492,2.5864,100.6025,1.7175,1.7175
2017-09-30,0.4435,1.2392,38.5232,26.2829,0.0106,2.424,3.1776,0.3001,1.3489,97.5882,5.2127,5.2127
2017-06-30,0.4472,1.2213,37.4306,25.896,0.0106,2.3752,3.1205,0.2947,1.313,96.2188,1.3175,1.3175
2017-03-31,0.4003,1.0932,36.7229,25.4742,0.0102,2.3397,3.0745,0.2895,1.4032,94.6454,3.2317,3.2317
2016-12-31,0.398,1.0358,35.8813,25.4269,0.0104,2.2346,2.9089,0.2858,1.3452,96.6062,2.373,2.373
2016-09-30,0.4152,1.1002,36.0235,24.6927,0.0101,2.3186,2.7832,0.2724,1.2559,95.9939,3.1141,3.1141
2016-06-30,0.4277,1.1686,35.6422,25.0068,0.0101,2.287,2.7438,0.2737,1.2121,94.7241,0.9685,0.9685
2016-03-31,0.4132,1.1694,35.0697,24.2812,0.0097,2.1994,2.6527,0.2612,1.1944,92.8417,0.5444,0.5444
2015-12-31,0.3937,1.0866,36.597,25.086,0.0105,2.2227,2.8962,0.2851,1.3477,91.2302,3.6181,3.6181
2015-09-30,0.4073,1.2244,36.3292,26.8273,0.0102,2.5054,3.0396,0.2963,1.3743,90.7412,3.8322,3.8322
2015-06-30,0.4026,1.2693,38.0628,25.9686,0.0108,2.4586,2.9986,0.295,1.3585,88.9768,2.6628,2.6628
2015-03-31,0.3845,1.2238,36.1164,25.374,0.0105,2.3629,2.8251,0.2861,1.3308,89.3039,0.4915,0.4915
2014-12-31,0.3802,1.2321,34.8139,25.1605,0.0113,2.509,3.0091,0.3063,1.422,88.0956,1.8715,1.8715
2014-09-30,0.3746,1.1377,37.7443,25.4358,0.0113,2.4685,2.9719,0.3104,1.4114,87.1117,2.0911,2.0911
2014-06-30,0.3614,1.0715,37.7207,26.779,0.0114,2.5138,3.0298,0.3216,1.4671,86.0771,2.8756,2.8756
2014-03-31,0.3552,1.042,38.5284,26.9346,0.0114,2.5869,3.1427,0.3277,1.5217,84.1161,3.5622,3.5622
2013-12-31,0.3519,1.047,36.5152,25.0758,0.0124,2.6786,3.2797,0.3354,1.5807,82.621,-0.5995,-0.5995
2013-09-30,0.3357,0.9405,36.7169,25.2445,0.0123,2.644,3.2581,0.3331,1.5949,80.4887,7.6589,7.6589
2013-06-30,0.3302,0.9505,38.4438,27.0796,0.0128,2.9341,3.6304,0.3663,1.7806,78.9849,1.4656,1.4656
2013-03-31,0.3351,0.8947,36.327,24.9529,0.0124,2.5853,3.2012,0.3308,1.5722,79.5425,1.9167,1.9167
2012-12-31,0.3204,0.9795,27.1394,17.1421,0.0123,1.8651,2.3045,0.2334,1.1586,79.1004,2.2363,2.2363
2012-09-30,0.3074,1.0311,31.3472,22.6943,0.0128,2.4187,2.9973,0.3075,1.5326,79.0208,3.439,3.439
2012-06-30,0.4197,1.0864,21.3543,15.5925,0.0112,1.4719,1.8665,0.1823,0.7879,76.0189,1.9486,1.9486
2012-03-31,0.4292,1.1125,30.7866,21.4829,0.012,2.216,2.9984,0.2741,1.2107,72.4167,5.2476,5.2476
2011-12-31,0.3764,0.9854,19.0533,13.6648,0.0124,1.3845,1.8191,0.1818,0.8254,70.6755,2.7529,2.7529
2011-09-30,0.4201,0.9425,34.8157,25.0381,0.0122,2.3423,3.0791,0.3095,1.2986,70.8023,1.6863,1.6863
2011-06-30,0.4303,1.0087,34.4973,26.6105,0.0126,2.6647,3.7563,0.3466,1.4898,66.2985,5.6483,5.6483
2011-03-31,0.4344,1.0379,35.514,25.9502,0.0124,2.5159,3.6248,0.3208,1.3956,64.1008,1.3821,1.3821
2010-12-31,0.4715,1.2025,32.3895,23.0569,0.0131,2.5473,3.7129,0.3103,1.3196,62.4297,0.8165,0.8165
2010-09-30,0.4615,1.2173,30.6555,35.1542,0.012,2.4204,3.4992,0.2979,1.2776,62.1027,0.3367,0.3367
2010-06-30,0.4801,1.3045,35.1894,25.4451,0.0118,2.5738,4.1428,0.2984,1.3102,59.0286,3.5566,3.5566
2010-03-31,0.4897,1.4426,29.8473,11.0558,0.0113,2.2509,3.8756,0.2442,1.1234,55.9582,4.544,4.544
2009-12-31,0.4293,1.2055,42.429,26.3487,0.0142,4.485,5.6109,0.4087,1.9327,70.4913,7.1603,7.1603
2009-09-30,0.4505,1.3236,24.6683,15.8898,0.0108,2.2782,2.8528,0.199,0.9371,68.6833,2.5058,2.5058
2009-06-30,0.4686,1.5163,8.2474,2.3932,0.0097,0.9061,1.1763,0.0697,0.3517,63.9197,1.0206,1.0206
2009-03-31,0.4822,1.6911,23.0934,16.3934,0.0098,2.5093,3.1557,0.1816,0.9396,64.3955,1.9595,1.9595
