Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,3.6795,0.3296,0.4917,36.0632,1.1744,1.1744,-0.3733,-2.1433,0.105,0.5543,1.8653,48.2484,-0.3825,-1.9263,-0.2251,-0.2564,41.6369,2.4925,2.1282
2022-09-30,3.2996,0.3214,0.4737,46.5372,22.5863,22.5863,21.3178,16.2872,0.157,0.7363,1.7313,51.9852,4.3639,19.263,2.5576,2.9612,42.3486,2.6391,2.1762
2022-06-30,3.3022,0.3225,0.476,36.2435,9.8381,9.8381,7.6828,6.6532,0.1412,0.779,1.8618,48.3404,1.6017,7.6188,0.9397,1.0852,41.6161,2.5736,2.164
2022-03-31,3.6287,0.3102,0.4496,48.9075,23.2041,23.2041,21.2209,18.2029,0.1553,0.7884,1.9404,46.3832,4.6621,19.2488,2.8269,3.2161,42.8325,3.0589,-0.8724
2021-12-31,3.6319,0.3049,0.4386,49.2024,26.5728,26.5728,25.4241,19.4139,0.1461,0.7967,1.7292,52.0486,4.6337,19.2362,2.8356,3.221,42.9492,1.1309,0.6613
2021-09-30,2.8158,0.2691,0.3693,49.5164,28.8676,28.8676,28.0253,25.4284,0.1657,1.0605,1.8019,49.9475,6.7514,23.1607,4.2129,4.9347,42.8002,2.217,1.7886
2021-06-30,3.3737,0.2725,0.3758,49.1901,26.7575,26.7575,26.8937,25.7239,0.1527,0.9895,2.1496,41.8684,6.1446,22.7796,3.9278,4.4699,41.7984,2.9996,2.4266
2021-03-31,3.6442,0.2735,0.3764,49.2645,27.3198,27.3198,26.7342,27.8483,0.1485,1.0718,2.2129,40.67,6.453,21.7175,4.1368,4.6883,41.1296,3.4512,2.3805
2020-12-31,3.7828,0.2791,0.3883,49.1172,27.3286,27.3286,20.4155,18.3621,0.1555,1.1622,2.1067,42.7215,4.4638,16.8012,2.8551,3.2179,39.7506,3.5072,3.1924
2020-09-30,2.0736,0.2859,0.6057,46.3599,20.9041,20.9041,18.8701,12.9131,0.1355,1.1927,2.1251,42.3504,3.1067,13.0068,1.7499,2.2185,38.6218,2.4275,2.0514
2020-06-30,4.0825,0.3005,0.4312,41.3726,11.7737,11.7737,12.3182,12.3083,0.1144,0.8816,2.3341,38.5581,2.2275,9.7143,1.4082,1.558,38.0507,1.8354,1.5798
2020-03-31,3.1364,0.2675,0.3667,42.6241,12.9675,12.9675,8.2048,6.3965,0.1201,0.8739,2.0612,43.6635,1.1739,5.7953,0.7681,0.8599,37.4496,1.7539,-6.4632
2019-12-31,4.2094,0.2655,0.3627,42.3567,17.6129,17.6129,21.0789,18.5665,0.1333,1.0439,2.0379,44.1631,3.7184,12.1479,2.475,2.7312,37.4931,2.5683,2.219
2019-09-30,3.4513,0.1924,0.2392,40.1119,13.9788,13.9788,12.6523,10.2936,0.1379,0.9955,1.9242,46.7735,1.9467,5.5044,1.4198,1.5722,36.6785,1.4821,1.1577
2019-06-30,3.4432,0.1902,0.2352,37.9435,7.1204,7.1204,5.8274,5.0981,0.1309,0.9296,2.2598,39.8271,0.9116,2.5873,0.6672,0.7383,36.7749,2.1228,1.7075
2019-03-31,3.8677,0.1744,0.2113,39.1511,9.4065,9.4065,7.3722,9.0349,0.1172,0.8095,1.7018,52.8866,1.411,3.4607,1.0592,1.165,36.6166,1.4512,1.1799
2018-12-31,3.9029,0.135,0.1561,40.6525,9.7506,9.7506,8.5169,8.3521,0.1433,1.0624,1.8797,47.8803,1.5187,3.5832,1.1973,1.3137,37.2137,2.6575,2.0782
2018-09-30,3.5031,0.137,0.1587,39.9702,10.2298,10.2298,3.7126,3.6276,0.1487,1.1188,1.6683,53.9481,0.6926,1.7227,0.5395,0.5978,37.0435,1.6579,1.1189
2018-06-30,3.3907,0.1066,0.1193,34.1769,-2.7741,-2.7741,-8.9695,-4.3301,0.1198,0.909,1.6705,53.8771,-0.6411,-1.6898,-0.5187,-0.5728,37.2467,0.5964,0.2512
2018-03-31,4.1783,0.1707,0.2059,37.9691,-4.7751,-4.7751,-6.5645,-1.8788,0.1043,0.8739,1.7028,52.8533,-0.2618,-0.7179,-0.1959,-0.2171,37.8047,2.0431,1.7884
2017-12-31,4.718,0.1842,0.2258,39.8382,9.497,9.497,7.7376,-3.9116,0.1296,1.2031,1.716,52.4491,-0.6862,-2.0007,-0.5069,-0.5598,38.1194,2.1989,1.7978
2017-09-30,3.8019,0.1679,0.2018,39.0736,6.0327,6.0327,4.3394,4.3719,0.1268,1.0858,1.6102,55.8937,0.7324,2.244,0.5545,0.6094,38.5771,1.6573,1.1676
2017-06-30,4.054,0.1676,0.2014,36.886,-4.3426,-4.3426,-6.2837,-4.7788,0.0995,0.8589,1.5425,58.3473,-0.6234,-2.0791,-0.4753,-0.5189,38.6141,0.8163,-0.1638
2017-03-31,3.4898,0.1681,0.202,36.0185,-3.8034,-3.8034,-5.7991,8.695,0.0986,0.9557,1.5194,59.2349,1.1417,4.2283,0.8572,0.9499,38.7203,1.9348,0.6373
2016-12-31,2.7122,0.169,0.2033,37.5922,7.428,7.428,5.3901,-9.5163,0.1247,1.2746,1.6416,54.8231,-1.617,-6.8079,-1.187,-1.3438,38.495,1.8381,0.6801
2016-09-30,2.8389,0.1657,0.1987,36.637,5.2496,5.2496,3.437,1.3701,0.1281,1.2534,1.5183,59.2762,0.2381,1.0344,0.1755,0.1986,39.1856,1.8724,1.0027
2016-06-30,3.5339,0.1641,0.1964,39.5792,0.8218,0.8218,-1.384,-0.8124,0.1044,0.926,1.4845,60.626,-0.1127,-0.524,-0.0849,-0.0942,39.3811,0.4656,-0.5571
2016-03-31,4.0375,0.165,0.1976,41.8045,1.3941,1.3941,-0.4475,-3.9801,0.0922,0.8277,1.6717,53.8364,-0.4841,-2.3018,-0.3669,-0.4042,39.2482,1.0558,0.491
2015-12-31,6.1317,0.1524,0.1798,37.2153,-2.1288,-2.1288,-3.3835,-1.7927,0.0885,0.9582,1.8947,47.5019,-0.2025,-0.7776,-0.1587,-0.1717,40.0878,1.7335,1.1999
2015-09-30,3.5895,0.013,0.0131,40.2137,2.5467,2.5467,2.5739,0.628,0.1084,1.0755,1.5216,59.1471,0.0779,0.2924,0.0681,0.0769,40.5182,1.1418,0.5943
2015-06-30,4.7094,,,41.4935,-0.1982,-0.1982,0.3901,0.3022,0.0975,1.083,1.5556,57.8554,0.033,0.1096,0.0295,0.033,41.3448,0.9156,0.3378
