Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,1.8228,,,42.9576,12.178,12.178,12.306,9.0652,0.6299,1.6648,54.0605,11.1479,13.1139,5.7104,11.1479,13.7414,1.6789,1.5528
2022-06-30,1.7845,,,43.7801,12.8898,12.8898,12.9284,9.4384,0.6349,1.7065,52.7391,11.9796,14.146,5.9929,11.9796,13.3903,2.1284,1.9423
2022-03-31,1.7626,,,42.5298,12.5209,12.5209,12.5301,9.2702,0.615,1.6936,53.1425,11.5806,13.7115,5.7015,11.5806,13.1179,0.6254,0.4899
2021-12-31,1.6697,,,42.0426,12.548,12.548,12.5517,9.4888,0.5995,1.7974,50.0714,12.1606,14.5424,5.6885,12.1606,12.4772,1.2883,1.183
2021-09-30,1.665,,0.0,42.3532,13.2795,13.2795,13.2934,9.9775,0.5842,1.703,52.8488,12.9837,15.6863,5.8284,12.9837,11.8318,2.0238,1.9454
2021-06-30,1.7163,,0.0001,42.065,12.9075,12.9075,12.8979,9.4404,0.5766,1.7408,51.6995,11.8494,14.4645,5.443,11.8494,11.2463,1.4816,1.4242
2021-03-31,1.7406,,0.0002,40.1687,10.7311,10.7311,10.7343,7.909,0.5451,1.7487,51.4671,9.2342,11.4059,4.3115,9.2342,10.629,0.605,0.5184
2020-12-31,1.7606,,0.0002,39.4408,9.9308,9.9308,9.9368,7.24,0.5099,1.826,49.2872,7.8335,9.6674,3.6918,7.8335,10.6542,0.283,0.2433
2020-09-30,1.7607,0.0001,0.0002,39.2762,8.598,8.598,8.615,6.366,0.4642,1.7238,52.209,6.344,7.7056,2.9554,6.3437,10.4574,1.2158,1.1578
2020-06-30,1.7603,0.0001,0.0003,37.5824,5.2258,5.2258,5.2353,4.1681,0.4613,1.6656,54.0336,3.9938,4.8844,1.9229,3.9933,10.0903,2.6682,2.5968
2020-03-31,1.7591,0.0002,0.0004,40.7773,8.6817,8.6817,8.7452,5.9677,0.6623,1.7652,50.9843,7.9576,9.7837,3.9526,7.9563,9.8596,1.0972,0.9718
2019-12-31,1.7315,0.0002,0.0004,41.2208,9.9448,9.9448,10.0331,7.3399,0.6651,1.8461,48.7527,9.8665,12.1131,4.882,9.8645,9.9347,0.6749,0.5536
2019-09-30,1.6688,0.0003,0.0005,41.6381,10.4728,10.4728,10.5521,7.5497,0.6715,1.82,49.4519,10.5395,13.0232,5.0693,10.5367,9.5767,1.6704,1.5256
2019-06-30,1.7206,0.0003,0.0005,42.0435,10.4895,10.4895,10.5582,7.5582,0.6771,1.8003,49.9916,10.3326,12.784,5.1179,10.3293,9.4353,1.0411,0.9039
2019-03-31,1.7009,0.0004,0.0006,41.3739,9.9342,9.9342,10.0361,7.4767,0.6661,1.7771,50.6445,10.1945,12.7062,4.9804,10.1907,9.1026,1.0773,0.9698
2018-12-31,1.7981,0.0004,0.0006,41.9166,10.3626,10.3626,10.4601,7.6647,0.7786,1.865,48.2568,10.6814,13.359,5.9673,10.6768,8.9286,1.007,0.8815
2018-09-30,1.799,0.0005,0.0006,41.6353,10.2787,10.2787,10.3603,7.8598,0.7205,1.7573,51.214,10.2964,12.7309,5.6633,10.2918,9.2214,1.5406,1.4579
2018-06-30,1.8595,0.0005,0.0007,41.6675,10.2309,10.2309,10.2999,7.5025,0.7536,1.8171,49.5306,9.8527,12.2123,5.6535,9.8477,9.0612,1.2132,1.1368
2018-03-31,1.921,0.0005,0.0007,41.02,9.5966,9.5966,9.6492,6.892,0.7368,1.7777,50.6259,8.6264,10.6922,5.0778,8.6217,9.0221,0.9457,0.8809
2017-12-31,1.9145,0.0006,0.0008,41.0869,9.5334,9.5334,9.5848,3.4946,0.7209,1.8382,48.9618,4.2566,5.2895,2.5193,4.2541,8.8947,0.4994,0.4029
2017-09-30,1.8466,0.0006,0.0008,41.2468,9.9448,9.9448,9.9848,6.3939,0.6854,1.7952,50.1326,7.431,9.176,4.3821,7.4264,9.0933,1.0649,1.0045
2017-06-30,1.8724,0.0007,0.0008,41.1515,9.9625,9.9625,9.9896,6.1384,0.7126,1.8468,48.7336,7.2725,9.0473,4.3742,7.2675,8.7522,1.0859,0.9982
2017-03-31,1.8985,0.0007,0.0009,40.8451,9.7313,9.7313,9.7486,6.0993,0.7252,1.838,48.9663,7.2641,9.0499,4.4232,7.2588,8.4994,0.9769,0.8952
2016-12-31,1.8889,0.0008,0.0009,41.0413,9.8325,9.8325,9.8477,6.1489,0.7115,1.799,50.0292,7.1588,8.909,4.3751,7.1533,8.5025,0.6216,0.4711
2016-09-30,2.0469,0.0008,0.001,41.277,10.9105,10.9105,10.9316,6.7662,0.715,1.802,49.9455,8.2717,10.2802,4.8381,8.265,8.4953,1.2095,1.054
2016-06-30,2.1074,0.0009,0.001,41.438,11.0986,11.0986,11.1158,6.8159,0.7539,1.8358,49.0249,8.5662,10.7137,5.1383,8.5588,8.2183,0.999,0.8053
2016-03-31,2.1062,0.0009,0.0011,40.8385,10.257,10.257,10.2709,6.4037,0.7465,1.7738,50.7391,7.9828,10.0306,4.7807,7.9754,7.9574,0.6031,0.4586
2015-12-31,1.8275,0.001,0.0012,41.3984,11.0506,11.0506,11.0621,7.1626,0.7807,1.8514,48.611,9.3091,11.8179,5.5919,9.2998,7.6533,0.8796,0.6793
2015-09-30,2.0829,0.001,0.0012,41.8826,12.1173,12.1173,12.1356,7.3683,0.7653,1.7944,50.1567,9.6103,11.9638,5.639,9.6003,7.5873,0.7219,0.5787
2015-06-30,2.1052,0.0011,0.0012,41.7042,11.7249,11.7249,11.7318,7.052,0.7382,1.8515,48.6083,8.8409,10.9939,5.2058,8.8314,7.5609,1.0661,0.9444
2015-03-31,2.166,0.0011,0.0013,40.9839,10.6259,10.6259,10.6319,6.4635,0.7363,1.8232,49.365,7.9139,9.9092,4.7592,7.9049,7.2896,0.6291,0.5297
2014-12-31,2.1228,0.0012,0.0013,40.9969,10.9024,10.9024,10.915,6.8814,0.7415,1.8572,48.4595,8.5781,10.7709,5.1026,8.5679,7.251,0.609,0.413
2014-09-30,2.1069,0.0012,0.0014,41.2658,11.2923,11.2923,11.3012,6.9577,0.7525,1.8632,48.3044,8.7585,11.0269,5.2356,8.7478,7.1554,0.6951,0.5977
2014-06-30,2.193,0.0013,0.0014,41.0712,10.5955,10.5955,10.6148,6.4503,0.7334,1.8874,47.6842,7.7022,9.6996,4.7304,7.6925,7.1156,0.7745,0.6958
2014-03-31,2.2088,0.0014,0.0015,40.4388,9.386,9.386,9.4079,5.6763,0.7213,1.8465,48.7415,6.6032,8.4152,4.0943,6.5942,6.7806,0.435,0.3436
2013-12-31,2.1882,0.0014,0.0016,40.8922,9.5644,9.5644,9.5855,6.171,0.7273,1.9639,45.8281,7.2729,9.3122,4.4881,7.2627,6.69,0.7095,0.5531
2013-09-30,2.113,0.0015,0.0016,40.6911,9.625,9.625,9.6467,6.1722,0.729,1.8992,47.3873,7.3831,9.5232,4.4998,7.3722,6.4995,0.594,0.4987
2013-06-30,2.0922,0.0016,0.0017,40.6411,9.4392,9.4392,9.4614,5.9336,0.7444,1.9078,47.1752,7.321,9.5613,4.417,7.3094,6.2062,0.7424,0.662
