Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-10-31,1.9517,0.3719,0.5921,25.0016,9.8144,9.8144,9.8758,7.4918,0.3485,1.3729,27.0976,3.3213,8.2478,8.2478,2.6109,5.1804,12.027,1.5378,1.025
2022-07-31,1.9164,0.3729,0.5947,25.8231,11.2679,11.2679,11.0352,8.3901,0.3477,1.2513,27.3608,3.2894,9.3172,9.3172,2.9174,5.8425,11.8743,1.0308,0.6426
2022-04-30,1.8764,0.377,0.6052,26.2319,10.7812,10.7812,10.3728,7.8107,0.3274,1.1956,26.4099,3.4078,8.3486,8.3486,2.5574,5.201,11.5718,-1.1934,-1.5083
2022-01-31,1.773,0.3766,0.604,24.8377,9.7825,9.7825,9.4274,7.3063,0.3681,1.6681,42.1029,2.1376,9.0349,9.0349,2.6893,5.6327,11.5434,0.657,0.1504
2021-10-31,1.7525,0.381,0.6317,27.2932,11.428,11.428,11.0182,8.4168,0.3287,1.4907,28.8133,3.1236,9.6663,9.6663,2.7669,5.9838,11.2618,0.4682,0.1146
2021-07-31,1.7695,0.3856,0.6443,29.0138,14.0753,14.0753,13.686,10.2864,0.3522,1.9479,30.189,2.9812,12.6603,12.6603,3.6232,7.7784,10.9756,1.6721,1.3406
2021-04-30,1.7209,0.4014,0.6883,29.1776,14.2298,14.2298,13.808,10.5507,0.3371,1.8836,27.0199,3.3309,13.0441,13.0441,3.5569,7.8085,10.2286,2.1184,1.7331
2021-01-31,1.687,0.4266,0.7637,25.7109,9.4596,9.4596,9.009,5.6,0.3341,2.0922,36.9322,2.4369,7.232,7.232,1.8712,4.1468,9.2303,1.3028,1.1175
2020-10-31,1.6533,0.4542,0.8321,27.7823,4.4009,4.4009,3.6354,3.4944,0.2987,1.663,30.6106,2.9402,4.3457,4.3457,1.0437,2.372,8.4698,4.5439,4.2917
2020-07-31,1.6959,0.4436,1.0773,22.5198,3.1697,3.1697,2.0949,0.8212,0.2371,1.8606,16.4987,5.455,0.7689,0.7689,0.1947,0.4278,8.0538,3.4919,3.1828
2020-04-30,1.7487,0.4479,1.097,-2.5679,-25.1061,-25.1061,-25.4678,-16.5977,0.1718,1.0755,37.1327,2.4237,-10.8555,-10.8555,-2.8509,-5.9934,7.9158,-3.0052,-3.4019
2020-01-31,1.2705,0.0852,0.0931,26.9451,13.3077,13.3077,13.3822,10.3351,0.4721,1.7596,43.1692,2.0848,13.5784,13.5784,4.8793,12.4215,9.4156,2.0854,1.6643
2019-10-31,1.2618,0.0871,0.0955,28.1281,12.4205,12.4205,12.5349,9.6368,0.4088,1.2756,30.8292,2.9193,11.32,11.32,3.9394,10.3336,9.1179,0.9345,0.5091
2019-07-31,1.3122,0.0866,0.0949,28.5441,13.67,13.67,13.7902,10.3702,0.4349,1.549,30.5113,2.9497,12.5209,12.5209,4.5097,11.4361,9.1015,1.6014,1.1713
2019-04-30,1.3351,0.0873,0.0957,28.8406,14.1368,14.1368,14.2852,11.0925,0.4196,1.4895,31.2206,2.8827,12.8887,12.8887,4.654,11.7635,8.9458,1.391,1.1297
