Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.8736,6.911,48.8754,48.8754,44.912,48.1312,0.0424,21.6443,21.396,2.3409,2.7046,10.5323,2.8295,2.2687
2022-09-30,0.8763,7.0865,49.567,49.567,34.1815,40.967,0.0401,18.1003,17.8842,1.8961,2.2116,10.1398,2.8976,2.4196
2022-06-30,0.8757,7.048,48.9718,48.9718,31.5471,38.8128,0.0387,16.3207,16.1284,1.7216,2.004,10.2969,3.3531,3.0616
2022-03-31,0.8709,6.7433,47.8726,47.8726,31.3052,32.921,0.0387,13.2302,13.0824,1.4598,1.6895,10.8849,2.4098,1.9392
2021-12-31,0.8679,6.5718,44.6055,44.6055,38.4882,37.9479,0.0393,15.0537,14.8905,1.6986,1.9666,11.2359,2.6939,2.3729
2021-09-30,0.8685,6.6029,47.227,47.227,41.5596,52.4418,0.0382,20.3151,20.0957,2.2938,2.6432,11.2993,2.6614,2.0808
2021-06-30,0.8762,7.0754,48.2179,48.2179,32.2392,49.2173,0.036,19.257,19.0393,2.0267,2.3577,11.2819,3.0487,2.7022
2021-03-31,0.8815,7.4396,48.761,48.761,39.4768,35.9579,0.036,14.6945,14.5189,1.4834,1.7203,10.7014,2.6658,2.3164
2020-12-31,0.885,7.6961,40.8376,40.8376,13.2335,23.9947,0.0325,9.1167,9.0062,0.899,1.0357,10.1277,2.8564,2.691
2020-09-30,0.9258,12.4687,38.0912,38.0912,18.9396,13.7579,0.0335,8.5432,8.3645,0.5327,0.621,6.2885,2.0176,1.8264
2020-06-30,0.9211,11.6761,42.453,42.453,23.9171,23.9363,0.0312,12.6701,12.4408,0.8539,0.9814,7.2854,0.2436,-0.1641
2020-03-31,0.9165,10.9733,48.3884,48.3884,33.1171,32.3347,0.0397,20.4732,20.1279,1.4812,1.6811,7.8327,2.4186,1.723
2019-12-31,0.8925,8.3,52.5208,52.5208,32.4009,34.2731,0.0477,20.5803,20.2805,1.8904,2.1807,9.0851,3.0959,2.2776
2019-09-30,0.8964,8.6502,49.79,49.79,35.6551,38.421,0.0419,20.6977,20.4121,1.8577,2.1152,10.0374,3.1548,2.457
2019-06-30,0.874,6.9343,48.7144,48.7144,33.6311,35.4515,0.0455,17.2263,17.0083,1.8615,2.1436,10.9202,3.4043,2.7994
2019-03-31,0.8624,6.2666,51.2805,51.2805,37.9675,37.7521,0.0471,17.2792,17.0799,2.049,2.3505,11.9742,2.7101,2.0084
2018-12-31,0.8599,6.138,52.9088,52.9088,28.3492,48.754,0.0476,22.1936,21.9437,2.7152,3.0742,11.8499,3.2189,3.1799
2018-09-30,0.8587,6.0752,51.4838,51.4838,36.8885,39.6196,0.0452,16.6606,16.4776,2.0663,2.3289,12.6009,2.9575,2.1449
2018-06-30,0.8584,6.0601,52.5597,52.5597,38.3414,39.4932,0.0449,16.4614,16.2793,2.0472,2.3058,12.5429,3.2217,2.6961
2018-03-31,0.8543,5.863,50.3473,50.3473,45.311,44.5174,0.0449,17.9314,17.7403,2.3068,2.5849,13.0235,2.7158,2.1595
2017-12-31,0.8532,5.8112,52.913,52.9129,38.0883,40.322,0.0439,15.7262,15.5663,2.0455,2.2854,13.6222,2.788,2.0696
2017-09-30,0.8466,5.5179,49.1628,49.1628,34.9831,36.6037,0.0452,14.1122,13.9687,1.9097,2.1431,13.648,2.9406,2.3966
2017-06-30,0.8452,5.4584,50.3948,50.3948,26.0987,28.0556,0.044,10.3903,10.2856,1.4253,1.5926,13.8049,3.2961,2.7474
2017-03-31,0.8304,4.8951,50.2816,50.2816,35.5537,35.4993,0.0435,11.7608,11.6531,1.7808,1.9767,15.1473,2.5117,2.0367
2016-12-31,0.8225,4.6326,49.1246,49.1246,24.8404,27.6606,0.0458,9.2668,9.1857,1.4648,1.6308,15.8426,2.7258,2.0097
2016-09-30,0.8125,4.3325,49.8237,49.8237,33.9921,37.191,0.0429,11.1282,11.0374,1.8565,2.0698,16.9515,3.3777,2.6165
2016-06-30,0.8117,4.3111,50.1175,50.1175,33.8489,34.6203,0.0419,9.9989,9.917,1.6805,1.8672,16.9218,2.3541,1.9172
2016-03-31,0.8108,4.2845,51.2376,51.2376,34.84,35.9834,0.0426,10.6007,10.5144,1.7958,1.9897,17.3311,2.3284,1.806
2015-12-31,0.8112,4.2974,51.4066,51.4066,25.9217,28.4145,0.0452,8.8914,8.8168,1.5047,1.6644,16.8585,2.5828,1.8949
2015-09-30,0.8094,4.2477,49.812,49.812,32.4158,31.8156,0.0428,9.3214,9.2447,1.5965,1.7617,17.2172,2.3938,1.4708
2015-06-30,0.8038,4.0977,52.0628,52.0628,34.9424,35.056,0.0445,10.3802,10.2956,1.8307,2.0196,17.4076,2.6081,1.7702
2015-03-31,0.7841,3.6326,49.2644,49.2644,30.1749,44.3281,0.0399,10.6686,10.59,2.0748,2.286,19.186,2.1691,1.4322
