Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-10-31,0.8575,0.5637,1.4923,25.7863,3.854,3.854,3.4279,2.685,0.4768,1.1497,,,6.4616,6.4616,1.2802,2.8191,23.9389,1.2949,-2.61
2022-07-31,0.8221,0.5595,1.4258,22.6409,1.2329,1.2329,0.8334,0.7028,0.4962,1.3148,,,1.7277,1.7277,0.3488,0.7611,23.0143,2.8785,-0.5242
2022-04-30,0.8663,0.5539,1.3429,26.6548,5.3476,5.3476,4.9623,4.0087,0.4951,1.224,,,9.3651,9.3651,1.9846,4.1775,23.2357,-2.9799,-5.0107
2022-01-31,0.992,0.5137,1.0696,26.568,6.7589,6.7589,6.5073,4.9813,0.576,1.6372,,,12.0371,12.0371,2.8693,5.8538,27.2177,6.0691,3.9575
2021-10-31,0.9668,0.4563,0.9246,29.027,7.8356,7.8356,7.4497,5.8007,0.4714,1.2171,,,10.7803,10.7803,2.7347,5.8608,28.7021,4.5581,2.1908
2021-07-31,1.0417,0.4382,0.86,31.3196,9.8052,9.8052,9.4197,7.2218,0.4896,1.5348,,,12.2275,12.2275,3.5361,6.8698,30.3482,4.6158,3.0054
2021-04-30,1.0717,0.4348,0.8478,30.9171,9.8111,9.8111,10.7823,8.6664,0.4794,1.5861,,,14.0183,14.0183,4.1549,7.9228,30.1536,2.2626,1.2137
2021-01-31,1.0314,0.4441,0.8781,27.7145,6.4787,6.4787,6.1047,4.8696,0.553,1.9229,,,9.5568,9.5568,2.6928,5.3126,28.8294,6.8876,5.651
2020-10-31,1.0492,0.4839,0.9476,31.4731,8.5498,8.5498,5.7352,4.4804,0.4467,1.22,,,7.6132,7.6132,2.0015,3.9289,26.5978,3.7948,2.6566
2020-07-31,1.1089,0.5301,1.1367,31.7824,10.0109,10.0109,9.5277,7.3558,0.4786,1.7658,,,13.4362,13.4362,3.5208,6.314,25.1433,7.6041,6.2936
2020-04-30,1.0141,0.5575,1.275,26.026,2.3859,2.3859,1.6773,1.4479,0.4378,1.6904,,,2.5428,2.5428,0.6338,1.1251,22.3416,2.5386,1.0656
2020-01-31,0.8906,0.4893,0.9718,27.1049,5.1158,5.1158,4.4918,3.5644,0.547,1.8968,,,7.0396,7.0396,1.9472,3.595,23.4689,5.7244,4.5873
2019-10-31,0.8312,0.4766,1.011,30.6992,5.3683,5.3683,4.8272,3.8253,0.4267,1.135,,,6.1152,6.1152,1.614,3.2007,22.7857,2.6303,0.7005
2019-07-31,0.8437,0.4669,0.9731,31.4678,7.1871,7.1871,6.6062,5.0917,0.4432,1.384,,,7.925,7.925,2.2567,4.225,23.1473,4.8268,3.3964
2019-04-30,0.8767,0.5053,1.1166,30.5157,6.439,6.439,5.7923,4.5101,0.434,1.3519,,,7.1242,7.1242,1.9498,3.5241,21.6997,0.6218,-0.6295
2019-01-31,0.8338,0.475,0.9981,26.4514,4.8612,4.8612,4.4129,3.4729,0.5565,1.7795,,,7.0638,7.0638,1.9327,3.7082,21.8189,4.3799,3.2802
2018-10-31,0.8322,0.477,1.0505,29.6616,4.5957,4.5957,4.0009,3.4903,0.409,1.0115,,,5.5596,5.5596,1.4138,2.9079,21.2337,1.7431,-0.1593
2018-07-31,0.8194,0.4751,0.9987,31.1487,6.3738,6.3738,5.7493,4.4948,0.4444,1.3432,,,7.155,7.155,1.9977,3.7556,21.2255,4.1291,2.2177
2018-04-30,0.903,0.4989,1.0208,30.7252,6.2034,6.2034,5.5241,4.2786,0.4311,1.3436,,,6.4259,6.4259,1.8418,3.2203,20.9376,0.9501,-0.5712
