Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,1.7358,0.3923,0.6687,40.2922,16.0157,16.0157,14.9949,14.0021,0.1179,1.1141,1.3919,64.6614,3.4351,-10.1953,1.6546,2.0876,111.1893,4.8798,3.5124
2022-06-30,1.6459,0.4085,0.7145,41.9234,18.2407,18.2407,17.4749,15.1686,0.1211,1.124,1.4164,63.5415,3.9382,-9.6472,1.8415,2.3295,108.1041,3.8923,2.6344
2022-03-31,1.5556,0.4335,0.8107,46.2346,23.8704,23.8704,21.4926,18.7426,0.1274,1.1589,1.498,60.0787,5.4123,-11.0552,2.3936,3.066,104.7816,5.5747,3.9595
2021-12-31,1.4969,0.4418,0.8535,49.0936,23.7152,23.7152,17.3986,15.4924,0.1125,1.0786,1.3416,67.0837,4.0607,-7.8321,1.7441,2.2668,103.5785,6.1889,4.1234
2021-09-30,3.189,0.3591,0.5608,49.85,24.4159,24.4159,23.3333,20.3859,0.1268,0.9537,1.679,53.6045,4.916,-1510.317,2.5856,3.1508,98.2368,6.6483,5.3459
2021-06-30,2.7812,0.3375,0.5095,48.7868,23.3258,23.3258,22.0964,19.7132,0.137,1.0268,1.6934,53.1479,4.9628,-74.959,2.7017,3.288,93.6762,5.6363,4.2687
2021-03-31,2.5282,0.3471,0.5318,52.5843,30.7793,30.7793,27.7912,23.5918,0.1502,1.0818,1.7836,50.4603,6.6661,-50.8486,3.5446,4.352,89.1998,4.9824,3.4131
2020-12-31,2.1309,0.3563,0.6297,52.6635,29.109,29.109,27.4597,23.6777,0.1528,1.2395,1.8377,48.9754,7.2428,-59.3965,3.6205,4.6621,87.0169,8.3684,6.9023
2020-09-30,2.9277,0.3986,0.6628,50.8274,28.4708,28.4708,26.4288,22.6851,0.133,1.0943,1.6431,54.7753,6.074,-28.3099,3.0174,3.653,80.2957,6.7728,5.8613
2020-06-30,2.6235,0.4086,0.7134,48.8217,20.1099,20.1099,18.1148,16.7125,0.1123,0.9704,1.5447,58.2651,3.8695,-12.8516,1.8768,2.2885,75.5203,4.7432,4.0692
2020-03-31,2.316,0.4024,0.6992,43.9807,14.5425,14.5425,13.2905,12.6485,0.1062,1.0104,1.382,65.1236,2.7592,-7.4354,1.3427,1.6489,72.3102,0.89,0.2675
2019-12-31,1.9192,0.3653,0.5982,44.4428,18.0407,18.0407,15.2292,14.6727,0.117,1.1258,1.5702,57.3159,3.3833,-9.9871,1.7197,2.1475,74.4219,4.7657,4.0894
2019-09-30,1.7991,0.3583,0.5809,44.0529,15.0829,15.0829,13.1059,12.1174,0.1106,1.0608,1.4307,62.9082,2.589,-7.1834,1.3397,1.6613,73.2061,2.753,2.2356
2019-06-30,1.4946,0.3671,0.6627,44.696,23.6859,23.6859,22.0551,17.7169,0.109,1.0885,1.5297,58.8363,3.895,-9.4105,1.9303,2.4652,71.7371,3.2109,2.6799
2019-03-31,1.6851,0.3778,0.6553,44.1959,15.0204,15.0204,13.3388,13.3061,0.1102,1.0941,1.4741,61.0531,2.943,-6.7736,1.4659,1.8313,69.2358,1.6104,1.1266
2018-12-31,1.7285,0.3911,0.6884,44.9362,17.6425,17.6425,15.5525,13.8005,0.1157,1.1923,1.5733,57.2061,3.2553,-7.0492,1.597,1.9821,68.6011,4.436,3.8448
2018-09-30,1.841,0.3978,0.6982,44.1723,15.4054,15.4054,13.6824,11.9764,0.1075,1.1083,1.3907,64.7179,2.6367,-5.2632,1.2873,1.5879,66.7949,3.0049,2.5862
2018-06-30,1.5843,0.4011,0.7344,45.0477,15.4163,15.4163,13.2609,12.3725,0.1097,1.1654,1.3686,65.7601,2.8436,-5.2386,1.3573,1.7031,65.6536,3.5567,3.1084
2018-03-31,1.3558,0.4096,0.8014,44.08,13.429,13.429,10.8321,9.8924,0.1034,1.1321,1.2921,69.6566,2.2164,-3.7039,1.0233,1.3086,64.9304,0.1921,-0.0936
2017-12-31,1.3367,0.4262,0.8267,44.1707,15.826,15.826,13.5604,8.7316,0.1067,1.1363,1.5589,57.7328,2.0855,-3.2003,0.9353,1.1968,63.3243,4.7153,4.179
2017-09-30,1.2578,0.4609,0.9667,44.957,12.3925,12.3925,9.3823,10.4378,0.0914,0.901,1.2155,74.0459,2.1618,-3.059,0.9538,1.1654,61.6013,2.2686,2.0016
2017-06-30,1.4682,0.4052,0.7501,45.7715,15.01,15.01,12.5451,12.2645,0.1073,1.1172,1.3585,66.2501,2.7376,-4.7047,1.3179,1.6283,57.3967,2.1627,1.9407
2017-03-31,1.3668,0.4107,0.7832,46.0231,13.0115,13.0115,10.5561,11.5635,0.1031,1.1052,1.3523,66.5509,2.5281,-4.0554,1.1923,1.4898,55.7109,0.9162,0.6827
2016-12-31,1.4429,0.4164,0.7719,46.0661,15.3722,15.3722,13.1635,12.7133,0.1079,1.2071,1.4453,62.2701,2.9359,-4.5969,1.3775,1.7133,54.7468,3.0412,2.7126
2016-09-30,1.5598,0.4389,0.8732,45.7347,12.0488,12.0488,9.5282,10.5435,0.0935,1.0193,1.5512,58.0193,2.1862,-3.2782,0.9862,1.2267,54.8284,2.0186,1.8192
2016-06-30,1.1452,0.3536,0.6653,45.8304,14.0589,14.0589,11.4901,11.3909,0.1073,1.1775,1.6741,53.7615,2.4304,-4.6454,1.2231,1.571,53.9333,2.3072,2.0561
2016-03-31,1.0342,0.3577,0.7186,45.5877,12.0588,12.0588,9.8491,9.3648,0.1,1.0845,1.6096,55.9158,1.9226,-3.3677,0.9366,1.2349,53.1735,0.8395,0.5658
2015-12-31,1.3847,0.3485,0.5842,45.3215,14.832,14.832,12.5169,12.9447,0.1139,1.2772,1.6837,53.4533,2.8384,-5.9205,1.484,1.8492,53.4249,3.3662,3.0701
2015-09-30,1.0507,0.3302,0.6385,45.6757,13.652,13.652,11.3528,11.5469,0.1002,1.1272,1.6208,55.5275,2.2892,-4.3744,1.16,1.5333,52.2433,1.8478,1.6005
2015-06-30,1.0223,0.3402,0.6781,45.4658,13.9502,13.9502,11.7914,11.9787,0.1022,1.1869,1.6233,55.4427,2.4739,-4.4445,1.2247,1.6322,51.8957,1.9051,1.6817
2015-03-31,0.9008,0.3494,0.746,46.5066,12.4349,12.4349,9.7479,9.827,0.0936,1.104,1.5441,58.2883,1.9337,-3.0955,0.92,1.258,50.03,0.1993,-0.0414
2014-12-31,1.2224,0.3754,0.7088,46.5612,14.2249,14.225,11.9547,13.3814,0.1048,1.2912,1.8163,49.5513,2.9394,-4.8692,1.4095,1.8359,51.31,2.385,2.0669
2014-09-30,0.9193,0.357,0.7058,46.3537,15.3498,15.3498,12.9261,11.3056,0.0977,1.1694,1.6638,54.0919,2.291,-3.5506,1.1007,1.4731,51.2733,1.6709,1.4641
2014-06-30,0.9533,0.377,0.754,42.7243,8.0543,8.0543,5.4721,6.4439,0.0975,1.2801,1.6247,55.3944,1.3481,-1.9337,0.6285,0.8399,51.7299,2.2017,2.0405
