Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,2.1896,0.3329,0.5001,16.0774,6.8615,6.8615,9.9464,7.8949,6.6905,0.7898,3.0423,15.0515,24.2501,12.1187,17.8468,5.2906,8.084,34.5022,-0.1328,-0.0349
2021-12-31,2.5657,0.3556,0.5528,16.839,6.9779,6.9779,10.1276,7.0506,6.0249,0.7823,2.9691,14.7757,24.7028,10.9611,16.0094,4.7198,7.0632,31.4149,3.7006,3.2986
2020-12-31,2.5223,0.3536,0.6342,13.3637,4.3945,4.3945,7.7504,2.4204,2.6521,0.7545,2.8733,14.8043,24.655,5.2866,8.3785,2.0009,3.417,25.8171,-1.0034,-0.8256
2019-12-31,2.0601,0.3706,0.6905,16.317,7.865,7.865,10.9171,6.9112,5.9795,0.9076,2.8031,14.7991,24.6636,14.7699,24.1983,5.4268,9.2962,24.2018,-0.014,-0.0303
2018-12-31,2.1375,0.4045,0.7288,17.0198,7.8944,7.8944,11.022,9.9055,8.7461,0.9795,3.0367,13.6445,26.7506,23.5362,41.0894,8.567,14.017,22.0374,0.8886,1.0608
2017-12-31,2.1937,0.4084,0.6928,16.6995,7.3038,7.3038,10.4522,5.367,2.1623,0.9256,2.8499,10.4167,35.0398,5.4188,9.3207,1.9948,3.2059,21.5947,0.0866,0.1501
2016-12-31,2.0932,0.3731,0.6602,17.7763,8.2245,8.2245,11.481,6.3534,6.9771,0.8978,2.5397,12.9587,28.1665,15.1238,24.3571,5.489,9.4815,20.6215,-0.5144,-0.6451
2015-12-31,2.0105,0.4028,0.7272,18.2076,8.4929,8.4929,11.9273,7.2339,5.1926,0.9126,2.6494,12.8204,28.4702,14.0612,23.7334,4.7457,8.3975,18.1036,-0.3763,-0.3607
2014-12-31,2.0184,0.4751,0.9068,17.7043,7.8974,7.8974,11.2048,6.1464,4.3234,0.9502,2.9076,13.4087,27.2211,14.162,26.9488,4.1424,7.4343,15.4447,1.4391,0.8519
2013-12-31,2.3686,0.4203,0.727,16.3004,6.9977,6.9977,10.2115,5.5684,4.1143,0.9351,3.4192,12.3636,29.5221,11.3595,18.7996,3.8473,6.5847,15.5406,-0.2982,0.3956
2012-12-31,2.111,0.5358,1.333,18.1254,8.6051,8.6051,11.7349,6.8726,4.8133,0.9389,3.6943,14.7612,24.7271,19.4249,43.2936,4.4579,9.0175,11.0247,-0.3137,-0.566
2011-12-31,2.7349,0.6096,1.6149,17.4457,6.847,6.847,10.4213,2.9889,2.1463,0.8281,3.8751,13.1717,27.7109,8.816,21.8018,1.7775,3.4414,9.8422,0.2074,-0.7033
2010-12-31,3.5243,0.6666,2.0061,18.2423,6.5463,6.5463,10.2803,0.8171,0.8171,0.6887,3.7791,11.7993,30.934,3.0956,6.8657,0.602,1.032,10.7798,-0.6081,-1.0665
2009-12-31,4.6419,0.7634,3.2735,19.3524,6.6095,6.6095,10.5048,-1.419,-0.2952,0.5544,3.7255,11.745,31.0771,-2.5832,-6.0631,-0.3854,-0.6112,10.3783,3.8604,3.8528
