Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,1.1137,0.6135,1.61,42.9136,27.7616,27.7616,46.9163,24.068,18.0811,0.4814,28.6466,5.8094,62.8294,29.8074,360.4452,8.7045,11.521,101.821,11.7991,3.9552
2021-12-31,0.8264,0.5944,1.6166,39.6562,23.4356,23.4356,43.979,18.9996,14.2651,0.4788,35.75,5.7937,62.9997,23.1347,-911.842,6.8303,9.3839,82.7246,14.2149,-12.4602
2020-12-31,1.0672,0.6639,2.1303,37.3154,21.102,21.102,44.5721,13.3529,10.4338,0.4774,42.776,6.4867,56.2691,19.582,-70.0236,4.981,6.5814,62.9528,-2.4675,13.0657
2019-12-31,0.838,0.7314,2.9838,39.2471,23.0136,23.0136,44.9685,16.1908,12.5548,0.4929,47.3417,6.1118,59.7209,30.6527,-52.9067,6.1887,8.2322,51.5048,4.7585,4.8903
2018-12-31,0.8322,0.7611,3.452,41.8044,24.2451,24.2451,45.1597,18.3422,13.62,0.4438,42.9633,5.2084,70.0789,32.2069,-40.0146,6.0442,7.6928,42.6051,8.3379,4.5976
2017-12-31,1.0624,0.7373,3.0393,41.6955,22.6924,22.6924,43.6531,15.7808,20.268,0.4418,51.6267,5.3861,67.7677,43.3355,-72.7175,8.9554,11.3846,36.7731,3.7041,-2.3137
2016-12-31,1.1495,0.8136,4.7269,41.7043,24.5575,24.5575,46.3207,15.7758,9.823,0.4806,49.3971,6.263,58.2784,34.3447,-24.0442,4.7214,6.402,19.5673,1.4139,3.1854
2015-12-31,1.0495,0.8366,5.5298,42.6337,26.0959,26.0959,47.6534,16.5549,10.0567,0.4814,48.3623,6.2548,58.3548,39.6342,-21.8937,4.8415,6.4777,16.0826,3.5399,4.1764
2014-12-31,0.8782,0.8033,4.4283,42.7792,24.4679,24.4679,45.7696,14.9516,9.4987,0.4687,41.7051,6.0479,60.3518,30.0334,-20.9302,4.4521,5.9068,18.3698,2.5676,1.7037
2013-12-31,1.0591,0.7804,3.8815,40.1009,21.7558,21.7558,44.3391,12.2099,7.8103,0.4412,42.4,6.1629,59.225,20.9416,-18.2289,3.4458,4.5978,19.8094,6.9904,5.9017
2012-12-31,0.9941,0.8105,4.6785,38.5475,14.3551,14.3551,36.7015,2.1375,1.8217,0.3734,37.2059,5.1917,70.3048,4.7649,-2.8891,0.6802,0.9027,16.9276,-0.7421,-2.612
2011-12-31,0.8368,0.9625,29.534,34.393,15.1666,15.1666,34.393,6.2811,3.8683,0.6302,38.9318,5.6272,64.864,98.0583,-37.5465,2.4378,3.6727,1.6381,0.8671,-3.4743
2010-12-31,1.2742,1.0075,-146.45,29.4144,8.8064,8.8064,29.9061,-2.8163,-1.1623,0.6057,40.4872,5.9337,61.5132,110.0,8.9069,-0.5957,-0.8209,-0.3299,0.1887,-2.3519
2009-12-31,1.5293,1.0065,-161.8421,25.8694,4.8346,4.8346,25.6573,-4.5377,-2.6293,0.611,39.7273,6.997,52.165,315.7895,24.0,-1.5548,-2.0471,-0.3158,7.2879,6.1398
