Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,1.3167,0.3083,0.4881,9.0498,8.5302,8.5302,8.3862,6.3369,0.7493,6.1,3.8385,23.4465,12.2792,12.2792,4.9082,8.4935,61.5138,5.8152,6.2424
2022-06-30,1.2476,0.3428,0.5666,12.5462,12.0428,12.0428,11.8317,9.0877,0.8026,6.319,3.5765,25.1643,20.9739,20.9739,7.4101,13.7839,57.7024,14.4821,11.755
2022-03-31,1.1783,0.3676,0.6448,4.2006,3.5909,3.5909,3.1628,2.3481,0.6381,5.1468,2.9466,30.5433,4.7379,4.7379,1.6009,2.996,50.012,1.4412,0.5
2021-12-31,1.256,0.3888,0.6999,5.3199,4.4397,4.4397,3.5624,2.8104,0.6202,5.4259,3.4595,26.0151,5.6013,5.6013,1.9175,3.4235,48.4291,6.05,2.8612
2021-09-30,1.3128,0.4129,0.7657,3.1098,2.3476,2.3476,1.9411,1.5684,0.5398,4.5932,3.4218,26.3018,2.7328,2.7328,0.9289,1.6045,45.4698,3.5397,3.4557
2021-06-30,1.3629,0.4216,0.7849,2.5551,1.8344,1.8344,1.6614,0.5838,0.5004,4.4304,3.0385,29.6194,1.5612,1.5612,0.5265,0.9029,45.7506,4.9337,3.0148
2021-03-31,1.4293,0.4266,0.783,-1.961,-3.201,-3.201,-3.7009,-3.3836,0.3881,3.6072,2.3082,38.9916,-3.3214,-3.3214,-1.1601,-1.9046,45.8141,-0.1278,-0.9607
2020-12-31,1.7068,0.4153,0.7472,-1.3852,-2.8306,-2.8306,-3.6015,-2.1621,0.3207,2.788,2.718,33.1131,-1.5732,-1.5732,-0.5968,-0.9198,48.0944,0.2358,-2.5381
2020-09-30,1.8988,0.4214,0.76,-2.5176,-3.9281,-3.9281,-4.5291,-2.935,0.3056,3.0254,2.8225,31.8863,-1.8935,-1.8935,-0.7326,-1.0956,49.0854,0.4054,0.4791
2020-06-30,1.7482,0.3695,0.6144,18.9766,17.2069,17.2069,16.1008,12.0516,0.2118,1.5542,2.5041,35.9411,6.4699,6.4699,2.719,4.0796,50.6042,1.8081,-0.3395
2020-03-31,1.313,0.3494,0.5822,-9.4335,-10.3022,-10.3022,-10.723,-8.3748,0.4629,6.5815,4.099,21.9564,-8.9103,-8.9103,-3.6735,-5.7966,48.2829,-0.1201,-1.1961
2019-12-31,1.4414,0.2894,0.4292,7.1846,6.2377,6.2377,5.94,3.8021,0.5176,3.6897,3.1018,29.0154,5.9017,5.9017,2.4692,4.1937,55.0609,4.1032,2.6985
2019-09-30,1.4042,0.2981,0.4434,4.1066,3.2331,3.2331,2.9506,2.2349,0.5319,4.0982,3.4087,26.4032,2.96,2.96,1.2473,2.0775,52.5498,3.5157,3.5668
2019-06-30,1.4194,0.2957,0.4346,3.8814,3.1383,3.1383,2.7927,2.1152,0.5562,4.4276,3.197,28.1513,2.9674,2.9674,1.2456,2.0901,52.669,3.6429,1.2878
2019-03-31,1.4311,0.2925,0.4645,2.1968,1.2694,1.2694,0.8985,0.5811,0.4657,3.6207,2.9271,30.7468,0.7668,0.7668,0.3206,0.5425,52.1993,2.0981,0.9904
2018-12-31,1.6482,0.2807,0.4007,5.3811,4.5214,4.5214,4.2708,3.3136,0.5728,4.1617,3.9115,23.0091,4.4961,4.4961,2.0377,3.234,54.4329,3.9058,2.7562
2018-09-30,1.5936,0.2788,0.3953,4.7036,3.9515,3.9515,3.7278,2.7748,0.5945,3.9192,3.7397,24.0659,3.8066,3.8066,1.6842,2.7452,54.0686,1.2094,0.1635
2018-06-30,1.6708,0.2802,0.3973,4.9492,4.04,4.04,3.6241,2.7245,0.612,4.5919,4.1161,21.8652,3.837,3.837,1.7266,2.762,53.2278,4.778,3.7689
2018-03-31,1.6983,0.2607,0.3907,4.0168,3.0296,3.0296,2.7649,1.7739,0.5355,3.8714,3.8801,23.1953,2.5387,2.5387,1.1787,1.8768,53.1991,0.3194,-0.5694
2017-12-31,1.7444,0.2765,0.3874,4.2058,3.1941,3.1941,2.8986,8.9838,0.5262,3.9602,3.8128,23.6049,10.4804,10.4804,4.7849,7.5829,52.7774,3.6802,1.4757
2017-09-30,1.9104,0.2827,0.3998,6.85,5.6532,5.6532,5.267,3.5693,0.491,3.5763,3.954,22.7617,4.0662,4.0662,1.7984,2.9167,48.4603,2.4223,1.6345
2017-06-30,2.0475,0.2872,0.4087,4.7138,3.8645,3.8645,3.4511,2.4625,0.4841,3.7372,4.8664,18.4942,2.7546,2.7546,1.2442,1.9635,46.9793,4.0537,3.3898
2017-03-31,2.0139,0.2884,0.4111,3.3621,2.4251,2.4251,1.9888,1.4009,0.4728,3.4921,4.2657,21.0987,1.5544,1.5544,0.6971,1.1061,46.1823,2.1907,1.5721
2016-12-31,2.0173,0.2744,0.3837,11.6358,2.81,2.81,2.5541,1.7719,0.4486,3.2058,3.5099,25.6417,1.9948,1.9948,0.901,1.4475,46.1881,2.0792,1.3075
2016-09-30,2.0523,0.2718,0.4237,13.3137,4.5397,4.5397,4.0155,3.1198,0.4247,2.8488,4.1612,21.6286,3.0525,3.0525,1.3941,2.2228,46.6358,2.013,1.3282
2016-06-30,1.8701,0.2369,0.3509,14.8999,6.2857,6.2857,5.7904,4.1565,0.4309,2.7157,3.974,22.6471,3.9385,3.9385,1.8547,3.0053,46.2983,4.9369,4.31
2016-03-31,2.1935,0.2511,0.3412,15.9094,5.2756,5.2756,4.6455,3.1501,0.355,2.182,3.3491,26.8729,2.3866,2.3866,1.1591,1.7873,45.7545,1.3588,0.6879
