Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2023-01-31,1.7519,0.3476,0.5328,72.454,-5.4036,-5.4036,-4.7331,-7.6353,0.1221,1.0485,85.8356,-2.2504,-5.1514,-0.932,-1.4682,21.5659,2.7391,2.4464
2022-10-31,1.872,0.3548,0.55,72.7477,-1.646,-1.646,-1.3857,-4.6727,0.1291,1.5369,58.5592,-1.3814,-3.3322,-0.6031,-0.8912,21.0471,1.5859,1.3615
2022-07-31,1.6066,0.3671,0.804,72.4518,-2.2189,-2.2189,-4.3539,-4.1775,0.1159,1.3895,64.7715,-1.2512,-3.3073,-0.4842,-0.7919,20.0305,0.4317,-0.2288
2022-04-30,1.5567,0.3834,0.862,71.9221,-5.0774,-5.0774,-6.4828,-7.1218,0.1121,1.8439,48.8109,-2.1372,-6.5021,-0.7983,-1.3177,18.8221,1.7467,1.5133
2022-01-31,1.0289,0.1198,0.4057,71.6746,-7.3366,-7.3366,-6.091,-5.3231,0.1311,1.1075,81.2628,-1.6153,-5.6174,-0.6977,-1.4217,18.0681,2.4332,2.1423
2021-10-31,1.0979,0.1311,0.4384,72.8973,1.8041,1.8041,3.4283,3.2708,0.1406,1.5343,58.6573,1.0297,3.0665,0.4598,0.8948,16.8633,1.5615,1.4181
2021-07-31,1.0438,0.1447,0.48,72.5856,-0.0889,-0.0889,8.0822,8.3893,0.1383,1.4441,62.3224,2.7336,9.4035,1.1602,2.3379,15.5967,0.6471,0.3275
2021-04-30,0.9276,0.1651,0.5477,71.6559,-3.2606,-3.2606,-4.0309,-3.9592,0.1363,1.8157,49.5685,-1.3661,-7.2458,-0.5394,-1.1406,13.8433,1.8562,1.5698
2021-01-31,1.1213,0.1743,0.5476,72.3382,-6.478,-6.478,-6.0595,-6.3363,0.1298,1.0961,82.1109,-2.1876,-5.9282,-0.8225,-1.8063,13.489,2.3494,2.1403
2020-10-31,1.0919,0.1855,0.5823,73.31,-1.2728,-1.2728,-2.0727,-2.2008,0.141,1.489,60.4425,-0.7908,-2.4442,-0.3103,-0.644,12.8252,1.2188,0.8949
2020-07-31,1.4548,0.3817,0.6304,73.2311,-1.5776,-1.5776,-2.6561,-2.6381,0.1416,1.5296,58.8399,-0.987,-3.7739,-0.3735,-0.6103,11.9767,0.6514,0.3727
2020-04-30,1.2452,0.367,0.6821,69.9888,-14.1849,-14.1849,-15.2624,-15.5509,0.1409,1.7432,51.6305,-6.0864,-32.3101,-2.1912,-3.8525,11.0724,1.132,0.8747
2020-01-31,1.0422,0.2905,0.5076,70.8312,-14.9644,-14.9644,-13.235,-13.1064,0.1432,1.1125,80.8994,-5.146,-35.6539,-1.8772,-3.6512,10.7179,1.3218,1.1082
2019-10-31,1.1863,0.3026,0.538,71.1193,-11.7525,-11.7525,-12.1934,-12.3365,0.1524,1.5241,59.051,-4.9901,-17.3296,-1.88,-3.48,10.0834,1.1169,0.8811
2019-07-31,0.8121,,0.5579,69.9991,-13.7986,-13.7986,-13.8105,-13.5975,0.1482,1.4472,62.1888,-5.4614,-22.2313,-2.0145,-5.4614,9.6942,0.4303,0.1005
2019-04-30,1.0909,0.3248,0.5961,70.5209,-14.9549,-14.9549,-14.0894,-14.093,0.1417,1.5199,59.2153,-5.6865,-31.2798,-1.9964,-3.8397,9.0476,0.9367,0.6432
2019-01-31,1.111,0.3318,0.6152,70.3602,-15.2522,-15.2522,-13.3311,-13.2332,0.1428,1.1191,80.4197,-5.3288,-39.2221,-1.8903,-3.561,8.8218,1.1624,0.9524
2018-10-31,1.1048,0.344,0.6496,69.994,-24.5907,-24.5907,-21.0092,-20.6315,0.1486,1.5291,58.8598,-8.3644,-124.7091,-3.0664,-5.4873,8.4089,0.516,0.2652
2018-07-31,1.8883,0.3486,0.663,70.1915,-13.2469,-13.2469,-13.0068,-12.8262,0.141,1.4683,61.2973,-4.8532,-5.5079,-1.8081,-3.1613,8.1808,0.2553,0.0113
