Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,2.2245,1.1652,-7.3867,36.679,9.8721,9.8721,-2.7326,3.2252,0.0749,9.0783,4.6518,19.3475,2.045,1.779,-0.2501,-0.3379,-14.4693,0.7305,0.5222
2022-09-30,1.421,1.1601,-7.5872,36.3911,-5.9559,-5.9559,-23.1984,-16.0603,0.0755,8.2849,4.2361,21.2458,13.0116,11.2449,-1.764,-2.0834,-14.0859,0.0177,-0.7775
2022-06-30,1.4662,1.1375,-8.6683,37.3272,-5.7247,-5.7247,-23.4041,-14.3097,0.0771,8.246,4.8762,18.4569,15.53,13.0872,-1.8104,-2.1356,-12.0858,-0.355,-1.1426
2022-03-31,2.3094,1.0953,-11.5391,35.1377,-9.9509,-9.9509,-26.5878,-19.2298,0.0783,8.5592,5.0979,17.6545,24.6415,19.5021,-2.0905,-2.3489,-8.9137,-1.0205,-1.8578
2021-12-31,2.2331,1.0757,-14.2721,32.0764,-10.1345,-10.1345,-24.7837,-17.0011,0.0832,10.1179,5.2252,17.2244,30.6657,22.4194,-2.0464,-2.321,-7.2265,-0.0655,-0.7567
2021-09-30,2.2197,1.0534,-19.8178,30.8737,-8.4115,-8.4115,-24.6146,-16.7144,0.0789,10.7359,4.4817,20.0815,41.5099,27.9936,-1.9511,-2.2158,-5.1236,0.0889,-0.8073
2021-06-30,1.2666,1.0345,-33.6902,36.3512,-2.9816,-2.9816,-17.4425,-13.2681,0.076,9.534,4.0255,22.3574,49.0045,26.8687,-1.3315,-1.6902,-3.0587,0.3069,-0.2616
2021-03-31,2.3723,1.0176,-58.9026,27.6611,-23.8545,-23.8545,-45.5673,-38.141,0.0559,8.1669,3.4211,26.3076,165.6552,68.4997,-2.5532,-2.9101,-1.7548,-2.287,-2.6486
2020-12-31,2.0273,1.0628,-17.7207,30.2349,-26.0368,-26.0368,-45.1495,-39.2863,0.0495,7.2201,3.4273,26.26,42.0838,30.5551,-2.2372,-2.6448,-6.8341,-2.732,-2.8546
2020-09-30,2.2914,1.0455,-23.3971,22.6062,-76.3951,-76.3951,-114.5001,-204.6532,0.0265,3.894,2.0716,43.4451,152.1196,121.3256,-5.9535,-6.92,-5.0674,-1.6172,-2.2661
2020-06-30,2.2656,0.9785,46.5913,-180.3648,-610.3013,-610.3013,-763.0645,-743.9661,0.0058,2.834,0.2892,311.193,-268.0068,-552.952,-4.9368,-5.7631,2.5419,-4.0427,-4.5181
2020-03-31,1.812,0.9181,11.4552,22.6541,-25.9418,-25.9418,-39.2625,-42.1548,0.0668,8.5593,2.5047,35.9325,-45.3665,-53.0569,-3.1545,-3.7133,9.1995,-1.6547,-2.9406
2019-12-31,1.4405,0.8674,6.7493,39.0899,13.7033,13.7033,8.464,-4.4115,0.1192,11.3775,4.7729,18.8566,-1.1333,-1.2523,-0.1259,-0.1503,14.3574,1.1137,-0.5872
2019-09-30,1.0937,0.8498,5.7255,37.0893,10.7925,10.7925,2.8287,-0.2122,0.1241,12.8795,5.7491,15.6546,1.6137,1.7722,0.2025,0.2425,15.5163,2.5538,0.2545
2019-06-30,0.9959,0.8309,4.9445,38.6897,13.1889,13.1889,8.4569,5.7016,0.126,12.4346,5.5893,16.1021,7.6844,8.2797,1.0804,1.2994,17.2004,2.2906,-0.7473
2019-03-31,1.1938,0.8267,4.7879,39.0521,15.4507,15.4507,9.7736,6.3499,0.1255,14.9404,6.3569,14.1579,8.34,8.9666,1.2136,1.4457,17.7897,2.4643,-0.4298
2018-12-31,1.4034,0.8383,5.1924,38.684,14.5938,14.5938,8.4616,27.5462,0.1277,15.5306,6.1002,14.7536,28.4061,32.3756,3.9006,4.5921,16.924,4.3958,1.7473
2018-09-30,1.1411,0.8495,5.799,38.4183,17.0258,17.0258,12.6319,9.1345,0.1381,16.6858,7.3454,12.2525,14.2683,16.6886,1.7756,2.1471,14.166,4.0957,1.2141
2018-06-30,1.0811,0.8172,4.5684,38.5985,17.4142,17.4142,12.1823,9.7019,0.1359,14.7645,6.9766,12.9002,11.2816,12.8655,1.7372,2.0625,16.7485,1.0147,-1.7222
2018-03-31,1.1665,0.9229,12.1293,40.9362,-4.7386,-4.7386,-14.4863,-11.9089,0.1404,14.9941,7.517,11.9728,-17.8222,-24.5934,-1.1255,-1.3739,7.4745,-0.523,-5.5395
2017-12-31,1.7737,0.8987,8.929,38.0578,18.5813,18.5813,12.9419,30.3103,0.1279,14.0265,7.2377,12.435,50.4441,56.9807,4.2893,5.1104,10.4688,5.8628,3.072
2017-09-30,1.7248,0.9608,25.5573,39.3639,16.5873,16.5873,6.8013,5.1418,0.1248,11.3475,6.9216,13.0028,26.6113,38.6877,0.8527,1.042,3.8743,4.5878,2.0923
2017-06-30,1.9743,0.9648,27.4193,38.0601,16.7622,16.7622,7.4278,5.0863,0.1242,10.7955,7.5079,11.9874,29.8558,45.8728,0.9007,1.0507,3.4877,3.7782,1.3741
2017-03-31,2.0431,0.9653,27.8254,38.9365,17.5543,17.5543,9.5111,7.081,0.1204,10.0548,7.6545,11.7578,37.5788,55.2957,1.1203,1.3037,3.4495,4.0618,2.8329
2016-12-31,2.1114,0.9752,39.2637,40.8064,11.7714,11.7714,11.3184,9.6446,0.0987,7.6299,5.3886,16.7019,49.0792,87.7147,1.0588,1.2189,2.5332,2.8169,0.1917
2016-09-30,1.4383,1.0069,-146.5243,37.3509,6.9318,6.9318,-1.731,-1.5712,0.1016,7.8362,6.2493,14.4016,30.0022,10.8227,-0.1769,-0.2062,-0.6333,3.0806,-0.9295
2016-06-30,2.4342,0.9998,5579.36,38.4132,13.9403,13.9403,8.1776,6.6509,0.0997,8.7152,6.0983,14.7582,5276.839,-79.0923,0.843,0.9456,0.0167,2.4966,-0.1912
2016-03-31,2.6844,0.9915,116.4459,39.0617,15.8666,15.8666,10.9965,7.5396,0.0937,8.3738,5.2934,17.0023,130.7122,-359.3304,0.9937,1.1148,0.7953,1.1346,-1.5404
2015-12-31,2.2571,0.9976,419.5773,39.1718,16.0376,16.0376,9.3573,9.2112,0.0905,7.732,5.0397,17.8581,479.7171,-117.5779,1.0019,1.1426,0.2151,2.2327,-2.6677
