,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,2.09370,0.13410,0.15490,87.86570,28.69250,28.69250,35.33880,27.85280,25.35450,0.30880,1.96800,185.46370,10.76300,131.45320,7.83070,9.31960,55.96150,0.9754,0.9581
2021-12-31,2.10480,0.14390,0.16810,86.46970,26.91910,26.91910,33.68780,27.02840,23.84350,0.30150,1.96460,185.79040,10.13880,145.87380,7.18860,8.68000,51.49400,-0.0333,0.1106
2020-12-31,2.35890,0.16300,0.19480,86.60180,29.52220,29.52220,35.84150,29.37760,25.80670,0.28300,2.08580,174.99670,10.58810,118.97060,7.30380,8.86210,47.33430,0.4519,0.5697
2019-12-31,2.23770,0.10920,0.14440,89.03130,33.97600,33.97600,39.18580,34.47360,29.77090,0.31330,2.21910,164.47790,13.06820,80.10370,9.32640,11.64060,40.28020,0.1732,-0.0965
2018-12-31,2.49860,,,87.94990,36.83990,36.83990,41.42040,37.65240,32.41830,0.39610,2.42340,150.61560,15.82820,48.43670,12.84080,15.82820,31.68030,0.7212,0.6884
2017-12-31,2.08740,,,86.28950,35.67480,35.67480,41.85400,36.12820,23.67050,0.37230,2.81930,129.46340,11.54370,36.53210,8.81320,11.54370,26.67510,0.8103,0.7297
2016-12-31,2.16920,,,85.14260,38.06330,38.06330,45.10320,38.47530,26.87360,0.35300,2.85240,127.96350,12.02840,38.02560,9.48520,12.02840,25.77260,0.0077,0.0442
2015-12-31,2.22340,,,84.38130,37.51560,37.51560,45.75420,37.84290,26.78550,0.34530,3.23070,112.97910,11.50740,39.36260,9.25020,11.50740,24.89710,0.0153,0.1152
2014-12-31,2.32720,,,83.61300,37.11990,37.11990,45.87230,37.19350,27.20990,0.34000,3.18880,114.46430,11.48550,39.42530,9.25180,11.48550,24.43120,0.5906,0.6176
2013-12-31,2.42400,0.00840,0.00850,82.96770,37.37120,37.37120,46.74130,37.44390,28.48470,0.31640,2.88450,126.53710,11.48400,41.64070,9.01150,11.38740,23.14010,0.3573,0.3065
2012-12-31,1.91320,,0.02740,82.51720,36.87300,36.87300,47.57730,36.78450,25.49860,0.30610,2.55070,143.09960,10.48720,60.22500,7.80400,10.48720,20.93850,-0.1171,-0.1358
2011-12-31,1.68670,0.02940,0.07270,82.78770,38.40620,38.40620,47.94480,38.30480,26.12990,0.28240,2.78920,130.85960,10.29800,124.02370,7.37910,9.99520,18.93620,1.4694,1.3886
2010-12-31,2.29510,0.07700,0.10430,82.61410,37.78950,37.78950,48.27240,37.29410,26.39130,0.27280,2.59030,140.91190,10.00910,70.72230,7.19990,9.23880,16.69370,-0.1019,-0.1643
2009-12-31,1.93240,0.13150,0.17170,81.18810,35.49670,35.49670,47.91450,33.57210,22.51780,0.26920,3.36030,108.61980,8.86700,-239.95190,6.06150,7.70140,14.63750,1.8923,1.8017
