,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.92870,0.80210,4.05430,82.33600,47.26340,47.26340,57.42660,47.26340,30.28360,0.92280,,8.27560,44.10570,303.49440,303.49440,31.04890,60.06470,4.31700,5.5211,3.0547
2021-12-31,1.12420,1.10900,-10.47420,76.74070,23.85220,23.85220,41.00660,23.85220,12.27300,0.59600,,5.68720,64.17890,-183.12410,-183.12410,9.87000,19.96050,-2.06670,5.6507,6.0611
2020-12-31,1.41130,1.07940,-13.60000,85.35280,-112.34910,-112.34910,-71.21630,-112.34910,-112.81340,0.33800,,4.74450,76.93130,760.31010,760.31010,-38.47480,-60.35690,-1.70870,-3.9328,-1.3536
2019-12-31,1.05710,0.65710,1.91850,93.16340,-45.90260,-45.90260,-5.00530,-45.90260,-54.21940,0.36190,,6.17040,59.15310,-82.46360,-82.46360,-20.33470,-28.27960,11.87300,-2.2311,1.6266
2018-12-31,1.22080,0.47870,0.93550,91.13860,12.33900,12.33900,43.31530,12.33900,0.51520,0.35970,,6.50250,56.13220,3.24560,3.24560,1.32520,1.69180,23.51770,3.4965,-1.0837
2017-12-31,1.45280,0.47440,0.96510,96.96400,14.29240,14.29240,49.78980,14.29240,20.30200,0.29300,0.52990,4.77550,76.43240,17.09700,17.09700,6.85610,8.98650,23.07620,-0.0722,-0.5104
2016-12-31,1.75850,0.52670,1.11260,96.26450,-31.41580,-31.41580,17.48230,-31.41580,-26.24210,0.23780,0.42020,4.74650,76.89950,-16.14790,-16.14790,-5.50650,-7.64350,20.23770,-0.644,6.5777
2015-12-31,2.03800,0.47870,0.91840,96.93710,-176.64390,-176.64390,-128.74150,-176.64390,-150.26850,0.27020,0.37020,5.49800,66.38770,-117.58690,-117.58690,-43.76080,-61.29300,25.10360,-13.6658,1.6518
2014-12-31,1.75080,0.28550,0.39970,97.62030,-59.53630,-59.53630,-20.08370,-59.53630,-72.87310,0.20500,0.38560,5.66800,64.39680,-22.43310,-22.43310,-11.28110,-16.02760,74.73210,-3.5027,-8.0502
2013-12-31,1.35450,0.21460,0.27480,98.00530,27.06750,27.06750,67.69640,27.06750,15.15450,0.23420,0.32320,4.89090,74.62810,5.59430,5.81940,3.21240,4.39370,89.42750,2.4747,3.8296
2012-12-31,0.89630,0.26600,0.39400,98.21900,29.22000,29.22000,70.76190,29.22000,11.62160,0.27270,0.32490,5.36750,68.00230,6.60050,6.61410,3.27150,4.65490,79.99930,-3.1331,-10.6287
2011-12-31,0.96780,0.18960,0.24890,98.24730,47.92160,47.92160,72.81500,47.92160,26.69350,0.32450,0.45190,5.48490,66.54640,16.50940,16.44250,8.80670,12.81230,75.47940,6.1471,3.2174
2010-12-31,0.98750,0.24930,0.33400,98.52800,43.05330,43.05330,68.54950,43.05330,24.80980,0.27850,0.31560,5.66640,64.41530,13.09720,12.98780,6.98220,9.33730,63.74870,6.164,3.2543
2009-12-31,1.91640,0.23880,0.32110,98.34010,3.78410,3.78410,64.29480,3.78410,-3.38940,0.30560,0.26830,5.57240,65.50090,-1.80620,-1.82810,-1.01110,-1.37490,46.90030,12.5714,1.7708
