,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.85330,0.14700,0.17230,84.36640,57.55170,57.55170,75.17400,57.10970,44.82380,0.44910,22.46030,6.90920,52.82840,32.11150,32.11150,20.16970,27.39220,16.47780,3.521,2.8544
2021-12-31,1.75080,0.21030,0.26620,76.25400,45.34650,45.34650,65.14930,43.54890,33.48800,0.17330,21.00000,3.32590,109.74340,9.86540,9.86540,5.81910,7.79120,14.42850,1.3673,1.3728
2020-12-31,1.06670,0.29920,0.51170,56.07090,20.19100,20.19100,47.06690,16.50750,13.71080,0.32400,42.93330,6.63350,55.02390,9.07040,9.07040,4.44300,6.35670,5.55390,-1.5167,-1.0727
2019-12-31,1.73230,0.34500,0.56710,68.44140,46.27300,46.27300,66.11810,43.56240,32.96230,0.46040,46.79870,6.09770,59.85890,31.65250,31.65250,15.17640,20.73370,5.40680,0.9882,-0.4069
2018-12-31,1.89560,0.36990,0.58720,65.69820,35.27190,35.27190,54.56260,31.90540,25.45730,0.52110,67.76590,4.63930,78.67550,26.67630,26.67630,13.26660,16.80750,4.94020,0.5395,1.4509
2017-12-31,1.21410,0.32550,0.60300,66.04730,-8.57380,-8.57380,23.93870,-12.94820,5.69050,0.37320,74.81900,6.47020,56.41280,3.97770,3.97770,2.12370,2.68300,5.47950,1.0592,0.3758
2016-12-31,2.77680,0.37190,0.59220,52.57990,-48.88430,-48.88430,2.61890,-57.07470,-36.09350,0.22560,41.19230,5.73980,63.59060,-16.24530,-16.24530,-8.14290,-10.20310,5.52010,-0.942,0.6386
2015-12-31,0.61470,0.49840,1.00350,57.19010,-6.55150,-6.55150,39.62360,-13.79900,-8.39190,0.25840,34.07790,10.89630,33.49780,-5.66850,-5.66850,-2.16810,-2.84350,4.85460,-1.1488,0.0083
2014-12-31,0.82850,0.44980,0.81760,75.84550,4.88660,4.88660,34.22440,1.49110,4.80750,0.39960,37.42190,9.09180,40.14630,4.87550,4.87550,1.92120,2.68230,5.18790,0.5352,-0.8507
2013-12-31,0.92890,0.34220,0.52030,77.07800,31.58620,31.58620,69.07990,27.80420,16.02110,0.35060,22.91510,7.84930,46.50100,12.69040,12.69040,5.61670,8.34740,5.29450,0.8803,0.6154
2012-12-31,0.60860,0.32190,0.51000,75.92010,25.41920,25.41920,63.33140,19.74520,10.93610,0.26090,20.46530,6.98620,52.24620,6.18030,6.18030,2.85360,4.19060,5.07430,0.3548,-0.2862
2011-12-31,1.00720,0.31100,0.45140,77.08200,31.31560,31.31560,66.78190,24.00200,12.49230,0.22620,10.55390,8.46400,43.12400,5.81570,5.81570,2.82600,4.00710,5.04460,0.0381,0.3399
2010-12-31,0.66820,0.34240,0.52060,79.70380,30.86990,30.86990,69.15770,22.99820,11.97840,0.21550,5.90480,9.13450,39.95820,5.52070,5.52070,2.58140,3.63050,4.50130,-0.3141,-0.5045
2009-12-31,0.91180,0.30750,0.44410,80.42470,31.60610,31.60610,60.14700,25.00210,16.61020,0.24250,6.24590,10.00420,36.48470,8.18440,8.18440,4.02730,5.66730,4.37150,1.4665,0.1983
