,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-10-31,1.97660,0.62380,2.56100,32.78810,17.35930,19.37920,22.98340,17.35930,13.56300,0.58400,4.15990,5.90620,61.79950,35.18380,46.41930,7.91960,13.23780,67.82760,-9.2639,-10.1012
2021-10-31,2.15120,0.64080,2.62620,33.86340,17.26790,19.52340,24.18000,17.26790,13.54490,0.52340,4.29380,7.37050,49.52170,32.35870,43.01270,7.09160,11.62270,59.83800,0.9696,1.8961
2020-10-31,2.23930,0.71660,3.55360,33.37930,10.92570,14.43440,20.39390,10.92570,7.74060,0.47330,4.73630,6.55480,55.68460,21.26850,32.25160,3.66620,6.02700,41.26810,12.993,14.3877
2019-10-31,2.03810,0.72590,3.97070,31.75400,10.41320,14.14740,19.29030,10.41320,8.28620,0.53770,4.48400,5.80480,62.87880,28.52760,45.74440,4.46100,7.82070,36.45970,5.0757,4.9293
2018-10-31,1.91540,0.70690,3.74250,31.55150,10.89730,14.12010,19.27830,10.89730,6.33870,0.53290,4.15860,5.52470,66.06700,20.99900,35.77250,3.38190,6.15400,35.45560,-1.2257,-2.049
2017-10-31,2.12020,0.73030,4.18860,33.19660,10.60600,13.62900,19.39940,10.60600,7.26010,0.45200,5.08850,5.76230,63.34290,22.58250,25.98330,3.28180,6.09000,29.70570,-5.1143,-4.43
2016-10-31,2.13230,0.78400,5.45290,31.70660,8.34710,11.21340,17.06760,8.34710,5.71950,0.46000,5.44710,6.58480,55.43090,23.29730,27.11640,2.62700,5.03240,20.74800,0.7199,1.5946
2015-10-31,2.06460,0.77910,5.45300,30.21050,9.63210,11.98810,16.77770,9.63210,6.72150,0.49810,5.27720,7.08190,51.54020,28.72170,32.52180,3.34940,6.34480,21.33840,1.5559,2.4956
2014-10-31,2.16860,0.72900,4.07680,31.30600,13.30140,15.14240,18.76480,13.30140,8.76620,0.58800,5.88540,7.50130,48.65840,34.89380,38.55100,5.15730,9.45790,26.23850,1.2695,1.9571
2013-10-31,2.05210,0.67760,3.35770,32.08880,14.50810,16.46950,19.48650,14.50810,9.35910,0.63500,5.20140,7.19450,50.73350,34.45370,37.85230,5.94340,11.10870,27.46820,5.4532,6.178
2012-10-31,2.23760,0.76590,4.72460,30.83570,13.09400,15.25900,18.03630,13.09400,8.47610,0.64260,4.83710,6.39980,57.03280,44.76250,52.63370,5.45910,10.47790,17.69450,-2.599,-3.0099
2011-10-31,2.06850,0.71340,3.90170,31.52860,13.19110,15.56330,18.42120,13.19110,8.74630,0.66410,5.01520,6.85040,53.28170,41.20090,49.36620,5.82440,11.81000,16.78260,0.1825,-0.3748
2010-10-31,2.21040,0.72730,3.86280,33.09340,11.63330,14.75350,18.37600,11.63330,7.16910,0.60100,5.68030,5.87200,62.15970,29.73480,36.12900,4.33200,8.10760,14.93060,0.6481,1.3337
2009-10-31,2.31410,0.78290,5.09050,29.66890,5.79430,10.30440,15.33420,5.79430,3.77940,0.56190,6.78060,6.56640,55.58600,18.09940,23.91510,2.12220,3.92940,11.39490,4.6767,3.6649
