,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,1.00090,0.31420,0.48920,34.23640,7.89750,7.89750,14.13890,6.38890,3.80190,0.40620,31.22910,6.53830,55.82530,3.59330,57.81940,1.74480,2.46430,55.51880,0.2403,-0.5079
2021-09-30,1.08300,0.34290,0.58490,33.05790,4.45730,4.45730,12.03830,3.79870,2.95920,0.33110,33.90760,5.04360,72.36870,2.72660,-116.59770,1.24550,1.79160,52.22400,-1.1675,-0.9003
2020-09-30,1.32380,0.37480,0.66420,32.89290,-2.96840,-2.96840,12.78060,-2.66560,-4.38000,0.32440,27.71950,5.14540,70.93690,-2.76670,28.39870,-1.21160,-1.72970,49.55810,0.6206,1.3227
2019-09-30,0.89740,0.28880,0.50040,39.57360,15.29590,15.29590,21.28230,20.00230,15.88060,0.35880,25.50700,4.49630,81.17810,11.60630,-113.28620,5.61750,8.25420,52.71700,-5.8939,-5.8578
2018-09-30,0.94200,0.24440,0.39510,44.93720,24.90830,24.90830,29.97440,24.78210,21.19660,0.60280,23.51010,6.36750,57.32260,24.73120,88.57700,13.25180,18.68810,35.22130,1.6638,0.9969
2017-09-30,0.81090,0.29820,0.56200,45.03510,24.98320,24.98320,30.02880,25.00680,16.28670,0.57560,22.07280,6.38680,57.14940,20.81150,142.27560,9.77770,14.60630,30.00270,-0.1927,0.4235
2016-09-30,1.00740,0.25830,0.42620,46.08680,25.52850,25.52850,30.07080,26.72560,16.88060,0.60450,21.57770,6.13700,59.47520,20.68760,77.92100,10.63750,15.34340,29.57690,1.3528,0.9363
2015-09-30,1.02600,0.20790,0.35630,45.93730,25.10440,25.10440,29.59120,26.43290,15.97640,0.59500,18.05470,6.54260,55.78830,18.19340,64.81660,10.03830,14.41040,30.40940,1.1018,0.4885
2014-09-30,1.14120,0.20770,0.30710,45.87510,23.35440,23.35440,28.04170,25.08760,15.36680,0.58010,16.78530,6.24050,58.48910,16.61340,62.22500,9.51260,13.16250,28.34000,0.3465,0.0064
2013-09-30,1.20550,0.20970,0.29670,44.41950,20.50580,20.50580,25.37240,21.35830,13.62310,0.55440,16.83520,6.46490,56.45870,13.78190,49.31630,8.16830,10.89190,26.75000,0.8318,1.371
2012-09-30,1.06990,0.20320,0.34110,44.49120,20.72710,20.72710,25.42690,21.90270,13.43960,0.56450,15.26870,6.46450,56.46200,14.71230,52.16770,8.24190,11.72350,23.31000,0.718,0.5009
2011-09-30,1.13810,0.21680,0.35430,19.02770,18.89320,18.89320,23.39520,19.66840,11.75510,0.56700,20.75990,6.61490,55.17890,13.32730,51.61480,7.29020,10.43770,21.91830,0.2869,-0.4942
2010-09-30,1.11140,0.20480,0.31720,17.67070,16.96140,16.96140,21.46180,17.41060,10.41170,0.55000,21.73160,6.58070,55.46490,10.96280,42.44660,6.23210,8.71810,20.74020,0.54,0.3917
2009-09-30,1.33080,0.24500,0.35850,15.75980,14.39870,14.39870,18.91060,15.65190,9.14820,0.57270,23.95910,7.44730,49.01130,10.18770,31.39630,5.71800,7.69180,19.48250,2.8368,1.9019
