,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.68010,0.54810,1.45650,57.49480,20.61620,20.61620,31.71690,18.15040,13.59180,0.44360,5.97200,61.11840,17.62260,-16.19370,6.06340,7.96280,32.43510,-4.6591,-5.9691
2021-12-31,0.48920,0.55380,1.47030,59.76970,23.11180,23.11180,33.05510,19.27740,15.11400,0.44600,6.76730,53.93570,20.78470,-16.09750,6.77930,9.27360,29.49390,3.0942,2.7701
2020-12-31,0.99810,0.50520,1.36390,57.90670,16.39250,16.39250,26.06660,16.60090,12.60090,0.42940,6.54540,55.76480,16.39100,-22.12600,5.47450,8.11090,26.35710,5.1331,4.9777
2019-12-31,0.88990,0.56300,1.28960,56.61710,-9.56210,-9.56210,0.05420,-11.79720,-10.95050,0.44350,6.59200,55.37020,-14.41530,13.38450,-4.78060,-6.29910,21.64110,-2.965,-3.6349
2018-12-31,1.09130,0.45460,0.83520,57.78550,13.12970,13.12970,22.38800,10.85550,9.10000,0.47700,7.27370,50.18070,10.04530,-14.62180,4.43160,5.47850,26.16670,-1.1789,-2.0593
2017-12-31,0.59660,0.34930,0.83490,63.99080,24.73680,24.73680,33.38890,22.20570,17.46770,0.46480,7.55890,48.28740,18.46250,-26.14780,8.26720,12.01290,26.96920,-0.08,-0.3724
2016-12-31,0.53420,0.43400,0.98200,64.59670,26.23610,26.23610,34.78010,23.15500,15.54260,0.47190,7.25800,50.28920,18.19350,-18.53200,7.42950,10.29720,22.69640,0.4345,0.2111
2015-12-31,0.93010,0.32630,0.50530,66.68420,26.05120,26.05120,33.55980,23.90000,16.10980,0.59170,7.61460,47.93400,18.49900,-38.03360,9.65900,12.46270,19.80120,1.372,0.8623
2014-12-31,0.71740,0.33890,0.68290,65.33000,26.19440,26.19440,34.57560,23.56760,15.07960,0.52270,7.22540,50.51630,16.73680,-26.31390,8.02400,11.06410,18.71520,0.3897,0.3635
2013-12-31,0.97870,0.32860,0.61600,65.82750,26.52890,26.52890,34.78880,23.02180,15.26980,0.50750,7.43910,49.06490,14.58780,-30.41500,7.52220,9.79490,19.20430,0.5484,0.4137
2012-12-31,0.83330,0.42490,0.88340,63.36230,23.15490,23.15490,31.03720,20.80560,13.12590,0.45860,6.53940,55.81530,14.05170,-17.49710,6.09060,8.08140,16.27240,0.7474,0.815
2011-12-31,1.25210,0.35940,0.58840,62.81960,24.75170,24.75170,33.46190,21.43990,12.30190,0.53800,6.65680,54.83100,13.86680,-26.98610,6.78660,8.88360,14.39880,0.5166,0.6993
2010-12-31,1.35560,0.36430,0.58510,59.13420,23.12450,23.12450,32.14840,20.17750,14.34260,0.54090,7.08110,51.54560,14.24140,-27.16010,7.07780,9.05370,14.00330,-0.4839,-0.7201
2009-12-31,0.84680,0.38030,0.72700,58.11190,22.24940,22.24940,31.50350,19.28900,13.63050,0.48330,6.63320,55.02650,13.89470,-20.20350,6.32020,8.61120,12.79720,3.2713,2.7185
