,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.90010,0.13280,0.20490,100.00000,38.77520,38.77520,52.55620,38.52230,30.18830,0.62130,8.95230,40.77170,31.31280,31.31280,18.75470,27.15410,42.16300,3.8447,2.1183
2021-12-31,2.12370,0.18610,0.23030,100.00000,32.73250,32.73250,52.31730,31.82600,25.01880,0.48760,7.98370,45.71800,21.02800,21.02800,12.19790,17.11430,37.89740,6.4037,5.8597
2020-12-31,1.69420,0.19870,0.28650,100.00000,-4.93110,-4.93110,25.88830,-6.69870,-5.48400,0.30810,7.14050,51.11720,-2.98000,-2.98000,-1.68970,-2.38780,34.78930,-5.4005,-0.241
2019-12-31,1.17530,0.16130,0.23920,100.00000,21.28310,21.28310,42.85960,20.39700,15.73650,0.46820,8.07120,45.22230,12.63820,12.63820,7.36710,10.60010,37.18890,0.6659,-0.0696
2018-12-31,1.35650,0.21070,0.31420,100.00000,25.87120,25.87120,45.75730,24.54940,19.79140,0.50910,7.37280,49.50630,17.65650,17.65650,10.07540,13.93570,33.38520,6.0134,2.6714
2017-12-31,1.20310,0.27030,0.39220,100.00000,8.26530,8.26530,38.68370,5.89900,23.04160,0.37570,6.55130,55.71400,15.86030,15.86030,8.65680,11.57380,28.14860,3.1076,-0.9825
2016-12-31,1.66980,0.33300,0.49970,100.00000,-16.01540,-16.01540,30.43060,-20.35790,-14.33460,0.26110,6.22700,58.61580,-7.84380,-7.84380,-3.74310,-5.23190,24.24410,-2.3252,3.8634
2015-12-31,1.42490,0.33940,0.51420,100.00000,-76.34750,-76.34750,-38.50940,-79.03640,-51.66490,0.32470,9.01610,40.48330,-34.95710,-34.95710,-16.77580,-23.09380,23.53880,-9.1794,-4.0166
2014-12-31,1.60030,0.25000,0.33370,100.00000,29.06420,29.06420,51.22640,27.69740,16.16540,0.51880,9.74390,37.45920,16.46000,16.46000,8.38680,12.34540,32.30480,2.3493,-0.1131
2013-12-31,1.42290,0.27700,0.38350,100.00000,25.36880,25.36880,50.22520,23.72370,15.16600,0.47380,8.70800,41.91530,14.24990,14.24990,7.18610,10.30290,28.23000,3.7479,3.3776
2012-12-31,1.22770,0.30770,0.47510,100.00000,12.66660,12.66660,39.79840,10.96280,4.88140,0.42740,6.93010,52.66880,4.29270,4.29270,2.08610,2.97170,24.45360,1.073,0.2707
2011-12-31,1.29010,0.28380,0.39630,100.00000,20.86990,20.86990,45.72030,18.86010,10.77530,0.40770,6.85200,53.26920,8.63170,8.63170,4.39280,6.18200,23.49440,3.276,2.5588
2010-12-31,1.13840,0.32840,0.51050,100.00000,8.57910,8.57910,40.41450,6.68820,2.63370,0.28210,5.22160,69.90140,1.57020,1.57020,0.74290,1.05450,20.13480,-0.4798,-3.591
2009-12-31,1.36710,0.21630,0.27980,100.00000,20.28100,20.28100,52.64360,18.21640,11.41910,0.26420,5.92130,61.64150,5.46730,5.46730,3.01690,4.28460,19.79750,5.8012,-0.7316
