,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.25300,0.46620,1.13000,32.82300,18.12160,18.12160,21.51640,17.98620,14.00210,0.56950,4.30210,4.76690,76.56910,28.67950,-146.08820,7.97590,15.31040,25.94220,-0.9001,-0.7397
2021-12-31,1.30060,0.42550,1.01860,31.97840,18.02750,18.02750,21.58350,21.03690,16.11420,0.53350,4.55310,5.03540,72.48630,29.15500,-263.75180,8.70170,16.74830,28.09870,-0.1081,-0.1537
2020-12-31,1.46770,0.47880,1.25820,32.07400,17.45260,17.45260,20.52270,18.42080,14.64290,0.50530,4.93850,4.78060,76.35060,27.34680,-266.13780,7.53260,14.25350,25.53100,-0.7152,-0.8189
2019-12-31,1.34290,0.37260,0.85540,33.69750,18.66300,18.66300,21.62690,20.59170,16.73430,0.62560,5.50530,4.89910,74.50340,33.30480,-1054.14600,10.61710,20.89480,26.30570,0.8996,0.8893
2018-12-31,1.28740,0.34700,0.88320,30.51530,16.03990,16.03990,18.70960,17.91060,16.18340,0.72360,6.71430,5.56770,65.55720,37.19360,-514.54410,11.81870,24.28680,25.16170,0.8175,0.9618
2017-12-31,1.37860,0.43000,1.07300,30.56690,15.54990,15.54990,18.30070,17.14610,3.81160,0.68160,6.10100,4.57180,79.83640,9.52900,-25.99870,2.67030,5.43130,22.19340,0.6356,0.7968
2016-12-31,1.41190,0.38390,0.80700,29.57870,15.39620,15.39620,18.01690,16.41650,12.24370,0.72590,6.33920,4.80640,75.94030,24.80690,-173.55050,8.95540,15.28260,25.69270,0.0991,0.0544
2015-12-31,1.09160,0.23170,0.65520,30.67310,17.69780,17.69780,19.98650,17.07060,12.35840,0.78230,6.05140,4.77780,76.39450,26.31670,-235.97860,9.82850,20.21940,23.90710,0.604,0.6166
2014-12-31,1.50210,0.25370,0.48820,28.15710,14.46680,14.46680,16.75930,14.43460,10.51700,0.88680,6.57370,5.06360,72.08360,24.34210,155.27260,9.52450,18.16620,22.73590,0.9512,0.767
2013-12-31,1.49240,0.27900,0.50220,27.37420,14.08530,14.08530,16.61760,13.85740,10.04740,0.85960,6.60700,4.92560,74.10280,22.53830,196.23580,8.72020,16.25100,22.42790,0.9959,0.937
2012-12-31,1.34900,0.32860,0.57370,24.88780,11.03410,11.03410,13.49260,10.28810,7.76850,0.89990,6.68030,5.07000,71.99220,22.43400,-162.02320,7.00310,15.06170,16.69010,0.8624,0.7529
2011-12-31,1.31440,0.38690,0.69300,21.82650,7.04650,7.04650,9.66630,6.24710,5.65850,0.91760,6.69700,5.05380,72.22260,17.10700,-54.32570,4.68500,10.48760,14.07250,-1.8035,-1.9882
2010-12-31,1.32090,0.34790,0.61590,23.58270,9.30760,9.30760,12.35860,8.41420,6.25040,0.85510,6.46810,4.72880,77.18590,18.14220,-64.69420,5.17260,11.83050,13.77650,0.1607,0.1097
2009-12-31,1.25020,0.41050,0.84800,22.33980,7.90620,7.90620,11.10150,6.55740,5.16840,0.83210,6.74990,4.77380,76.45860,17.03270,-41.33080,4.24530,10.04140,11.73910,5.2216,4.4568
