,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.79320,0.20250,0.28060,30.29180,5.90650,5.90650,7.58280,5.70100,4.25400,1.46940,4.49110,8.77050,41.61700,13.82170,92.03250,6.57600,11.02240,31.07150,-0.638,-0.7776
2021-12-31,1.66620,0.16640,0.21490,29.62660,6.87040,6.87040,8.56380,6.70110,5.08830,1.46220,4.68940,8.54060,42.73690,16.24420,121.99630,7.78210,13.54120,29.62540,0.8659,0.6503
2020-12-31,1.66060,0.11460,0.17540,27.82880,5.28710,5.28710,7.12520,4.94120,3.99250,1.30190,4.82840,7.10210,51.39320,10.51610,41.87640,5.39080,9.31080,27.96790,-0.2402,-0.0711
2019-12-31,1.58290,0.14650,0.20850,30.95280,7.19280,7.19280,9.04490,6.81270,6.95720,1.39640,4.82570,8.01270,45.55270,19.98440,121.97460,10.14480,17.05750,25.32310,-0.0723,-0.1193
2018-12-31,1.29710,0.21680,0.54780,30.90750,6.37760,6.37760,7.90270,5.70030,5.69020,1.10790,4.59680,8.05770,45.29850,12.71790,41.52570,5.29900,9.96080,23.39330,1.0065,0.9373
2017-12-31,1.44430,0.24320,0.58990,30.91890,7.53940,7.53940,9.04620,7.08950,4.57370,1.12960,3.17340,5.83360,62.56860,11.27580,-217.29780,4.04980,8.53330,18.37730,-0.4767,-0.4425
2016-12-31,1.44050,0.20350,0.43520,27.88250,6.66780,6.66780,8.13500,6.53180,4.37950,1.71170,5.00990,9.22680,39.55880,19.86560,347.99910,8.23020,15.82350,17.63680,0.2666,0.2639
2015-12-31,1.50490,0.13840,0.28050,28.28820,6.90490,6.90490,8.40190,6.78060,4.50680,1.63420,5.04830,8.64330,42.22910,18.13170,135.51500,8.04690,15.62210,17.51390,0.203,0.2558
2014-12-31,1.63650,0.16160,0.25970,28.07060,6.89530,6.89530,8.36320,6.83910,4.49390,1.68950,5.61840,9.19840,39.68070,17.94590,175.14230,8.23350,15.04620,16.76280,-0.3348,-0.47
2013-12-31,1.82800,0.13900,0.17400,27.78070,7.08170,7.08170,8.48580,6.95240,4.51390,1.69980,5.52190,9.06040,40.28530,16.91040,64.06920,8.38210,14.55920,16.28090,1.5183,1.4599
2012-12-31,1.83630,0.15730,0.20390,28.04840,6.92350,6.92350,8.32530,6.75830,4.34090,1.67600,5.34480,8.80620,41.44820,16.18540,76.61250,7.93750,13.64010,14.88810,-0.7224,-0.7637
2011-12-31,1.78710,0.13000,0.18140,28.34690,6.82450,6.82450,8.18320,6.67400,4.31010,1.79960,6.44850,9.60340,38.00720,16.62770,76.79890,8.53680,14.46670,13.53100,0.874,0.8391
2010-12-31,1.85710,0.14080,0.18290,28.84200,6.92370,6.92370,8.32160,6.67000,4.32840,1.65520,6.15480,8.49730,42.95470,14.59330,60.43140,7.74340,12.53910,13.12260,-0.0776,-0.0015
2009-12-31,2.04740,0.10120,0.12390,29.31660,7.09790,7.09790,8.43590,6.92410,4.75890,1.70450,5.96170,9.01350,40.49500,15.28760,34.04270,8.61430,13.74050,11.92480,2.1977,1.9126
