,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,4.44270,0.33770,0.50990,68.81750,21.78410,21.78410,25.01280,20.62690,11.30620,0.20330,6.01580,60.67340,7.82130,640.03890,3.11020,3.86890,34.83620,-0.7861,-0.9721
2021-12-31,3.72650,0.36820,0.58270,68.82590,25.93660,25.93660,28.91440,36.26800,20.20450,0.21090,5.23260,69.75470,16.19910,3425.04300,6.02530,7.69620,35.05640,-0.3436,-0.3288
2020-12-31,1.81610,0.37270,0.59400,68.30900,14.97660,14.97660,18.28790,17.39620,8.53940,0.16840,5.98990,60.93630,7.47800,-57.14800,2.21210,3.42080,32.25640,0.1253,0.1588
2019-12-31,1.61650,0.36740,0.58070,69.05550,13.21150,13.21150,16.11470,15.90380,9.23100,0.15520,5.13550,71.07400,7.15770,-47.61850,1.87160,3.25980,31.58680,0.5256,0.492
2018-12-31,1.58310,0.46070,0.85440,69.73710,22.67360,22.67360,25.34770,21.41660,16.61240,0.17150,5.86480,62.23570,9.88230,-222.44390,2.85070,5.32920,22.50370,-0.8154,-0.7914
2017-12-31,1.50420,0.43430,0.76770,71.19350,24.78730,24.78730,27.05080,27.69610,21.84560,0.16290,3.33400,109.47950,12.96400,144.00870,3.66610,7.33360,21.99850,1.2014,1.2955
2016-12-31,1.70490,0.46080,0.85470,70.27710,24.34100,24.34100,26.47850,25.48580,17.51860,0.18400,3.57770,102.02020,11.40730,1043.62100,3.37410,6.15060,18.85040,-1.0737,-1.1428
2015-12-31,2.09020,0.46340,0.86360,69.16010,26.51620,26.51620,28.34330,26.58850,18.41730,0.20430,4.04050,90.33620,11.08710,82.68450,3.84510,5.94920,20.82800,-0.1396,-0.1223
2014-12-31,3.15160,0.42450,0.73760,68.31810,24.80820,24.80820,26.54510,27.10460,18.64930,0.25170,3.57540,102.08740,11.01450,77.64550,4.91200,6.33910,21.21380,1.0355,0.9243
2013-12-31,2.83790,0.39130,0.64280,67.93700,24.11830,24.11830,26.02160,27.02490,19.55390,0.24100,3.11400,117.21080,10.22910,108.50760,4.76530,6.22680,20.72800,-0.0044,0.0095
2012-12-31,2.84250,0.35980,0.56200,67.70200,20.80290,20.80290,23.14830,20.50660,16.71690,0.23160,3.73790,97.64810,6.29020,79.82060,3.25400,4.02710,20.50070,-0.2708,-0.2851
2011-12-31,1.28900,0.41870,0.74390,67.87280,22.15050,22.15050,25.09860,22.40160,18.32360,0.20580,4.11690,88.65840,6.69870,67.49370,3.16380,3.89370,20.48790,1.2575,1.2478
2010-12-31,1.30940,0.43410,0.76710,69.78520,16.91370,16.91370,19.68630,23.90690,13.35260,0.17060,3.17960,114.79440,6.80280,61.02550,3.11480,3.84960,20.34540,-0.0375,-0.1538
2009-12-31,1.35790,0.08910,0.09790,71.94840,18.43340,18.43340,21.38700,13.60710,12.27500,0.24080,3.90730,93.41380,2.74640,20.63900,1.91850,2.50160,17.66530,0.8562,0.779
