,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,1.35210,0.03680,0.05600,13.56360,0.43530,0.43530,1.09020,-0.27120,-0.37430,1.91660,10.88020,79.98180,4.56350,-1.81910,-2.09750,-0.89970,-1.75210,24.71120,0.0779,-1.5034
2020-12-31,1.34930,0.05770,0.07720,14.62970,1.65500,1.65500,2.46850,6.81400,6.62440,1.76610,10.80380,104.86600,3.48060,24.12750,28.03350,11.68330,22.73430,20.19580,1.7502,1.8911
2019-12-31,0.99340,0.10610,0.11870,14.63390,1.55920,1.55920,2.56950,2.37350,2.11200,2.22120,8.50080,93.18800,3.91680,14.04450,18.86880,4.57800,12.55400,8.31690,0.3336,2.0609
2018-12-31,0.86760,0.13960,0.23690,14.27510,-0.56690,-0.56690,0.63650,-0.51380,-0.53930,2.20890,8.99540,41.58600,8.77700,-4.60110,-7.22990,-1.33890,-3.95880,6.11740,-0.5714,-1.9441
2017-12-31,0.97280,0.17250,0.45440,14.02440,-0.23060,-0.23060,0.92660,0.03340,-0.04200,1.96860,7.47040,22.14860,16.47960,-0.03550,-0.05820,-0.01010,-0.02940,5.64520,1.7816,1.6693
2016-12-31,1.02090,0.24200,0.83810,15.15560,-0.82460,-0.82460,0.57220,-1.24340,-1.46350,1.62200,7.63410,14.89440,24.50590,-9.99250,-20.41770,-2.12860,-7.57400,3.46950,1.111,1.3751
2015-12-31,1.19250,0.08240,0.20780,13.39240,-2.04610,-2.04610,-0.60140,-5.18620,-5.17300,2.12860,7.64420,14.21230,25.68200,-30.59990,-40.02000,-11.02270,-28.07950,22.37680,-0.3465,-0.5246
2014-12-31,1.72240,,0.05040,11.62660,-5.04550,-5.04550,-3.61030,-4.32780,-11.26410,1.72950,8.33670,38.69640,9.43240,-13.32430,-18.55290,-7.51410,-13.32430,27.45380,-0.5497,-0.6532
2013-12-31,,,,9.87060,-0.83480,-0.83480,-0.41200,-0.07200,-3.58420,,,,,,,,,,0.3845,0.2865
2012-12-31,1.36540,,0.13550,8.41490,-4.71500,-4.71500,-4.26620,-4.16470,-8.01570,2.31360,7.97220,86.36400,4.22630,-134.86310,-30.71840,-9.66940,-27.01230,1.58460,0.3011,0.173
