,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.65930,0.54860,1.50030,30.13390,10.67580,10.67580,13.79690,7.81590,6.26840,0.82800,6.05200,8.82200,41.37380,21.98860,-26.67040,5.20110,9.92570,12.79990,-0.1454,0.0436
2021-12-31,0.63860,0.59770,1.68710,32.15570,12.35460,12.35460,15.64770,13.86360,10.49290,0.78010,6.88200,9.52380,38.32490,35.46860,-37.70490,8.22420,14.26940,12.34710,-0.8117,-0.9556
2020-12-31,0.66480,0.64980,2.05580,34.32830,12.78870,12.78870,16.26730,11.62670,9.08500,0.76520,7.04280,8.95900,40.74110,34.76350,-27.15940,7.02380,12.17490,10.57310,2.3279,2.5727
2019-12-31,0.71810,0.68470,2.39050,32.26540,10.31820,10.31820,13.88280,9.61110,7.07030,0.77310,7.50160,8.61550,42.36560,29.48100,-19.07090,5.56250,9.29680,9.70300,-0.9852,-1.0328
2018-12-31,0.69710,0.72210,2.81510,34.88600,12.59320,12.59320,16.40220,9.81030,9.86200,0.76190,6.63230,9.85240,37.04700,42.54510,-21.49710,7.55910,11.82470,9.18670,3.2624,3.0329
2017-12-31,0.67140,0.78130,3.92660,36.55670,10.79040,10.79040,14.53240,12.89090,9.75570,0.78610,6.70090,9.25410,39.44180,57.15590,-21.07920,7.66930,12.50250,6.34830,-2.439,-2.4382
2016-12-31,0.65710,0.77670,4.03270,37.28500,11.43850,11.43850,15.42620,7.20400,5.39140,0.85800,6.56790,10.53210,34.65600,36.34480,-12.47990,4.63240,8.11690,5.48610,-1.1596,-1.0384
2015-12-31,0.56390,0.71160,3.62250,34.61000,8.06650,8.06650,12.01480,5.71530,4.53970,0.88680,7.07520,10.06320,36.27060,28.71840,-12.04390,4.02600,8.28270,6.10820,-0.2306,-0.1673
2014-12-31,0.76540,0.67550,2.58510,34.72570,7.02330,7.02330,10.47330,5.65840,4.33470,0.96220,7.44100,11.42630,31.94380,22.20270,-14.33750,4.17740,7.20460,8.00840,0.0299,0.1584
2013-12-31,0.85190,0.63700,2.03990,41.25880,19.17930,19.17930,22.77580,17.61760,12.21610,0.95590,6.96230,10.38760,35.13790,50.12480,-47.44160,11.68410,18.19460,9.94210,0.0674,-0.1973
2012-12-31,0.74730,0.71160,3.20570,38.27570,11.00230,11.00230,14.15790,9.33300,6.76900,0.93590,6.41980,9.76410,37.38180,38.98580,-19.48500,6.33530,11.24370,6.82320,0.5014,0.6528
2011-12-31,0.92640,0.73690,3.35480,39.03620,10.81220,10.81220,13.60810,8.97110,6.56160,1.10510,6.85350,11.10940,32.85500,48.05340,-26.34950,7.23440,12.64080,5.03220,1.7152,1.3373
2010-12-31,0.91550,0.69500,2.74090,43.09110,16.43140,16.43140,19.59350,14.43900,10.38150,1.04640,6.68090,10.41770,35.03670,59.42430,-43.68600,10.80440,18.12520,5.89160,-1.6119,-1.8842
2009-12-31,1.11800,0.68000,2.14510,42.87080,15.91250,15.91250,18.96620,13.39170,9.63820,1.12280,7.89450,11.50500,31.72530,53.09890,-42.74590,10.78570,16.99020,5.96520,4.2786,3.2969
