,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.47100,0.30590,0.47630,52.09500,18.53170,18.53170,23.57540,12.22880,10.21560,0.27120,5.12480,9.47240,38.53310,5.71140,-7.91510,2.76830,3.96440,17.83950,-0.0267,0.0546
2021-12-31,0.47140,0.31680,0.47580,55.01070,22.81800,22.81800,28.40020,22.06100,16.92030,0.25070,6.38260,11.04790,33.03790,8.58960,-11.25040,4.23930,5.86870,17.60920,0.2857,0.2563
2020-12-31,0.31040,0.31860,0.56600,55.82720,21.34620,21.34620,26.96680,15.08870,11.40470,0.23340,6.73490,11.08590,32.92480,5.56020,-6.52000,2.66180,3.78860,16.93360,-0.0164,-0.1393
2019-12-31,0.35110,0.35550,0.62000,57.03240,21.38490,21.38490,27.30220,15.23380,11.27700,0.22460,7.30580,9.97310,36.59850,5.39190,-5.96230,2.53240,3.47520,16.53120,0.2738,0.3766
2018-12-31,0.37860,0.38660,0.69490,52.16340,16.62190,16.62190,22.45360,10.62890,7.87420,0.15210,5.68690,6.47130,56.40290,2.61390,-2.74660,1.20410,1.60340,16.02700,-4.2087,-3.2814
2017-12-31,0.52330,0.40210,0.70300,59.71600,20.74740,20.74740,23.21380,17.53360,16.08370,0.42490,7.01820,13.85090,26.35200,14.54450,-17.20220,6.83440,8.69570,9.35890,3.4658,2.4607
2017-09-30,,,,47.88010,21.01200,21.01200,27.00870,13.28180,8.85450,,,,,,,,,,-2.9376,-2.0886
2016-12-31,2.60320,0.67680,2.09840,59.90680,22.25160,22.25160,24.73600,19.92240,13.15220,0.65770,12.78220,9.96900,36.61340,39.69070,-24.09670,8.65080,12.82940,11.65360,-0.1202,-0.2263
2015-12-31,1.14780,0.56840,1.54920,59.26460,20.66220,20.66220,23.25690,18.84750,12.16170,0.70830,12.24400,10.00320,36.48840,34.99770,-22.03000,8.61430,15.10480,11.62150,0.093,0.0873
2014-12-31,1.16670,0.52930,1.12600,59.30400,19.27790,19.27790,22.05520,17.52980,11.48510,0.74060,12.21080,9.92060,36.79220,30.64520,-20.79880,8.50570,14.42350,11.88860,0.9426,0.9923
2013-12-31,1.08640,0.52410,1.13040,58.32920,17.44210,17.44210,20.26010,9.03790,10.40520,0.73130,12.49500,9.64150,37.85730,27.40450,-18.32600,7.60880,13.04080,11.50120,1.9643,2.0831
2012-12-31,1.08360,0.52830,1.22980,58.29860,18.21520,18.21520,21.13430,16.31360,10.49210,0.67150,12.69040,9.95850,36.65220,27.58770,-18.57100,7.04530,13.01200,11.10610,-1.2694,-1.1962
2011-12-31,0.91750,0.49920,1.19660,57.90280,17.34710,17.34710,20.17620,15.67000,10.26600,0.63590,11.72170,9.29610,39.26390,26.77860,-17.85500,6.52810,13.41010,10.66800,-6.9095,-7.0321
2010-12-31,0.97830,0.40690,0.85030,60.20230,18.18670,18.18670,21.57560,14.56710,9.36830,0.63620,9.19260,9.87040,36.97920,21.47210,-16.41790,5.96000,12.73520,10.98080,7.0598,7.3426
2009-12-31,1.49770,0.48150,0.92880,59.60950,19.61670,19.61670,23.66660,15.69340,10.03440,0.63020,8.52670,9.66960,37.74720,17.41450,-22.21780,6.32410,9.02880,12.54190,3.3895,2.1669
