,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.34530,0.58270,12.52490,12.52490,15.23070,9.83340,7.20590,0.18600,7.12620,7.28920,1.46100,4.66520,65.59560,3.5415,2.6809
2021-12-31,0.31910,0.47350,17.77990,17.77990,20.74090,14.88710,10.76620,0.17960,8.88140,9.04600,2.08630,6.04740,77.18880,3.8557,4.5361
2020-12-31,0.34430,0.52700,-7.54190,-7.54190,-2.24110,-11.63480,-7.39890,0.15680,-6.73060,-7.01780,-1.60900,-4.41320,71.24900,0.4858,0.9231
2019-12-31,0.34310,0.52590,11.45270,11.45270,17.17230,7.49450,6.24200,0.18150,3.97170,4.11570,1.05910,2.60890,75.36860,-7.4574,-7.6707
2018-12-31,0.34690,0.53190,10.01000,10.01000,15.99600,5.92920,4.52150,0.17960,3.30120,3.40720,0.90150,2.15610,68.52970,5.5225,5.8205
2017-12-31,0.31420,0.46950,16.22130,16.22130,22.29340,11.51800,8.47470,0.17260,5.74780,5.90620,1.77420,3.94200,73.97440,1.0145,1.2703
2016-12-31,0.31350,0.46140,11.23240,11.23240,17.44370,7.14230,4.99050,0.17110,3.06490,3.11100,0.93480,2.10410,69.39850,-3.1201,-2.2343
2015-12-31,0.29450,0.46300,5.69510,5.69510,13.08980,1.81890,1.93810,0.17650,1.25820,1.27790,0.37760,0.88770,67.11000,1.9637,2.2687
2014-12-31,0.29540,0.43280,16.11170,16.11170,22.40840,12.63530,4.12570,0.18280,5.48880,5.57340,1.72650,3.86760,66.09730,2.4349,2.3929
2013-12-31,0.27660,0.41530,18.49040,18.49040,28.63890,15.58200,4.07170,0.18280,6.50850,6.60310,2.02780,4.70800,64.32170,-1.8283,-3.2969
2012-12-31,0.27140,0.37320,17.39630,17.39630,23.47210,14.36900,4.03640,0.17590,6.11530,6.37250,1.88580,4.45570,62.98030,-2.573,-2.8178
2011-12-31,0.27750,0.38790,19.44940,19.44940,24.89210,15.75480,7.51650,0.18770,7.30080,7.59810,2.25060,5.27460,58.54380,9.8944,7.4154
2010-12-31,0.27650,0.41020,23.39380,23.39380,28.16970,19.85630,8.81970,0.19160,8.69040,9.02470,2.63250,6.28760,55.73810,-10.7038,-5.3323
2009-12-31,0.31000,0.44980,22.76690,22.76690,26.91080,12.25470,3.99520,0.19060,6.56870,6.84660,1.86990,4.53210,49.60360,10.5918,4.9533
