,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.87490,0.32410,0.48580,40.82380,12.35740,12.35740,14.42080,11.86490,8.98080,1.06280,2.75110,,,20.92560,231.11110,9.50320,14.14270,20.45270,-0.0955,0.0554
2021-12-31,1.96490,0.32430,0.48590,40.66010,11.26140,11.26140,13.43110,10.68840,8.33520,1.03830,2.97470,,,18.85260,217.76450,8.65460,12.73940,20.16380,-0.1425,-0.5482
2020-12-31,2.02870,0.33150,0.50630,39.49610,8.47880,8.47880,11.05000,7.61030,5.48630,0.94080,2.91390,10.83390,33.69050,11.28490,241.04350,5.17780,7.54370,18.68310,1.3127,1.6043
2019-12-31,2.15180,0.42390,0.80060,38.79540,7.16970,7.16970,9.68370,6.32510,4.32800,0.97860,2.76050,11.05630,33.01290,10.76370,-260.88970,4.25210,6.20060,16.45930,1.1715,1.0725
2018-12-31,2.67460,0.46400,0.89080,38.51970,7.42840,7.42840,9.90440,6.25960,4.04250,1.04240,2.57460,10.29100,35.46790,10.07630,-103.41650,4.27940,5.40090,15.30540,0.5798,0.4243
2017-12-31,2.88960,0.43790,0.80920,39.02290,8.67830,8.67830,11.04250,7.87340,5.48170,1.03950,2.49380,9.47990,38.50230,12.76490,-729.31710,5.73270,7.17470,13.60820,-0.3795,-0.2708
2016-12-31,2.94650,0.48760,0.97060,39.04580,8.89320,8.89320,11.29400,7.89000,5.40510,1.03380,2.70370,9.97510,36.59130,13.24800,-232.65550,5.49330,6.78890,11.19490,0.2799,0.1771
2015-12-31,3.11280,0.32920,0.50880,39.39490,9.79650,9.79650,11.57880,9.02350,5.88410,1.27350,2.80050,12.18760,29.94850,13.58800,72.92940,7.49350,9.11460,10.19290,0.4999,0.406
2014-12-31,3.00290,0.39610,0.67860,39.34550,9.64190,9.64190,11.50290,8.72230,5.66050,1.23090,2.85120,11.20690,32.56930,14.02310,204.85690,6.96740,8.46900,8.96570,-0.1374,-0.3013
2013-12-31,2.65480,0.34970,0.55550,40.99540,10.47260,10.47260,12.18050,9.39900,6.15550,1.12030,2.77370,11.05130,33.02780,13.25640,120.05720,6.89620,8.62030,7.81480,0.7218,0.7187
2012-12-31,2.83710,0.34770,0.56950,41.81830,10.62240,10.62240,12.32420,9.92420,6.33590,1.10730,2.66290,13.22270,27.60410,13.30000,156.33320,7.01570,8.67610,6.59510,-0.0279,-0.0361
2011-12-31,2.89100,0.36040,0.58150,42.57040,11.05500,11.05500,12.72190,10.26870,6.43040,1.02190,2.54850,11.60500,31.45210,12.78910,355.70400,6.57140,8.17950,5.59410,0.1679,0.0883
2010-12-31,3.71420,0.27930,0.42500,44.27260,12.06040,12.06040,13.73770,10.93680,6.84530,1.07410,2.79370,12.92560,28.23860,11.81750,53.58300,7.26760,8.51680,4.86080,-0.0238,-0.0392
2009-12-31,4.17180,0.33460,0.51130,45.30470,11.30150,11.30150,13.28000,10.02550,6.22680,1.01380,2.90430,13.43420,27.16960,10.77950,73.31500,6.29350,7.17310,4.15280,0.5695,0.3792
