,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.99010,0.37700,0.70270,23.10290,19.58710,19.58710,27.80040,17.71070,14.06980,0.41090,5.42220,7.83900,46.56180,11.93820,32.00520,5.71110,7.43720,115.50400,-2.3149,-3.2649
2021-12-31,2.69150,0.43830,0.78020,24.90580,17.98670,17.98670,26.32990,15.80160,12.97560,0.37620,5.40210,6.99480,52.18140,10.74250,35.50200,4.87950,6.03430,104.76920,1.3456,0.3512
2020-12-31,3.34130,0.30820,0.44560,26.48680,21.25630,21.25630,29.57570,18.80170,15.24350,0.44700,4.90420,8.22450,44.37970,12.23590,24.26880,6.81520,8.46450,94.59550,1.4202,1.9317
2019-12-31,1.70150,0.31250,0.51810,24.87810,18.67230,18.67230,26.51140,15.78990,12.91170,0.46780,5.15360,8.26060,44.18570,11.43220,24.78030,6.04050,7.85940,85.79010,4.234,3.9169
2018-12-31,1.73610,0.35550,0.63050,22.77410,16.27360,16.27360,24.37860,13.57350,11.07370,0.44440,4.94370,8.11060,45.00260,9.50420,22.95750,4.92490,6.12520,79.19040,0.7692,1.3025
2017-12-31,3.79010,0.36810,0.64650,24.50830,17.66190,17.66190,25.15630,15.60670,17.98720,0.44100,4.98460,8.13890,44.84630,15.23550,35.38980,7.93330,9.62780,74.47520,-0.383,-0.8109
2016-12-31,1.98760,0.26660,0.40700,23.87530,17.73530,17.73530,25.20510,15.89600,11.13940,0.52310,5.57300,8.33950,43.76750,10.27000,28.90360,5.82730,7.53170,65.57220,2.125,0.8091
2015-12-31,2.95000,0.27630,0.38890,20.53700,13.96120,13.96120,21.40810,11.69070,8.15900,0.50870,5.99530,8.61370,42.37410,7.11640,19.50450,4.15280,5.15020,62.96900,1.9777,1.2965
2014-12-31,2.63250,0.26520,0.36430,17.65950,10.64500,10.64500,18.17540,8.42400,5.26040,0.40970,5.02270,7.02600,51.94990,3.54560,9.13880,2.13760,2.60530,64.68350,0.0104,-0.7028
2013-12-31,3.58760,0.39270,0.65620,16.88460,10.11290,10.11290,18.17400,7.61870,5.62900,0.66120,5.15850,8.78310,41.55720,7.63090,13.21100,3.68670,4.63400,34.04420,1.8308,1.7621
2012-12-31,4.04070,0.41810,0.72250,16.09990,7.68590,7.68590,16.40740,5.12480,4.15740,0.64280,5.13000,9.06900,40.24720,5.97800,11.06330,2.74280,3.47840,31.52690,-0.8137,-0.7062
2011-12-31,3.78700,0.42090,0.73170,17.62370,9.39590,9.39590,19.51520,5.87000,4.80730,0.54440,4.37560,8.41050,43.39830,5.49300,10.22880,2.52830,3.18120,31.68580,-0.2513,-0.6672
2010-12-31,1.80600,0.34750,0.70350,19.46090,11.99820,11.99820,22.98180,7.84540,5.86950,0.53750,4.01080,9.01390,40.49280,6.72610,11.98230,3.21180,4.38860,32.21350,-1.2953,-1.1214
2009-12-31,2.29380,0.42120,0.88970,21.07440,11.62590,11.62590,23.02800,7.03110,5.43180,0.48570,3.73380,9.66320,37.77210,6.01870,10.99730,2.61320,3.48360,30.97890,7.2045,4.0538
