,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.37050,0.99460,198.59060,11.90550,-32.03620,-32.03620,-15.31260,-47.00280,-46.86250,0.26100,28.69270,14.84580,24.58610,-3309.34400,428.22880,-12.23160,-17.87470,0.16280,7.2536,5.0641
2021-12-31,0.88500,0.82630,5.11650,-148.15920,-393.88930,-393.88930,-276.81830,-694.66310,-695.47600,0.03460,13.60380,0.55500,657.61860,-185.25420,-245.72550,-24.06100,-32.18450,5.83520,3.2819,4.9376
2020-12-31,1.85880,0.72850,2.71150,-32.27990,-272.21760,-272.21760,-214.43070,-312.52620,-313.50020,0.06960,20.55160,62.19790,5.86840,-92.15480,-106.84520,-21.80800,-25.02300,13.79470,-18.4547,-14.6076
2019-12-31,0.20370,0.48170,1.04390,43.31400,18.22980,18.22980,28.24320,14.10260,14.39450,0.38730,38.38810,86.04000,4.24220,14.27700,21.58740,5.57540,7.39980,30.57780,-0.8273,-1.4087
2018-12-31,0.17470,0.49350,1.08870,44.22780,20.13270,20.13270,29.49620,16.00810,15.76920,0.39820,37.43900,109.59700,3.33040,16.01280,25.41810,6.27940,8.10980,27.39710,2.2672,1.267
2017-12-31,0.20820,0.49730,1.09700,43.22560,19.43630,19.43630,29.10030,14.28080,14.08170,0.38280,37.30650,122.74910,2.97350,13.21570,21.44530,5.39110,6.64330,25.15990,1.4317,0.2434
2016-12-31,0.17770,0.56270,1.41010,41.52590,18.98640,18.98640,28.12890,13.13620,12.98810,0.37570,43.01900,77.10730,4.73370,13.95160,27.15620,4.87970,6.10130,19.96850,1.0175,1.1018
2015-12-31,0.14380,0.60400,1.69210,38.88560,16.16750,16.16750,26.53180,9.98630,9.83040,0.35430,45.64750,96.56520,3.77980,11.29730,27.12970,3.48260,4.47330,16.59630,1.5325,1.205
2014-12-31,0.13600,0.61000,1.72790,37.72560,16.08960,16.08960,25.84290,10.88760,10.82420,0.27260,34.42000,96.38260,3.78700,9.73630,26.10580,2.98720,3.79740,15.45850,0.7264,0.3693
2013-12-31,0.17010,0.51920,1.18870,35.50700,15.40240,15.40240,24.93870,4.46210,3.95730,0.38650,37.91970,140.76090,2.59310,3.91010,5.09350,1.54690,1.88010,12.82540,0.045,-2.4505
2012-12-31,0.17450,0.57790,1.47880,35.04950,15.68780,15.68780,25.18310,7.43600,7.40500,0.38330,37.25800,151.12510,2.41520,8.34940,11.97600,2.83840,3.52410,96.13260,0.2306,-0.4334
2011-12-31,0.18610,0.60600,1.64710,33.85930,14.24360,14.24360,23.75320,5.79270,5.71610,0.39900,40.51100,272.00930,1.34190,6.87780,10.21680,2.28060,2.70950,87.83160,-0.416,4.028
2010-12-31,,,,33.04720,11.46100,11.46100,20.99880,1.14240,1.14240,,,,,,,,,,2.4119,-3.0653
