,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-01-31,3.51560,0.30510,0.49560,56.92890,15.65950,15.65950,21.38360,15.50010,16.19340,0.65500,2.25200,7.04830,51.78520,19.76380,27.20990,10.60660,13.73410,8.96230,-1.3428,-1.689
2022-01-31,6.65030,0.29140,0.41130,64.92900,37.30770,37.30770,41.66980,36.93620,36.23390,0.60910,3.62340,5.78800,63.06200,36.64510,48.94600,22.06980,25.96520,10.61930,1.2734,1.3378
2021-01-31,4.09040,0.26090,0.41220,62.34480,27.17840,27.17840,33.76310,26.44080,25.97900,0.57920,3.43870,6.86500,53.16850,25.64380,43.48090,15.04640,18.95260,6.81440,0.3935,0.1419
2020-01-31,7.67380,0.14030,0.16310,61.98940,26.06710,26.06710,29.55670,27.20280,25.60910,0.63060,4.23900,6.58900,55.39520,22.91050,24.23510,16.14790,19.69710,4.98530,0.4288,0.471
2019-01-31,7.94360,0.17550,0.21280,61.20690,32.46840,32.46840,34.70470,33.25370,35.34480,0.88140,2.88570,8.22750,44.36330,44.32670,47.71290,31.15410,36.54900,3.85400,0.1119,0.1057
2018-01-31,8.02690,0.20990,0.26770,59.93410,33.04510,33.04510,35.09370,32.90100,31.36710,0.86420,4.88940,7.67910,47.53190,40.78440,44.80220,27.10610,32.22290,3.08210,0.7412,0.5725
2017-01-31,4.77400,0.25900,0.48770,58.79880,27.98840,27.98840,30.69460,27.56870,24.11000,0.70220,3.58560,8.36560,43.63100,28.91360,33.05560,16.92920,21.42490,2.46240,0.1278,0.0975
2016-01-31,2.57460,0.02120,0.33790,56.10780,14.91020,14.91020,19.42120,14.83030,12.25550,0.67980,5.26080,9.92080,36.79140,13.73910,16.66210,8.33110,13.44720,2.07280,0.114,0.124
2015-01-31,6.37610,0.24040,0.31640,55.51050,16.21100,16.21100,21.50790,16.12560,13.47720,0.65020,4.31260,9.87760,36.95220,14.28250,17.63560,8.76270,10.84940,2.02660,0.0515,0.1033
2014-01-31,5.94900,0.23560,0.30830,54.91530,12.00970,12.00970,17.91770,12.34870,10.65380,0.56960,4.80190,9.68670,37.68050,9.87340,12.50990,6.06820,7.54680,1.96150,0.0211,-0.0022
2013-01-31,4.89160,0.00390,0.00390,52.01540,15.14520,15.14520,20.43090,15.46760,13.14290,0.66750,4.97930,9.42240,38.73730,11.65230,14.51950,8.77280,11.60660,1.95690,-0.0391,-0.0561
2012-01-31,4.19950,0.00510,0.00520,51.43960,16.21590,16.21590,21.32360,16.59350,14.53480,0.72000,5.70510,11.89350,30.68890,14.01660,18.28160,10.46460,13.94450,1.69300,0.0818,0.0671
2011-01-31,3.42320,0.00730,0.00740,39.76760,7.21770,7.21770,12.49500,7.65300,7.14430,0.78820,6.17670,10.15940,35.92720,7.95690,10.03400,5.63140,7.89880,1.35140,0.0651,0.0588
2010-01-31,3.16280,0.00910,0.00920,35.38080,-2.97450,-2.97450,2.93760,-2.47390,-2.04380,0.92760,6.50040,8.87140,41.14350,-2.55100,-3.12610,-1.89590,-2.52780,1.18670,0.1082,0.2588
2009-01-31,2.78450,0.01060,0.01070,34.28660,-2.06430,-2.06430,3.33800,-1.25420,-0.87710,1.02210,4.18450,10.75530,33.93680,-1.25450,-1.59990,-0.89660,-1.24120,1.11180,0.1137,-0.0722
