,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,2.12080,0.59060,1.44250,56.92540,28.75430,28.75430,38.22040,25.46760,21.10560,0.56830,3.19190,13.75520,26.53540,36.60210,-80.62040,12.19230,14.98550,29.83080,3.5879,2.4496
2021-12-31,2.13210,0.60960,1.56160,54.84050,23.34810,23.34810,34.75550,19.70530,16.91220,0.53020,4.20190,11.98590,30.45240,28.15360,-39.01740,9.13540,10.99070,25.55200,2.4176,0.886
2020-12-31,2.14380,0.45400,0.83150,49.17560,4.85370,4.85370,27.93780,0.01160,0.60380,0.43390,4.24950,11.25750,32.42280,0.87420,-2.60160,0.40310,0.47730,32.62680,0.4455,0.8377
2019-12-31,1.82410,0.43270,0.76280,52.02210,7.22090,7.22090,30.28050,3.27810,2.73740,0.44350,3.57300,13.30890,27.42540,2.81720,-6.94940,1.35890,1.59810,34.30600,-4.9958,-4.8987
2018-12-31,1.54360,0.36880,0.68790,51.56800,28.80830,28.80830,49.93090,25.24720,23.47190,0.43690,3.56220,11.87750,30.73030,21.12260,-85.72510,10.48770,13.33180,36.51090,6.2193,5.9534
2017-12-31,2.22370,0.30060,0.48530,49.90280,22.70960,22.70960,46.18630,18.75540,23.93040,0.38490,3.75160,10.53020,34.66240,16.79600,-189.01830,9.44740,11.74710,39.44610,0.451,-0.0233
2016-12-31,2.21870,0.44000,0.82350,42.84060,-1.57930,-1.57930,21.63610,-6.34870,2.10570,0.38150,4.87780,9.19460,39.69730,2.32160,-5.14910,1.04020,1.30010,33.26250,1.3078,1.5269
2015-12-31,1.88850,0.42910,0.80000,45.68100,33.02740,33.02740,41.50140,24.35670,25.01230,0.23150,1.76370,5.82710,62.63810,13.88620,-24.58870,6.06740,7.92720,33.66920,-0.5874,-0.6154
2014-12-31,1.99240,0.83090,4.93880,46.75050,18.57620,18.57620,25.74820,11.31570,9.54490,0.82440,3.98280,9.52280,38.32920,75.78030,-32.06550,8.86130,12.81400,3.44400,2.4115,1.9236
2013-12-31,1.75360,0.67970,2.14810,45.21290,13.52030,13.52030,24.19520,7.82970,7.22740,0.74660,3.56490,8.88380,41.08620,26.84350,-26.48370,6.43510,8.59750,6.24440,0.5829,0.7672
2012-12-31,1.30620,0.71270,2.71960,45.61730,9.45390,9.45390,21.68430,-0.57370,-2.63880,0.67680,3.31470,8.54510,42.71460,-4.12770,2.70680,-0.82310,-1.18590,5.15610,2.2072,2.0314
2011-12-31,1.87420,0.73410,2.79960,45.44590,8.51220,8.51220,22.60370,2.38440,9.29900,0.63430,3.70230,8.75570,41.68690,0.14740,-0.09780,0.03020,0.03920,5.47540,-0.8712,-0.709
2010-12-31,1.22200,0.77200,3.73340,41.41300,6.20170,6.20170,21.74010,-8.06450,-10.35890,0.57640,5.02730,10.05020,36.31760,-38.14600,18.12160,-6.08880,-8.69650,4.86140,4.8311,4.1709
2009-12-31,1.11540,0.81780,5.07490,25.51860,-26.45640,-26.45640,-3.21110,-7.07590,-4.74570,0.41020,5.02110,7.85490,46.46780,-17.77140,5.71520,-2.15640,-3.23770,4.83620,-3.2566,-3.5865
