,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.14550,0.39530,0.65930,67.07160,37.66990,40.89920,59.80510,38.53520,33.90570,0.50450,5.85870,8.55730,42.65340,65.46280,44.22140,18.32280,26.73900,33.43300,5.8941,3.2885
2021-12-31,1.22670,0.59150,1.45700,62.78700,13.80410,20.66190,53.20540,14.27420,5.82520,0.34590,5.23240,6.16830,59.17400,26.40800,13.72560,3.71820,5.60710,21.76160,6.5774,5.5543
2020-12-31,1.07250,0.65810,1.94830,52.45100,-85.81060,-77.15200,-31.68620,-88.18580,-88.01730,0.22240,4.46150,8.42030,43.34750,-153.59210,-72.86380,-16.90270,-24.91440,19.93850,-4.8056,-4.8053
2019-12-31,1.15180,0.52960,1.12720,59.89190,0.57860,6.71420,36.07670,1.69290,-4.71040,0.19510,5.30490,4.94000,73.88670,-2.07190,-1.48110,-0.47300,-0.69670,38.28600,-0.9366,1.6047
2018-12-31,1.34000,0.32350,0.48370,63.15080,31.46320,34.40870,56.72130,31.46320,23.17660,0.40640,5.21270,3.64280,100.19890,19.36710,19.36710,9.41990,13.10140,28.46320,3.7004,5.5814
2017-12-31,1.11760,0.31200,0.47770,55.27660,10.61720,14.16690,46.16250,10.61720,10.43330,0.29760,4.48960,3.01760,120.95660,6.37270,6.37270,3.11950,4.38460,26.88780,1.9163,0.7744
2016-12-31,1.32470,0.31350,0.45680,48.57290,-18.28540,-14.34090,27.95840,-18.28540,-5.68880,0.23410,5.99190,2.52950,144.29980,-4.66110,-4.66110,-2.32430,-3.19960,28.12870,0.0535,3.3824
2015-12-31,1.37420,0.21970,0.34110,53.49360,-77.59620,-75.47280,-39.06250,-77.59620,-62.73240,0.28750,5.88640,4.20200,86.86300,-33.45380,-33.45380,-18.76570,-26.10480,31.88510,-9.7928,-5.2463
2014-12-31,1.68280,0.16360,0.19560,64.77320,6.33800,7.40990,29.47390,6.33800,3.18970,0.34330,6.46670,4.59150,79.49410,-0.37190,-0.37190,-0.23110,-0.31100,45.36560,-1.7114,-4.0003
2013-12-31,1.34250,0.13790,0.16000,67.78880,38.42840,39.61330,60.45120,38.42840,29.20180,0.29050,5.41420,3.55480,102.67770,11.37140,11.37140,7.10220,9.80300,54.48810,1.9318,2.5091
2012-12-31,1.30210,0.14920,0.19030,67.51240,38.98010,40.14430,57.98010,30.47260,22.87560,0.31300,4.85860,4.08870,89.27070,9.56100,9.56100,5.96320,8.13450,49.71730,-1.1582,-1.6309
2011-12-31,1.45240,0.13500,0.15610,69.15080,43.69020,45.68700,60.68760,43.69020,28.23840,0.39870,6.90830,4.43730,82.25800,17.65020,17.65020,11.05860,15.26750,46.38670,3.3529,-1.0539
2010-12-31,1.66890,0.13590,0.15730,67.90760,40.08400,41.28120,57.83670,38.64010,23.75430,0.36320,5.87130,3.78480,96.43900,14.28700,14.28700,8.85150,12.34470,39.96580,4.4482,3.5942
2009-12-31,1.63410,0.08060,0.09590,65.53940,34.00840,35.70270,53.84100,34.00840,19.67730,0.33490,5.11520,3.62020,100.82220,10.98120,10.98120,7.23960,10.09590,35.91360,7.3065,3.319
