,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.95860,0.15470,0.21760,58.19130,42.26150,42.26150,53.05840,40.96070,32.29190,0.67970,23.95520,12.04460,30.30400,34.80330,35.18250,21.95020,29.41950,95.49820,20.4546,6.0288
2021-12-31,1.51560,0.22650,0.30350,46.54780,22.70030,22.70030,40.53130,18.75300,14.46430,0.39780,21.21140,8.68510,42.02620,9.27440,9.37420,5.75370,7.17360,94.06580,12.0317,21.9401
2020-12-31,1.36150,0.21450,0.28520,35.45250,2.96190,2.96190,28.69110,-3.90430,-2.99180,0.34770,19.26340,9.61870,37.94690,-1.72880,-1.76870,-1.04010,-1.35790,70.33810,-6.1072,2.2517
2019-12-31,0.87780,0.13160,0.18860,42.67020,17.01880,17.01880,36.54690,10.80970,8.25740,0.48850,26.07810,8.94910,40.78610,6.36950,6.50950,4.04970,5.53130,73.30850,-0.3064,0.6846
2018-12-31,1.41910,0.15870,0.18860,49.17690,23.79180,23.79180,41.13650,13.28730,10.38770,0.52590,19.77270,11.46770,31.82850,8.05050,8.22990,5.44600,6.77320,71.45180,6.612,1.0848
2017-12-31,1.41310,0.16830,0.24220,56.04030,13.29060,13.29060,40.75160,5.66450,15.27040,0.32080,11.31130,8.36660,43.62600,7.38540,7.56650,4.89910,6.14220,66.27340,3.311,-1.1625
2016-12-31,2.10600,0.20760,0.30860,48.66940,-13.18750,-13.18750,33.73740,-28.35600,-16.44000,0.20550,9.59120,6.49140,56.22860,-5.34050,-5.48380,-3.37810,-4.23170,61.34080,0.6133,3.5828
2015-12-31,2.18470,0.27690,0.43640,68.07720,2.03900,2.03900,34.64150,-9.23040,-5.98550,0.30100,9.39350,10.65650,34.25130,-3.17610,-3.28270,-1.75530,-2.29670,56.06510,-8.0078,-1.6137
2014-12-31,1.66240,0.23570,0.30830,72.47630,37.44090,37.44090,59.97630,31.48660,18.33600,0.34020,5.79250,10.95460,33.31920,12.12020,12.51650,6.98240,9.26400,57.68110,0.6512,-2.1728
2013-12-31,1.38400,0.28630,0.40110,74.74030,-6.42430,-6.42430,20.14760,-15.69160,-22.90870,0.29750,4.20000,8.33260,43.80400,-5.45730,-5.69310,-2.93640,-3.89510,46.25870,1.2,8.7651
2012-12-31,1.01500,0.38810,0.63420,78.33170,38.48460,38.48460,62.34630,27.65040,6.38090,0.23020,3.30870,9.18500,39.73880,9.27170,9.76810,4.16250,5.67350,47.56400,1.7478,-9.3959
2011-12-31,1.31120,0.30920,0.44750,83.65020,33.75110,33.75110,53.39010,23.71710,32.59970,0.21960,1.70070,8.85520,41.21870,7.21610,7.61800,3.56240,4.98520,46.37550,1.7852,-2.9734
2010-12-31,1.55640,0.38100,0.61560,84.68470,44.12840,44.12840,63.33490,32.81580,24.82740,0.24610,2.10100,8.62300,42.32890,12.11410,13.03380,5.28920,7.49810,36.64960,6.2901,2.3077
2009-12-31,1.07870,0.43110,0.75790,73.19510,3.94670,3.94670,39.74480,-17.45050,-4.05320,0.14550,2.48520,3.61680,100.91670,-3.89740,-4.25890,-1.60120,-2.21710,31.85140,4.7563,1.1568
