,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.27530,0.33940,0.51380,42.34680,13.94360,13.94360,18.72960,12.23200,8.79060,0.34960,0.73740,495.01420,11.93150,29.22560,3.07300,7.88180,17.84680,0.132,0.288
2021-12-31,1.22180,0.27030,0.37050,46.98670,16.79870,16.79870,21.78470,16.15620,16.43220,0.33470,0.68680,531.45180,19.18810,46.62790,5.49980,14.00120,18.60190,-0.3514,-0.4843
2020-12-31,1.32640,0.30820,0.44550,46.61600,15.33050,15.33050,20.87260,23.60870,19.58610,0.30480,0.63110,578.36190,20.94400,42.53040,5.97050,14.48870,17.11860,1.8125,1.7623
2019-12-31,1.43000,0.22680,0.29330,44.94150,15.29940,15.29940,20.43100,16.86920,13.83640,0.34620,0.77400,471.59180,14.52540,24.74090,4.79030,11.23140,14.43220,-1.1285,-1.0251
2018-12-31,1.27250,,0.12990,46.52770,14.19970,14.19970,19.22210,15.37770,13.31310,0.35660,0.75830,481.32000,13.36930,24.85200,4.74710,13.36930,13.10560,2.4824,2.347
2017-12-31,1.42790,,0.06250,48.86970,16.24410,16.24410,22.39190,16.80160,13.70860,0.32110,0.70680,516.39110,11.22300,15.62640,4.40230,11.22300,13.32830,-0.5199,-0.5169
2016-12-31,1.52460,,,47.41750,14.62830,14.62830,21.30600,15.04340,12.92200,0.32750,0.74380,490.74020,9.52280,13.41700,4.23220,9.52280,12.18890,0.5212,0.5382
2015-12-31,1.51630,,,51.02730,15.79800,15.79800,22.37240,16.09000,13.27860,0.32020,0.74590,489.32420,8.92510,13.15900,4.25190,8.92510,11.24100,0.2579,0.0935
2014-12-31,1.32240,,0.13250,52.56080,15.80060,15.80060,22.23050,15.71340,5.22120,0.36620,0.75160,485.62050,5.08000,8.54580,1.91180,5.08000,6.77180,0.1854,0.103
2013-12-31,1.29830,,0.14930,51.13720,16.21820,16.21820,22.95230,16.11420,14.19650,0.35110,0.72110,506.18180,12.92290,24.20790,4.98430,12.92290,,1.6283,1.3088
2012-12-31,,,,52.36670,15.54220,15.54220,22.28890,15.73650,13.74070,,,,,,,,,0.0,0.0
