,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.97590,0.31440,0.54720,100.00000,19.28570,19.28570,20.81250,18.37680,13.67810,0.13590,1.93000,189.11800,16.20490,20.11730,1.86410,10.96900,43.84470,-31.1381,-31.2104
2021-09-30,0.98670,0.29050,0.43070,100.00000,18.02250,18.02250,19.54920,18.35040,14.37500,0.15770,1.99710,182.76180,16.89750,18.90580,2.26690,11.98840,40.35700,12.1049,12.3443
2020-09-30,0.97720,0.31670,0.53180,100.00000,16.65830,16.65830,18.86110,13.16650,10.23780,0.16830,1.82670,199.81350,11.39910,12.43920,1.72280,7.78900,35.03310,16.6963,16.7455
2019-09-30,1.10920,0.29330,0.45960,100.00000,18.24290,18.24290,19.87080,17.76490,13.33330,0.19930,1.72610,211.45480,15.56530,17.14190,2.66290,11.00000,32.12860,-1.2893,-1.3278
2018-09-30,1.12880,0.29470,0.54870,100.00000,20.55910,20.55910,22.16430,17.53610,11.45000,0.19980,1.46100,249.82680,13.28270,14.74280,2.29060,9.36820,29.53360,4.529,4.7927
2017-09-30,1.15720,0.37530,0.74580,100.00000,16.73560,16.73560,17.36400,14.17620,9.73180,0.18710,1.43070,255.12710,11.17090,12.23040,1.82320,6.97890,26.34040,2.0764,1.7739
2016-09-30,1.16850,0.35320,0.78130,100.00000,18.05560,18.05560,18.91370,14.70620,9.56500,0.17530,1.21490,300.44800,10.67850,11.85660,1.71710,6.90680,23.84630,-6.7501,-6.9732
2015-09-30,1.22520,0.28060,0.61960,99.19490,17.78370,17.78370,18.26900,15.34200,9.45710,0.20060,1.59790,228.42720,10.83510,11.76140,1.95930,7.79500,22.35190,1.7486,1.6894
2014-09-30,1.24680,0.29890,0.62930,99.19700,16.78810,16.78810,17.62100,14.41860,9.67180,0.21290,1.55020,235.44750,10.10890,10.98680,1.92130,7.08780,20.93090,-0.7731,-0.7067
2013-09-30,1.16920,0.25120,0.55460,99.12410,15.38030,15.38030,15.06970,12.92290,7.98890,0.19820,1.51040,241.66430,9.92610,10.91260,1.71170,7.43230,19.10010,1.1505,1.1969
2012-09-30,1.15920,0.27710,0.65610,98.98860,16.53370,16.53370,16.94380,12.00440,7.43760,0.18420,1.23130,296.42370,7.94140,8.80570,1.38120,5.74070,17.81310,-6.4788,-6.669
2011-09-30,1.13780,0.19650,0.61520,98.86880,17.40120,17.40120,18.20520,13.25770,7.92900,0.18880,1.44720,252.21140,9.19870,9.43510,1.48750,7.39150,15.35700,14.1519,14.0742
2010-09-30,1.33220,0.53510,1.56050,98.82120,16.76140,16.76140,17.58560,11.95310,7.33930,0.16660,1.31700,277.14920,8.56870,8.78030,1.24430,3.98330,13.88310,-7.8205,-7.7427
2009-09-30,1.14430,0.39010,0.94690,98.72210,17.77870,17.77870,18.65100,9.08350,5.62570,0.14280,1.27460,286.35720,6.28610,6.46730,0.77020,3.83400,12.09730,2.1267,1.9247
